Model : vgg19 - Learning Type: cifar10/bacp_pruning/magnitude_pruning/0.99
Configuration:
model_name: vgg19
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/vgg19/cifar10/vgg19_cifar10_magnitude_pruning_0.99_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 8.0172 | Avg PrC Loss: 4.0902 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.4903 | Avg CE Loss: 0.4367 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 12.3937 | Avg PrC Loss: 4.2803 | Avg SnC Loss: 3.7228 | Avg FiC Loss: 3.7898 | Avg CE Loss: 0.6008 | Model Sparsity: 0.4831
Retraining Epoch [2/10]: Avg Total Loss: 11.9735 | Avg PrC Loss: 4.1769 | Avg SnC Loss: 3.5889 | Avg FiC Loss: 3.6810 | Avg CE Loss: 0.5267 | Model Sparsity: 0.4831
Retraining Epoch [3/10]: Avg Total Loss: 11.2212 | Avg PrC Loss: 4.0420 | Avg SnC Loss: 3.3155 | Avg FiC Loss: 3.4350 | Avg CE Loss: 0.4288 | Model Sparsity: 0.4831
Retraining Epoch [4/10]: Avg Total Loss: 10.8954 | Avg PrC Loss: 3.9708 | Avg SnC Loss: 3.2155 | Avg FiC Loss: 3.3199 | Avg CE Loss: 0.3891 | Model Sparsity: 0.4831
Retraining Epoch [5/10]: Avg Total Loss: 10.3314 | Avg PrC Loss: 3.8622 | Avg SnC Loss: 3.0542 | Avg FiC Loss: 3.1060 | Avg CE Loss: 0.3090 | Model Sparsity: 0.4831
Retraining Epoch [6/10]: Avg Total Loss: 9.9923 | Avg PrC Loss: 3.8004 | Avg SnC Loss: 2.9738 | Avg FiC Loss: 2.9670 | Avg CE Loss: 0.2511 | Model Sparsity: 0.4831
Retraining Epoch [7/10]: Avg Total Loss: 9.7377 | Avg PrC Loss: 3.7445 | Avg SnC Loss: 2.9278 | Avg FiC Loss: 2.8604 | Avg CE Loss: 0.2050 | Model Sparsity: 0.4831
Retraining Epoch [8/10]: Avg Total Loss: 9.6490 | Avg PrC Loss: 3.7222 | Avg SnC Loss: 2.9181 | Avg FiC Loss: 2.8228 | Avg CE Loss: 0.1859 | Model Sparsity: 0.4831
Retraining Epoch [9/10]: Avg Total Loss: 9.5555 | Avg PrC Loss: 3.6957 | Avg SnC Loss: 2.9109 | Avg FiC Loss: 2.7818 | Avg CE Loss: 0.1671 | Model Sparsity: 0.4831
Retraining Epoch [10/10]: Avg Total Loss: 9.5161 | Avg PrC Loss: 3.6792 | Avg SnC Loss: 2.9128 | Avg FiC Loss: 2.7652 | Avg CE Loss: 0.1589 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Total Loss: 9.4042 | Avg PrC Loss: 3.6489 | Avg SnC Loss: 2.8972 | Avg FiC Loss: 2.7223 | Avg CE Loss: 0.1358 | Model Sparsity: 0.7762
Retraining Epoch [1/10]: Avg Total Loss: 11.9822 | Avg PrC Loss: 3.6632 | Avg SnC Loss: 5.4313 | Avg FiC Loss: 2.7420 | Avg CE Loss: 0.1457 | Model Sparsity: 0.7762
Retraining Epoch [2/10]: Avg Total Loss: 11.8782 | Avg PrC Loss: 3.6378 | Avg SnC Loss: 5.3928 | Avg FiC Loss: 2.7140 | Avg CE Loss: 0.1336 | Model Sparsity: 0.7762
Retraining Epoch [3/10]: Avg Total Loss: 11.7846 | Avg PrC Loss: 3.6143 | Avg SnC Loss: 5.3602 | Avg FiC Loss: 2.6892 | Avg CE Loss: 0.1210 | Model Sparsity: 0.7762
Retraining Epoch [4/10]: Avg Total Loss: 11.7635 | Avg PrC Loss: 3.6040 | Avg SnC Loss: 5.3611 | Avg FiC Loss: 2.6811 | Avg CE Loss: 0.1173 | Model Sparsity: 0.7762
Retraining Epoch [5/10]: Avg Total Loss: 11.7537 | Avg PrC Loss: 3.5983 | Avg SnC Loss: 5.3633 | Avg FiC Loss: 2.6782 | Avg CE Loss: 0.1139 | Model Sparsity: 0.7762
Retraining Epoch [6/10]: Avg Total Loss: 11.7019 | Avg PrC Loss: 3.5809 | Avg SnC Loss: 5.3509 | Avg FiC Loss: 2.6629 | Avg CE Loss: 0.1072 | Model Sparsity: 0.7762
Retraining Epoch [7/10]: Avg Total Loss: 11.7334 | Avg PrC Loss: 3.5841 | Avg SnC Loss: 5.3688 | Avg FiC Loss: 2.6707 | Avg CE Loss: 0.1098 | Model Sparsity: 0.7762
Retraining Epoch [8/10]: Avg Total Loss: 11.7720 | Avg PrC Loss: 3.5843 | Avg SnC Loss: 5.3898 | Avg FiC Loss: 2.6824 | Avg CE Loss: 0.1155 | Model Sparsity: 0.7762
Retraining Epoch [9/10]: Avg Total Loss: 11.6478 | Avg PrC Loss: 3.5548 | Avg SnC Loss: 5.3448 | Avg FiC Loss: 2.6498 | Avg CE Loss: 0.0983 | Model Sparsity: 0.7762
Retraining Epoch [10/10]: Avg Total Loss: 11.6644 | Avg PrC Loss: 3.5525 | Avg SnC Loss: 5.3593 | Avg FiC Loss: 2.6528 | Avg CE Loss: 0.0997 | Model Sparsity: 0.7762
Epoch [3/5]: Avg Total Loss: 12.4258 | Avg PrC Loss: 3.7357 | Avg SnC Loss: 5.6508 | Avg FiC Loss: 2.8487 | Avg CE Loss: 0.1906 | Model Sparsity: 0.9266
Retraining Epoch [1/10]: Avg Total Loss: 14.2647 | Avg PrC Loss: 3.6357 | Avg SnC Loss: 7.8353 | Avg FiC Loss: 2.6817 | Avg CE Loss: 0.1120 | Model Sparsity: 0.9266
Retraining Epoch [2/10]: Avg Total Loss: 14.1326 | Avg PrC Loss: 3.6024 | Avg SnC Loss: 7.7798 | Avg FiC Loss: 2.6523 | Avg CE Loss: 0.0981 | Model Sparsity: 0.9266
Retraining Epoch [3/10]: Avg Total Loss: 14.0937 | Avg PrC Loss: 3.5848 | Avg SnC Loss: 7.7735 | Avg FiC Loss: 2.6431 | Avg CE Loss: 0.0923 | Model Sparsity: 0.9266
Retraining Epoch [4/10]: Avg Total Loss: 14.0989 | Avg PrC Loss: 3.5800 | Avg SnC Loss: 7.7839 | Avg FiC Loss: 2.6427 | Avg CE Loss: 0.0923 | Model Sparsity: 0.9266
Retraining Epoch [5/10]: Avg Total Loss: 14.0434 | Avg PrC Loss: 3.5643 | Avg SnC Loss: 7.7611 | Avg FiC Loss: 2.6313 | Avg CE Loss: 0.0868 | Model Sparsity: 0.9266
Retraining Epoch [6/10]: Avg Total Loss: 14.0675 | Avg PrC Loss: 3.5607 | Avg SnC Loss: 7.7800 | Avg FiC Loss: 2.6373 | Avg CE Loss: 0.0894 | Model Sparsity: 0.9266
Retraining Epoch [7/10]: Avg Total Loss: 14.0605 | Avg PrC Loss: 3.5567 | Avg SnC Loss: 7.7831 | Avg FiC Loss: 2.6337 | Avg CE Loss: 0.0871 | Model Sparsity: 0.9266
Retraining Epoch [8/10]: Avg Total Loss: 14.0263 | Avg PrC Loss: 3.5455 | Avg SnC Loss: 7.7684 | Avg FiC Loss: 2.6280 | Avg CE Loss: 0.0845 | Model Sparsity: 0.9266
Retraining Epoch [9/10]: Avg Total Loss: 14.0353 | Avg PrC Loss: 3.5436 | Avg SnC Loss: 7.7780 | Avg FiC Loss: 2.6289 | Avg CE Loss: 0.0848 | Model Sparsity: 0.9266
Retraining Epoch [10/10]: Avg Total Loss: 14.0462 | Avg PrC Loss: 3.5461 | Avg SnC Loss: 7.7824 | Avg FiC Loss: 2.6315 | Avg CE Loss: 0.0862 | Model Sparsity: 0.9266
Epoch [4/5]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.9821
Retraining Epoch [1/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.9821
Retraining Epoch [2/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.9821
Retraining Epoch [3/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.9821
Retraining Epoch [4/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.9821
Retraining Epoch [5/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.9821
Retraining Epoch [6/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.9821
Retraining Epoch [7/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.9821
Retraining Epoch [8/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.9821
Retraining Epoch [9/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.9821
Retraining Epoch [10/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.9821
Epoch [5/5]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.99
Retraining Epoch [1/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.99
Retraining Epoch [2/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.99
Retraining Epoch [3/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.99
Retraining Epoch [4/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.99
Retraining Epoch [5/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.99
Retraining Epoch [6/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.99
Retraining Epoch [7/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.99
Retraining Epoch [8/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.99
