Model : vgg19 - Learning Type: cifar10/pruning/magnitude_pruning/0.97
Configuration:
model_type: cv
model_name: vgg19
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg19/cifar10/vgg19_cifar10_magnitude_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/vgg19/cifar10/vgg19_cifar10_baseline.pt

Epoch [1/5]: Avg Loss: 0.0151 | Avg Accuracy: 90.65 | Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 0.0339 | Avg Accuracy: 90.51 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 0.0256 | Avg Accuracy: 90.01 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 0.0309 | Avg Accuracy: 89.65 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 0.0359 | Avg Accuracy: 89.40 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 0.0271 | Avg Accuracy: 91.18 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 0.0228 | Avg Accuracy: 90.05 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 0.0240 | Avg Accuracy: 89.51 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 0.0248 | Avg Accuracy: 90.16 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 0.0274 | Avg Accuracy: 89.79 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 0.0297 | Avg Accuracy: 90.71 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 0.1151 | Avg Accuracy: 89.75 | Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 0.0641 | Avg Accuracy: 90.72 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 0.0624 | Avg Accuracy: 89.97 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 0.0513 | Avg Accuracy: 90.36 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 0.0446 | Avg Accuracy: 89.93 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 0.0531 | Avg Accuracy: 89.34 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 0.0442 | Avg Accuracy: 90.64 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 0.0383 | Avg Accuracy: 90.36 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 0.0372 | Avg Accuracy: 90.81 | Model Sparsity: 0.7605
Recovery epoch [9/10]: Avg Loss: 0.0334 | Avg Accuracy: 90.25 | Model Sparsity: 0.7605
Recovery epoch [10/10]: Avg Loss: 0.0293 | Avg Accuracy: 90.90 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Loss: 0.7535 | Avg Accuracy: 84.88 | Model Sparsity: 0.9079
Recovery epoch [1/10]: Avg Loss: 0.2573 | Avg Accuracy: 87.05 | Model Sparsity: 0.9079
Recovery epoch [2/10]: Avg Loss: 0.1717 | Avg Accuracy: 89.33 | Model Sparsity: 0.9079
Recovery epoch [3/10]: Avg Loss: 0.1485 | Avg Accuracy: 88.92 | Model Sparsity: 0.9079
Recovery epoch [4/10]: Avg Loss: 0.1304 | Avg Accuracy: 89.48 | Model Sparsity: 0.9079
Recovery epoch [5/10]: Avg Loss: 0.1165 | Avg Accuracy: 88.06 | Model Sparsity: 0.9079
Recovery epoch [6/10]: Avg Loss: 0.1188 | Avg Accuracy: 88.46 | Model Sparsity: 0.9079
Recovery epoch [7/10]: Avg Loss: 0.0932 | Avg Accuracy: 90.37 | Model Sparsity: 0.9079
Recovery epoch [8/10]: Avg Loss: 0.0945 | Avg Accuracy: 89.29 | Model Sparsity: 0.9079
Recovery epoch [9/10]: Avg Loss: 0.0928 | Avg Accuracy: 90.40 | Model Sparsity: 0.9079
Recovery epoch [10/10]: Avg Loss: 0.0801 | Avg Accuracy: 89.29 | Model Sparsity: 0.9079
Epoch [4/5]: Avg Loss: 0.5717 | Avg Accuracy: 86.15 | Model Sparsity: 0.9622
Recovery epoch [1/10]: Avg Loss: 0.2498 | Avg Accuracy: 87.90 | Model Sparsity: 0.9622
Recovery epoch [2/10]: Avg Loss: 0.2026 | Avg Accuracy: 88.48 | Model Sparsity: 0.9622
Recovery epoch [3/10]: Avg Loss: 0.1811 | Avg Accuracy: 89.43 | Model Sparsity: 0.9622
Recovery epoch [4/10]: Avg Loss: 0.1623 | Avg Accuracy: 89.69 | Model Sparsity: 0.9622
Recovery epoch [5/10]: Avg Loss: 0.1428 | Avg Accuracy: 90.08 | Model Sparsity: 0.9622
Recovery epoch [6/10]: Avg Loss: 0.1344 | Avg Accuracy: 88.24 | Model Sparsity: 0.9622
Recovery epoch [7/10]: Avg Loss: 0.1559 | Avg Accuracy: 88.69 | Model Sparsity: 0.9622
Recovery epoch [8/10]: Avg Loss: 0.1333 | Avg Accuracy: 89.54 | Model Sparsity: 0.9622
Recovery epoch [9/10]: Avg Loss: 0.1161 | Avg Accuracy: 88.07 | Model Sparsity: 0.9622
Recovery epoch [10/10]: Avg Loss: 0.1172 | Avg Accuracy: 89.61 | Model Sparsity: 0.9622
Epoch [5/5]: Avg Loss: 0.2680 | Avg Accuracy: 88.74 | Model Sparsity: 0.97
Recovery epoch [1/10]: Avg Loss: 0.1327 | Avg Accuracy: 89.84 | Model Sparsity: 0.97
Recovery epoch [2/10]: Avg Loss: 0.1207 | Avg Accuracy: 89.83 | Model Sparsity: 0.97
Recovery epoch [3/10]: Avg Loss: 0.1042 | Avg Accuracy: 89.30 | Model Sparsity: 0.97
Recovery epoch [4/10]: Avg Loss: 0.1066 | Avg Accuracy: 89.58 | Model Sparsity: 0.97
Recovery epoch [5/10]: Avg Loss: 0.0980 | Avg Accuracy: 90.00 | Model Sparsity: 0.97
Recovery epoch [6/10]: Avg Loss: 0.1118 | Avg Accuracy: 89.65 | Model Sparsity: 0.97
Recovery epoch [7/10]: Avg Loss: 0.0936 | Avg Accuracy: 90.64 | Model Sparsity: 0.97
Recovery epoch [8/10]: Avg Loss: 0.0863 | Avg Accuracy: 87.67 | Model Sparsity: 0.97
Recovery epoch [9/10]: Avg Loss: 0.0950 | Avg Accuracy: 89.89 | Model Sparsity: 0.97
Recovery epoch [10/10]: Avg Loss: 0.0779 | Avg Accuracy: 90.62 | Model Sparsity: 0.97
