Model : vgg19 - Learning Type: cifar100/baseline
Configuration:
model_type: cv
model_name: vgg19
model_task: cifar100
num_classes: 100
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 150
pruning_epochs: 150
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: baseline
scheduler_type: linear_with_warmup
optimizer_type: sgd
total_steps: 12450
warmup_steps: 1245
prune: False
target_sparsity: 0.0
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg19/cifar100/vgg19_cifar100_baseline.pt

Epoch [1/150]: Avg Loss: 4.6254 | Avg Accuracy: 10.06 | Model Sparsity: 0.0
Epoch [2/150]: Avg Loss: 3.5899 | Avg Accuracy: 30.55 | Model Sparsity: 0.0
Epoch [3/150]: Avg Loss: 2.6142 | Avg Accuracy: 41.25 | Model Sparsity: 0.0
Epoch [4/150]: Avg Loss: 2.1753 | Avg Accuracy: 47.49 | Model Sparsity: 0.0
Epoch [5/150]: Avg Loss: 1.9360 | Avg Accuracy: 51.53 | Model Sparsity: 0.0
Epoch [6/150]: Avg Loss: 1.7604 | Avg Accuracy: 52.71 | Model Sparsity: 0.0
Epoch [7/150]: Avg Loss: 1.6297 | Avg Accuracy: 55.15 | Model Sparsity: 0.0
Epoch [8/150]: Avg Loss: 1.5263 | Avg Accuracy: 55.71 | Model Sparsity: 0.0
Epoch [9/150]: Avg Loss: 1.4478 | Avg Accuracy: 58.86 | Model Sparsity: 0.0
Epoch [10/150]: Avg Loss: 1.3513 | Avg Accuracy: 59.18 | Model Sparsity: 0.0
Epoch [11/150]: Avg Loss: 1.2966 | Avg Accuracy: 59.54 | Model Sparsity: 0.0
Epoch [12/150]: Avg Loss: 1.2177 | Avg Accuracy: 60.62 | Model Sparsity: 0.0
Epoch [13/150]: Avg Loss: 1.1606 | Avg Accuracy: 59.47 | Model Sparsity: 0.0
Epoch [14/150]: Avg Loss: 1.1238 | Avg Accuracy: 60.92 | Model Sparsity: 0.0
