Model : vgg19 - Learning Type: emnist/bacp_finetune/movement_pruning/0.99
Configuration:
model_type: cv
model_name: vgg19
model_task: emnist
num_classes: 47
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: movement_pruning
target_sparsity: 0.99
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg19/emnist/vgg19_emnist_movement_pruning_0.99_bacp_finetune.pt
finetuned_weights: /dbfs/research/vgg19/emnist/vgg19_emnist_movement_pruning_0.99_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 0.7405 | Avg Accuracy: 90.53 | Model Sparsity: 0.99
Epoch [2/50]: Avg Loss: 0.2875 | Avg Accuracy: 90.54 | Model Sparsity: 0.99
Epoch [3/50]: Avg Loss: 0.2664 | Avg Accuracy: 90.62 | Model Sparsity: 0.99
Epoch [4/50]: Avg Loss: 0.2523 | Avg Accuracy: 90.57 | Model Sparsity: 0.99
Epoch [5/50]: Avg Loss: 0.2455 | Avg Accuracy: 90.67 | Model Sparsity: 0.99
Epoch [6/50]: Avg Loss: 0.2363 | Avg Accuracy: 90.60 | Model Sparsity: 0.99
Epoch [7/50]: Avg Loss: 0.2332 | Avg Accuracy: 90.68 | Model Sparsity: 0.99
Epoch [8/50]: Avg Loss: 0.2282 | Avg Accuracy: 90.35 | Model Sparsity: 0.99
Epoch [9/50]: Avg Loss: 0.2236 | Avg Accuracy: 90.65 | Model Sparsity: 0.99
Epoch [10/50]: Avg Loss: 0.2199 | Avg Accuracy: 90.59 | Model Sparsity: 0.99
Epoch [11/50]: Avg Loss: 0.2163 | Avg Accuracy: 90.62 | Model Sparsity: 0.99
Epoch [12/50]: Avg Loss: 0.2130 | Avg Accuracy: 90.60 | Model Sparsity: 0.99
Epoch [13/50]: Avg Loss: 0.2089 | Avg Accuracy: 90.84 | Model Sparsity: 0.99
Epoch [14/50]: Avg Loss: 0.2067 | Avg Accuracy: 90.68 | Model Sparsity: 0.99
Epoch [15/50]: Avg Loss: 0.2038 | Avg Accuracy: 90.40 | Model Sparsity: 0.99
Epoch [16/50]: Avg Loss: 0.2011 | Avg Accuracy: 90.68 | Model Sparsity: 0.99
Epoch [17/50]: Avg Loss: 0.1989 | Avg Accuracy: 90.59 | Model Sparsity: 0.99
Epoch [18/50]: Avg Loss: 0.1964 | Avg Accuracy: 90.65 | Model Sparsity: 0.99
Epoch [19/50]: Avg Loss: 0.1932 | Avg Accuracy: 90.80 | Model Sparsity: 0.99
Epoch [20/50]: Avg Loss: 0.1913 | Avg Accuracy: 90.24 | Model Sparsity: 0.99
Epoch [21/50]: Avg Loss: 0.1885 | Avg Accuracy: 90.63 | Model Sparsity: 0.99
Epoch [22/50]: Avg Loss: 0.1870 | Avg Accuracy: 90.47 | Model Sparsity: 0.99
Epoch [23/50]: Avg Loss: 0.1875 | Avg Accuracy: 90.51 | Model Sparsity: 0.99
Epoch [24/50]: Avg Loss: 0.1820 | Avg Accuracy: 90.64 | Model Sparsity: 0.99
Epoch [25/50]: Avg Loss: 0.1806 | Avg Accuracy: 90.39 | Model Sparsity: 0.99
Epoch [26/50]: Avg Loss: 0.1781 | Avg Accuracy: 90.73 | Model Sparsity: 0.99
Epoch [27/50]: Avg Loss: 0.1773 | Avg Accuracy: 90.64 | Model Sparsity: 0.99
Epoch [28/50]: Avg Loss: 0.1748 | Avg Accuracy: 90.44 | Model Sparsity: 0.99
Epoch [29/50]: Avg Loss: 0.1744 | Avg Accuracy: 90.67 | Model Sparsity: 0.99
Epoch [30/50]: Avg Loss: 0.1711 | Avg Accuracy: 90.18 | Model Sparsity: 0.99
Epoch [31/50]: Avg Loss: 0.1712 | Avg Accuracy: 90.57 | Model Sparsity: 0.99
Epoch [32/50]: Avg Loss: 0.1676 | Avg Accuracy: 90.09 | Model Sparsity: 0.99
Epoch [33/50]: Avg Loss: 0.1653 | Avg Accuracy: 90.21 | Model Sparsity: 0.99
