Model : vgg19 - Learning Type: emnist/bacp_pruning/magnitude_pruning/0.99
Configuration:
model_name: vgg19
model_task: emnist
model_type: cv
num_classes: 47
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 187
val_batches: 33
current_model_path: /dbfs/research/vgg19/emnist/vgg19_emnist_magnitude_pruning_0.99_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 8.3869 | Avg PrC Loss: 3.6357 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.7539 | Avg CE Loss: 0.9973 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 11.6640 | Avg PrC Loss: 3.5728 | Avg SnC Loss: 3.5672 | Avg FiC Loss: 3.6040 | Avg CE Loss: 0.9200 | Model Sparsity: 0.4831
Retraining Epoch [2/10]: Avg Total Loss: 10.7238 | Avg PrC Loss: 3.4486 | Avg SnC Loss: 3.5654 | Avg FiC Loss: 3.1163 | Avg CE Loss: 0.5935 | Model Sparsity: 0.4831
Retraining Epoch [3/10]: Avg Total Loss: 9.4943 | Avg PrC Loss: 3.3396 | Avg SnC Loss: 3.5883 | Avg FiC Loss: 2.3564 | Avg CE Loss: 0.2101 | Model Sparsity: 0.4831
Retraining Epoch [4/10]: Avg Total Loss: 9.1796 | Avg PrC Loss: 3.3053 | Avg SnC Loss: 3.5871 | Avg FiC Loss: 2.1589 | Avg CE Loss: 0.1284 | Model Sparsity: 0.4831
Retraining Epoch [5/10]: Avg Total Loss: 9.1181 | Avg PrC Loss: 3.2979 | Avg SnC Loss: 3.5854 | Avg FiC Loss: 2.1247 | Avg CE Loss: 0.1101 | Model Sparsity: 0.4831
Retraining Epoch [6/10]: Avg Total Loss: 9.0848 | Avg PrC Loss: 3.2950 | Avg SnC Loss: 3.5847 | Avg FiC Loss: 2.1053 | Avg CE Loss: 0.0998 | Model Sparsity: 0.4831
Retraining Epoch [7/10]: Avg Total Loss: 9.0687 | Avg PrC Loss: 3.2927 | Avg SnC Loss: 3.5844 | Avg FiC Loss: 2.0972 | Avg CE Loss: 0.0944 | Model Sparsity: 0.4831
Retraining Epoch [8/10]: Avg Total Loss: 9.0585 | Avg PrC Loss: 3.2906 | Avg SnC Loss: 3.5846 | Avg FiC Loss: 2.0916 | Avg CE Loss: 0.0918 | Model Sparsity: 0.4831
Retraining Epoch [9/10]: Avg Total Loss: 9.0467 | Avg PrC Loss: 3.2894 | Avg SnC Loss: 3.5840 | Avg FiC Loss: 2.0856 | Avg CE Loss: 0.0878 | Model Sparsity: 0.4831
Retraining Epoch [10/10]: Avg Total Loss: 9.0398 | Avg PrC Loss: 3.2878 | Avg SnC Loss: 3.5840 | Avg FiC Loss: 2.0822 | Avg CE Loss: 0.0857 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Total Loss: 9.0289 | Avg PrC Loss: 3.2861 | Avg SnC Loss: 3.5842 | Avg FiC Loss: 2.0763 | Avg CE Loss: 0.0823 | Model Sparsity: 0.7762
Retraining Epoch [1/10]: Avg Total Loss: 11.0132 | Avg PrC Loss: 3.3072 | Avg SnC Loss: 5.5816 | Avg FiC Loss: 2.0353 | Avg CE Loss: 0.0890 | Model Sparsity: 0.7762
Retraining Epoch [2/10]: Avg Total Loss: 11.0072 | Avg PrC Loss: 3.3068 | Avg SnC Loss: 5.5792 | Avg FiC Loss: 2.0338 | Avg CE Loss: 0.0874 | Model Sparsity: 0.7762
Retraining Epoch [3/10]: Avg Total Loss: 10.9967 | Avg PrC Loss: 3.3062 | Avg SnC Loss: 5.5753 | Avg FiC Loss: 2.0299 | Avg CE Loss: 0.0852 | Model Sparsity: 0.7762
Retraining Epoch [4/10]: Avg Total Loss: 10.9853 | Avg PrC Loss: 3.3043 | Avg SnC Loss: 5.5722 | Avg FiC Loss: 2.0262 | Avg CE Loss: 0.0827 | Model Sparsity: 0.7762
Retraining Epoch [5/10]: Avg Total Loss: 10.9855 | Avg PrC Loss: 3.3053 | Avg SnC Loss: 5.5719 | Avg FiC Loss: 2.0259 | Avg CE Loss: 0.0823 | Model Sparsity: 0.7762
