Model : vgg19 - Learning Type: emnist/bacp_pruning/movement_pruning/0.97
Configuration:
model_name: vgg19
model_task: emnist
model_type: cv
num_classes: 47
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 187
val_batches: 33
current_model_path: /dbfs/research/vgg19/emnist/vgg19_emnist_movement_pruning_0.97_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 5.8181 | Avg PrC Loss: 3.3222 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.2358 | Avg CE Loss: 0.2601 | Model Sparsity: 0.5598
Retraining Epoch [1/10]: Avg Total Loss: 7.2693 | Avg PrC Loss: 3.3221 | Avg SnC Loss: 1.8525 | Avg FiC Loss: 1.9893 | Avg CE Loss: 0.1054 | Model Sparsity: 0.5598
Retraining Epoch [2/10]: Avg Total Loss: 7.2320 | Avg PrC Loss: 3.3147 | Avg SnC Loss: 1.8451 | Avg FiC Loss: 1.9768 | Avg CE Loss: 0.0953 | Model Sparsity: 0.5598
Retraining Epoch [3/10]: Avg Total Loss: 7.2010 | Avg PrC Loss: 3.3092 | Avg SnC Loss: 1.8373 | Avg FiC Loss: 1.9665 | Avg CE Loss: 0.0881 | Model Sparsity: 0.5598
Retraining Epoch [4/10]: Avg Total Loss: 7.1913 | Avg PrC Loss: 3.3055 | Avg SnC Loss: 1.8369 | Avg FiC Loss: 1.9633 | Avg CE Loss: 0.0856 | Model Sparsity: 0.5598
Retraining Epoch [5/10]: Avg Total Loss: 7.1750 | Avg PrC Loss: 3.3013 | Avg SnC Loss: 1.8336 | Avg FiC Loss: 1.9576 | Avg CE Loss: 0.0824 | Model Sparsity: 0.5598
Retraining Epoch [6/10]: Avg Total Loss: 7.1758 | Avg PrC Loss: 3.3024 | Avg SnC Loss: 1.8345 | Avg FiC Loss: 1.9576 | Avg CE Loss: 0.0813 | Model Sparsity: 0.5598
Retraining Epoch [7/10]: Avg Total Loss: 7.1655 | Avg PrC Loss: 3.2980 | Avg SnC Loss: 1.8331 | Avg FiC Loss: 1.9547 | Avg CE Loss: 0.0796 | Model Sparsity: 0.5598
Retraining Epoch [8/10]: Avg Total Loss: 7.1525 | Avg PrC Loss: 3.2955 | Avg SnC Loss: 1.8297 | Avg FiC Loss: 1.9500 | Avg CE Loss: 0.0773 | Model Sparsity: 0.5598
Retraining Epoch [9/10]: Avg Total Loss: 7.1518 | Avg PrC Loss: 3.2941 | Avg SnC Loss: 1.8309 | Avg FiC Loss: 1.9504 | Avg CE Loss: 0.0764 | Model Sparsity: 0.5598
Retraining Epoch [10/10]: Avg Total Loss: 7.1526 | Avg PrC Loss: 3.2942 | Avg SnC Loss: 1.8312 | Avg FiC Loss: 1.9506 | Avg CE Loss: 0.0766 | Model Sparsity: 0.5598
Epoch [2/5]: Avg Total Loss: 7.1493 | Avg PrC Loss: 3.2954 | Avg SnC Loss: 1.8295 | Avg FiC Loss: 1.9492 | Avg CE Loss: 0.0752 | Model Sparsity: 0.7605
Retraining Epoch [1/10]: Avg Total Loss: 8.9185 | Avg PrC Loss: 3.3205 | Avg SnC Loss: 3.5884 | Avg FiC Loss: 1.9349 | Avg CE Loss: 0.0747 | Model Sparsity: 0.7605
Retraining Epoch [2/10]: Avg Total Loss: 8.9179 | Avg PrC Loss: 3.3191 | Avg SnC Loss: 3.5889 | Avg FiC Loss: 1.9347 | Avg CE Loss: 0.0752 | Model Sparsity: 0.7605
Retraining Epoch [3/10]: Avg Total Loss: 8.9197 | Avg PrC Loss: 3.3186 | Avg SnC Loss: 3.5902 | Avg FiC Loss: 1.9356 | Avg CE Loss: 0.0752 | Model Sparsity: 0.7605
Retraining Epoch [4/10]: Avg Total Loss: 8.9146 | Avg PrC Loss: 3.3179 | Avg SnC Loss: 3.5880 | Avg FiC Loss: 1.9344 | Avg CE Loss: 0.0743 | Model Sparsity: 0.7605
Retraining Epoch [5/10]: Avg Total Loss: 8.9069 | Avg PrC Loss: 3.3171 | Avg SnC Loss: 3.5841 | Avg FiC Loss: 1.9323 | Avg CE Loss: 0.0734 | Model Sparsity: 0.7605
Retraining Epoch [6/10]: Avg Total Loss: 8.9118 | Avg PrC Loss: 3.3168 | Avg SnC Loss: 3.5864 | Avg FiC Loss: 1.9341 | Avg CE Loss: 0.0745 | Model Sparsity: 0.7605
Retraining Epoch [7/10]: Avg Total Loss: 8.9123 | Avg PrC Loss: 3.3167 | Avg SnC Loss: 3.5877 | Avg FiC Loss: 1.9342 | Avg CE Loss: 0.0737 | Model Sparsity: 0.7605
Retraining Epoch [8/10]: Avg Total Loss: 8.9064 | Avg PrC Loss: 3.3166 | Avg SnC Loss: 3.5839 | Avg FiC Loss: 1.9319 | Avg CE Loss: 0.0739 | Model Sparsity: 0.7605
Retraining Epoch [9/10]: Avg Total Loss: 8.9061 | Avg PrC Loss: 3.3156 | Avg SnC Loss: 3.5846 | Avg FiC Loss: 1.9327 | Avg CE Loss: 0.0733 | Model Sparsity: 0.7605
Retraining Epoch [10/10]: Avg Total Loss: 8.9072 | Avg PrC Loss: 3.3162 | Avg SnC Loss: 3.5855 | Avg FiC Loss: 1.9326 | Avg CE Loss: 0.0730 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Total Loss: 8.9216 | Avg PrC Loss: 3.3174 | Avg SnC Loss: 3.5922 | Avg FiC Loss: 1.9383 | Avg CE Loss: 0.0737 | Model Sparsity: 0.9079
