Model : vgg19 - Learning Type: emnist/pruning/movement_pruning/0.95
Configuration:
model_type: cv
model_name: vgg19
model_task: emnist
num_classes: 47
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg19/emnist/vgg19_emnist_movement_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/vgg19/emnist/vgg19_emnist_baseline.pt

Epoch [1/5]: Avg Loss: 0.1879 | Avg Accuracy: 89.74 | Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 0.1818 | Avg Accuracy: 89.45 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 0.1783 | Avg Accuracy: 89.52 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.1754 | Avg Accuracy: 89.35 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.1738 | Avg Accuracy: 89.31 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.1722 | Avg Accuracy: 89.54 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.1699 | Avg Accuracy: 89.36 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.1692 | Avg Accuracy: 89.29 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.1659 | Avg Accuracy: 89.29 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.1628 | Avg Accuracy: 89.37 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.1625 | Avg Accuracy: 88.87 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 0.1694 | Avg Accuracy: 89.03 | Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 0.1680 | Avg Accuracy: 89.17 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 0.1643 | Avg Accuracy: 89.44 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 0.1619 | Avg Accuracy: 89.29 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 0.1607 | Avg Accuracy: 88.97 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 0.1570 | Avg Accuracy: 89.14 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 0.1543 | Avg Accuracy: 89.09 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: 0.1540 | Avg Accuracy: 89.21 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: 0.1532 | Avg Accuracy: 88.60 | Model Sparsity: 0.7448
Recovery epoch [9/10]: Avg Loss: 0.1520 | Avg Accuracy: 89.27 | Model Sparsity: 0.7448
Recovery epoch [10/10]: Avg Loss: 0.1492 | Avg Accuracy: 89.10 | Model Sparsity: 0.7448
