Model : vgg19 - Learning Type: mnist/bacp_finetune/magnitude_pruning/0.99
Configuration:
model_type: cv
model_name: vgg19
model_task: mnist
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg19/mnist/vgg19_mnist_magnitude_pruning_0.99_bacp_finetune.pt
finetuned_weights: /dbfs/research/vgg19/mnist/vgg19_mnist_magnitude_pruning_0.99_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 0.2249 | Avg Accuracy: 99.67 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [2/50]: Avg Loss: 0.0124 | Avg Accuracy: 99.71 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [3/50]: Avg Loss: 0.0097 | Avg Accuracy: 99.72 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [4/50]: Avg Loss: 0.0104 | Avg Accuracy: 99.74 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [5/50]: Avg Loss: 0.0090 | Avg Accuracy: 99.79 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [6/50]: Avg Loss: 0.0079 | Avg Accuracy: 99.78 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [7/50]: Avg Loss: 0.0082 | Avg Accuracy: 99.67 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [8/50]: Avg Loss: 0.0072 | Avg Accuracy: 99.68 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [9/50]: Avg Loss: 0.0064 | Avg Accuracy: 99.75 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [10/50]: Avg Loss: 0.0061 | Avg Accuracy: 99.75 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [11/50]: Avg Loss: 0.0062 | Avg Accuracy: 99.72 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [12/50]: Avg Loss: 0.0057 | Avg Accuracy: 99.76 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [13/50]: Avg Loss: 0.0060 | Avg Accuracy: 99.71 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [14/50]: Avg Loss: 0.0049 | Avg Accuracy: 99.74 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [15/50]: Avg Loss: 0.0056 | Avg Accuracy: 99.67 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [16/50]: Avg Loss: 0.0047 | Avg Accuracy: 99.70 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [17/50]: Avg Loss: 0.0054 | Avg Accuracy: 99.77 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [18/50]: Avg Loss: 0.0039 | Avg Accuracy: 99.75 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [19/50]: Avg Loss: 0.0034 | Avg Accuracy: 99.70 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [20/50]: Avg Loss: 0.0043 | Avg Accuracy: 99.70 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [21/50]: Avg Loss: 0.0044 | Avg Accuracy: 99.72 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [22/50]: Avg Loss: 0.0039 | Avg Accuracy: 99.75 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [23/50]: Avg Loss: 0.0038 | Avg Accuracy: 99.78 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [24/50]: Avg Loss: 0.0036 | Avg Accuracy: 99.71 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Epoch [25/50]: Avg Loss: 0.0037 | Avg Accuracy: 99.77 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
