Model : vgg19 - Learning Type: mnist/pruning/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: vgg19
model_task: mnist
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg19/mnist/vgg19_mnist_magnitude_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/vgg19/mnist/vgg19_mnist_baseline.pt

Epoch [1/5]: Avg Loss: 0.0008 | Avg Accuracy: 99.39 | Avg Perplexity: 0.000 |Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 0.0029 | Avg Accuracy: 99.38 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 0.0026 | Avg Accuracy: 99.28 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.0040 | Avg Accuracy: 99.41 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.0029 | Avg Accuracy: 99.36 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.0030 | Avg Accuracy: 99.38 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.0024 | Avg Accuracy: 99.38 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.0026 | Avg Accuracy: 99.39 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.0047 | Avg Accuracy: 99.07 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.0033 | Avg Accuracy: 99.47 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.0027 | Avg Accuracy: 99.37 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 0.0025 | Avg Accuracy: 99.23 | Avg Perplexity: 0.000 |Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 0.0029 | Avg Accuracy: 99.44 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 0.0016 | Avg Accuracy: 99.40 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 0.0017 | Avg Accuracy: 99.47 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 0.0018 | Avg Accuracy: 99.37 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 0.0022 | Avg Accuracy: 99.40 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 0.0018 | Avg Accuracy: 99.46 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: 0.0021 | Avg Accuracy: 99.47 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: 0.0022 | Avg Accuracy: 99.33 | Model Sparsity: 0.7448
Recovery epoch [9/10]: Avg Loss: 0.0014 | Avg Accuracy: 99.48 | Model Sparsity: 0.7448
Recovery epoch [10/10]: Avg Loss: 0.0022 | Avg Accuracy: 99.39 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Loss: 0.0187 | Avg Accuracy: 99.43 | Avg Perplexity: 0.000 |Model Sparsity: 0.8892
Recovery epoch [1/10]: Avg Loss: 0.0050 | Avg Accuracy: 99.44 | Model Sparsity: 0.8892
Recovery epoch [2/10]: Avg Loss: 0.0045 | Avg Accuracy: 99.44 | Model Sparsity: 0.8892
Recovery epoch [3/10]: Avg Loss: 0.0044 | Avg Accuracy: 99.39 | Model Sparsity: 0.8892
Recovery epoch [4/10]: Avg Loss: 0.0041 | Avg Accuracy: 99.37 | Model Sparsity: 0.8892
Recovery epoch [5/10]: Avg Loss: 0.0035 | Avg Accuracy: 99.41 | Model Sparsity: 0.8892
Recovery epoch [6/10]: Avg Loss: 0.0042 | Avg Accuracy: 99.43 | Model Sparsity: 0.8892
Recovery epoch [7/10]: Avg Loss: 0.0045 | Avg Accuracy: 99.28 | Model Sparsity: 0.8892
Recovery epoch [8/10]: Avg Loss: 0.0044 | Avg Accuracy: 99.45 | Model Sparsity: 0.8892
Recovery epoch [9/10]: Avg Loss: 0.0027 | Avg Accuracy: 99.36 | Model Sparsity: 0.8892
Recovery epoch [10/10]: Avg Loss: 0.0026 | Avg Accuracy: 99.37 | Model Sparsity: 0.8892
Epoch [4/5]: Avg Loss: 0.0459 | Avg Accuracy: 99.40 | Avg Perplexity: 0.000 |Model Sparsity: 0.9424
Recovery epoch [1/10]: Avg Loss: 0.0104 | Avg Accuracy: 99.21 | Model Sparsity: 0.9424
Recovery epoch [2/10]: Avg Loss: 0.0081 | Avg Accuracy: 99.45 | Model Sparsity: 0.9424
Recovery epoch [3/10]: Avg Loss: 0.0080 | Avg Accuracy: 99.36 | Model Sparsity: 0.9424
Recovery epoch [4/10]: Avg Loss: 0.0084 | Avg Accuracy: 99.40 | Model Sparsity: 0.9424
Recovery epoch [5/10]: Avg Loss: 0.0077 | Avg Accuracy: 99.29 | Model Sparsity: 0.9424
Recovery epoch [6/10]: Avg Loss: 0.0059 | Avg Accuracy: 99.45 | Model Sparsity: 0.9424
Recovery epoch [7/10]: Avg Loss: 0.0062 | Avg Accuracy: 99.47 | Model Sparsity: 0.9424
Recovery epoch [8/10]: Avg Loss: 0.0060 | Avg Accuracy: 99.41 | Model Sparsity: 0.9424
Recovery epoch [9/10]: Avg Loss: 0.0049 | Avg Accuracy: 99.29 | Model Sparsity: 0.9424
Recovery epoch [10/10]: Avg Loss: 0.0057 | Avg Accuracy: 99.22 | Model Sparsity: 0.9424
Epoch [5/5]: Avg Loss: 0.0110 | Avg Accuracy: 99.31 | Avg Perplexity: 0.000 |Model Sparsity: 0.95
Recovery epoch [1/10]: Avg Loss: 0.0049 | Avg Accuracy: 99.40 | Model Sparsity: 0.95
Recovery epoch [2/10]: Avg Loss: 0.0037 | Avg Accuracy: 99.15 | Model Sparsity: 0.95
Recovery epoch [3/10]: Avg Loss: 0.0045 | Avg Accuracy: 99.26 | Model Sparsity: 0.95
Recovery epoch [4/10]: Avg Loss: 0.0035 | Avg Accuracy: 99.44 | Model Sparsity: 0.95
Recovery epoch [5/10]: Avg Loss: 0.0043 | Avg Accuracy: 99.41 | Model Sparsity: 0.95
Recovery epoch [6/10]: Avg Loss: 0.0036 | Avg Accuracy: 99.32 | Model Sparsity: 0.95
Recovery epoch [7/10]: Avg Loss: 0.0030 | Avg Accuracy: 99.40 | Model Sparsity: 0.95
Recovery epoch [8/10]: Avg Loss: 0.0043 | Avg Accuracy: 99.43 | Model Sparsity: 0.95
Recovery epoch [9/10]: Avg Loss: 0.0039 | Avg Accuracy: 99.43 | Model Sparsity: 0.95
Recovery epoch [10/10]: Avg Loss: 0.0037 | Avg Accuracy: 99.35 | Model Sparsity: 0.95
