Model : vgg19 - Learning Type: mnist/pruning/movement_pruning/0.99
Configuration:
model_type: cv
model_name: vgg19
model_task: mnist
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: movement_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg19/mnist/vgg19_mnist_movement_pruning_0.99_pruning.pt
finetuned_weights: /dbfs/research/vgg19/mnist/vgg19_mnist_baseline.pt

Epoch [1/5]: Avg Loss: 0.0023 | Avg Accuracy: 99.22 | Avg Perplexity: 0.000 |Model Sparsity: 0.4831
Recovery epoch [1/10]: Avg Loss: 0.0051 | Avg Accuracy: 99.46 | Model Sparsity: 0.4831
Recovery epoch [2/10]: Avg Loss: 0.0035 | Avg Accuracy: 99.37 | Model Sparsity: 0.4831
Recovery epoch [3/10]: Avg Loss: 0.0056 | Avg Accuracy: 99.43 | Model Sparsity: 0.4831
Recovery epoch [4/10]: Avg Loss: 0.0028 | Avg Accuracy: 99.33 | Model Sparsity: 0.4831
Recovery epoch [5/10]: Avg Loss: 0.0039 | Avg Accuracy: 99.32 | Model Sparsity: 0.4831
Recovery epoch [6/10]: Avg Loss: 0.0023 | Avg Accuracy: 99.35 | Model Sparsity: 0.4831
Recovery epoch [7/10]: Avg Loss: 0.0037 | Avg Accuracy: 99.40 | Model Sparsity: 0.4831
Recovery epoch [8/10]: Avg Loss: 0.0048 | Avg Accuracy: 99.17 | Model Sparsity: 0.4831
Recovery epoch [9/10]: Avg Loss: 0.0025 | Avg Accuracy: 99.37 | Model Sparsity: 0.4831
Recovery epoch [10/10]: Avg Loss: 0.0028 | Avg Accuracy: 99.43 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Loss: 0.0048 | Avg Accuracy: 99.47 | Avg Perplexity: 0.000 |Model Sparsity: 0.7762
Recovery epoch [1/10]: Avg Loss: 0.0038 | Avg Accuracy: 99.39 | Model Sparsity: 0.7762
Recovery epoch [2/10]: Avg Loss: 0.0029 | Avg Accuracy: 99.43 | Model Sparsity: 0.7762
Recovery epoch [3/10]: Avg Loss: 0.0033 | Avg Accuracy: 99.39 | Model Sparsity: 0.7762
Recovery epoch [4/10]: Avg Loss: 0.0041 | Avg Accuracy: 99.46 | Model Sparsity: 0.7762
Recovery epoch [5/10]: Avg Loss: 0.0025 | Avg Accuracy: 99.41 | Model Sparsity: 0.7762
Recovery epoch [6/10]: Avg Loss: 0.0033 | Avg Accuracy: 99.39 | Model Sparsity: 0.7762
Recovery epoch [7/10]: Avg Loss: 0.0023 | Avg Accuracy: 99.39 | Model Sparsity: 0.7762
Recovery epoch [8/10]: Avg Loss: 0.0026 | Avg Accuracy: 99.43 | Model Sparsity: 0.7762
Recovery epoch [9/10]: Avg Loss: 0.0029 | Avg Accuracy: 99.38 | Model Sparsity: 0.7762
Recovery epoch [10/10]: Avg Loss: 0.0020 | Avg Accuracy: 99.39 | Model Sparsity: 0.7762
Epoch [3/5]: Avg Loss: 1.8541 | Avg Accuracy: 50.84 | Avg Perplexity: 0.000 |Model Sparsity: 0.9266
Recovery epoch [1/10]: Avg Loss: 0.4748 | Avg Accuracy: 97.73 | Model Sparsity: 0.9266
Recovery epoch [2/10]: Avg Loss: 0.0852 | Avg Accuracy: 98.66 | Model Sparsity: 0.9266
Recovery epoch [3/10]: Avg Loss: 0.0456 | Avg Accuracy: 98.67 | Model Sparsity: 0.9266
Recovery epoch [4/10]: Avg Loss: 0.0423 | Avg Accuracy: 98.87 | Model Sparsity: 0.9266
Recovery epoch [5/10]: Avg Loss: 0.0306 | Avg Accuracy: 99.02 | Model Sparsity: 0.9266
Recovery epoch [6/10]: Avg Loss: 0.0268 | Avg Accuracy: 99.03 | Model Sparsity: 0.9266
Recovery epoch [7/10]: Avg Loss: 0.0227 | Avg Accuracy: 99.20 | Model Sparsity: 0.9266
Recovery epoch [8/10]: Avg Loss: 0.0225 | Avg Accuracy: 99.15 | Model Sparsity: 0.9266
Recovery epoch [9/10]: Avg Loss: 0.0169 | Avg Accuracy: 98.99 | Model Sparsity: 0.9266
Recovery epoch [10/10]: Avg Loss: 0.0159 | Avg Accuracy: 99.22 | Model Sparsity: 0.9266
Epoch [4/5]: Avg Loss: 0.0891 | Avg Accuracy: 99.07 | Avg Perplexity: 0.000 |Model Sparsity: 0.9821
Recovery epoch [1/10]: Avg Loss: 0.0265 | Avg Accuracy: 99.07 | Model Sparsity: 0.9821
Recovery epoch [2/10]: Avg Loss: 0.0228 | Avg Accuracy: 98.99 | Model Sparsity: 0.9821
Recovery epoch [3/10]: Avg Loss: 0.0197 | Avg Accuracy: 99.15 | Model Sparsity: 0.9821
Recovery epoch [4/10]: Avg Loss: 0.0198 | Avg Accuracy: 99.23 | Model Sparsity: 0.9821
Recovery epoch [5/10]: Avg Loss: 0.0174 | Avg Accuracy: 99.29 | Model Sparsity: 0.9821
Recovery epoch [6/10]: Avg Loss: 0.0160 | Avg Accuracy: 99.20 | Model Sparsity: 0.9821
Recovery epoch [7/10]: Avg Loss: 0.0138 | Avg Accuracy: 99.17 | Model Sparsity: 0.9821
Recovery epoch [8/10]: Avg Loss: 0.0121 | Avg Accuracy: 99.26 | Model Sparsity: 0.9821
Recovery epoch [9/10]: Avg Loss: 0.0144 | Avg Accuracy: 99.26 | Model Sparsity: 0.9821
Recovery epoch [10/10]: Avg Loss: 0.0103 | Avg Accuracy: 99.23 | Model Sparsity: 0.9821
Epoch [5/5]: Avg Loss: 0.1038 | Avg Accuracy: 99.02 | Avg Perplexity: 0.000 |Model Sparsity: 0.99
Recovery epoch [1/10]: Avg Loss: 0.0262 | Avg Accuracy: 99.03 | Model Sparsity: 0.99
Recovery epoch [2/10]: Avg Loss: 0.0230 | Avg Accuracy: 99.12 | Model Sparsity: 0.99
