Model : vit_small - Learning Type: cifar10/bacp_pruning/movement_pruning/0.99
Configuration:
model_name: vit_small
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 256
learning_rate: 0.01
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 166
val_batches: 29
current_model_path: /dbfs/research/vit_small/cifar10/vit_small_cifar10_movement_pruning_0.99_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 5.0728 | Avg PrC Loss: 2.6153 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3106 | Avg CE Loss: 0.1469 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 4.7812 | Avg PrC Loss: 2.5316 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.1885 | Avg CE Loss: 0.0611 | Model Sparsity: 0.4831
Retraining Epoch [2/10]: Avg Total Loss: 4.7271 | Avg PrC Loss: 2.5118 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.1664 | Avg CE Loss: 0.0489 | Model Sparsity: 0.4831
Retraining Epoch [3/10]: Avg Total Loss: 4.6927 | Avg PrC Loss: 2.4975 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.1529 | Avg CE Loss: 0.0424 | Model Sparsity: 0.4831
Retraining Epoch [4/10]: Avg Total Loss: 4.6722 | Avg PrC Loss: 2.4897 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.1452 | Avg CE Loss: 0.0372 | Model Sparsity: 0.4831
Retraining Epoch [5/10]: Avg Total Loss: 4.6563 | Avg PrC Loss: 2.4858 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.1378 | Avg CE Loss: 0.0326 | Model Sparsity: 0.4831
Retraining Epoch [6/10]: Avg Total Loss: 4.6561 | Avg PrC Loss: 2.4849 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.1396 | Avg CE Loss: 0.0316 | Model Sparsity: 0.4831
Retraining Epoch [7/10]: Avg Total Loss: 4.6363 | Avg PrC Loss: 2.4756 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.1333 | Avg CE Loss: 0.0275 | Model Sparsity: 0.4831
Retraining Epoch [8/10]: Avg Total Loss: 4.6254 | Avg PrC Loss: 2.4711 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.1275 | Avg CE Loss: 0.0268 | Model Sparsity: 0.4831
Retraining Epoch [9/10]: Avg Total Loss: 4.6226 | Avg PrC Loss: 2.4705 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.1277 | Avg CE Loss: 0.0244 | Model Sparsity: 0.4831
Retraining Epoch [10/10]: Avg Total Loss: 4.6186 | Avg PrC Loss: 2.4689 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.1246 | Avg CE Loss: 0.0251 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Total Loss: 9.6883 | Avg PrC Loss: 3.1493 | Avg SnC Loss: 2.9347 | Avg FiC Loss: 3.1343 | Avg CE Loss: 0.4700 | Model Sparsity: 0.7762
Retraining Epoch [1/10]: Avg Total Loss: 7.4600 | Avg PrC Loss: 2.7162 | Avg SnC Loss: 2.1353 | Avg FiC Loss: 2.4233 | Avg CE Loss: 0.1851 | Model Sparsity: 0.7762
Retraining Epoch [2/10]: Avg Total Loss: 7.0614 | Avg PrC Loss: 2.6430 | Avg SnC Loss: 1.9885 | Avg FiC Loss: 2.3065 | Avg CE Loss: 0.1234 | Model Sparsity: 0.7762
Retraining Epoch [3/10]: Avg Total Loss: 6.9103 | Avg PrC Loss: 2.6143 | Avg SnC Loss: 1.9327 | Avg FiC Loss: 2.2628 | Avg CE Loss: 0.1004 | Model Sparsity: 0.7762
Retraining Epoch [4/10]: Avg Total Loss: 6.8229 | Avg PrC Loss: 2.5962 | Avg SnC Loss: 1.9010 | Avg FiC Loss: 2.2390 | Avg CE Loss: 0.0867 | Model Sparsity: 0.7762
Retraining Epoch [5/10]: Avg Total Loss: 6.7798 | Avg PrC Loss: 2.5870 | Avg SnC Loss: 1.8850 | Avg FiC Loss: 2.2288 | Avg CE Loss: 0.0790 | Model Sparsity: 0.7762
Retraining Epoch [6/10]: Avg Total Loss: 6.7298 | Avg PrC Loss: 2.5779 | Avg SnC Loss: 1.8655 | Avg FiC Loss: 2.2144 | Avg CE Loss: 0.0720 | Model Sparsity: 0.7762
Retraining Epoch [7/10]: Avg Total Loss: 6.6988 | Avg PrC Loss: 2.5702 | Avg SnC Loss: 1.8550 | Avg FiC Loss: 2.2065 | Avg CE Loss: 0.0672 | Model Sparsity: 0.7762
Retraining Epoch [8/10]: Avg Total Loss: 6.6674 | Avg PrC Loss: 2.5642 | Avg SnC Loss: 1.8432 | Avg FiC Loss: 2.1976 | Avg CE Loss: 0.0623 | Model Sparsity: 0.7762
Retraining Epoch [9/10]: Avg Total Loss: 6.6546 | Avg PrC Loss: 2.5585 | Avg SnC Loss: 1.8397 | Avg FiC Loss: 2.1955 | Avg CE Loss: 0.0608 | Model Sparsity: 0.7762
Retraining Epoch [10/10]: Avg Total Loss: 6.6387 | Avg PrC Loss: 2.5570 | Avg SnC Loss: 1.8326 | Avg FiC Loss: 2.1916 | Avg CE Loss: 0.0575 | Model Sparsity: 0.7762
Epoch [3/5]: Avg Total Loss: 11.1584 | Avg PrC Loss: 2.9337 | Avg SnC Loss: 5.0843 | Avg FiC Loss: 2.7936 | Avg CE Loss: 0.3468 | Model Sparsity: 0.9266
Retraining Epoch [1/10]: Avg Total Loss: 9.7952 | Avg PrC Loss: 2.7513 | Avg SnC Loss: 4.3561 | Avg FiC Loss: 2.4751 | Avg CE Loss: 0.2127 | Model Sparsity: 0.9266
Retraining Epoch [2/10]: Avg Total Loss: 9.4918 | Avg PrC Loss: 2.7122 | Avg SnC Loss: 4.1937 | Avg FiC Loss: 2.4099 | Avg CE Loss: 0.1760 | Model Sparsity: 0.9266
Retraining Epoch [3/10]: Avg Total Loss: 9.3471 | Avg PrC Loss: 2.6927 | Avg SnC Loss: 4.1153 | Avg FiC Loss: 2.3782 | Avg CE Loss: 0.1610 | Model Sparsity: 0.9266
Retraining Epoch [4/10]: Avg Total Loss: 9.2181 | Avg PrC Loss: 2.6750 | Avg SnC Loss: 4.0472 | Avg FiC Loss: 2.3496 | Avg CE Loss: 0.1463 | Model Sparsity: 0.9266
Retraining Epoch [5/10]: Avg Total Loss: 9.1237 | Avg PrC Loss: 2.6614 | Avg SnC Loss: 3.9968 | Avg FiC Loss: 2.3304 | Avg CE Loss: 0.1352 | Model Sparsity: 0.9266
Retraining Epoch [6/10]: Avg Total Loss: 9.0779 | Avg PrC Loss: 2.6559 | Avg SnC Loss: 3.9728 | Avg FiC Loss: 2.3197 | Avg CE Loss: 0.1295 | Model Sparsity: 0.9266
Retraining Epoch [7/10]: Avg Total Loss: 9.0118 | Avg PrC Loss: 2.6473 | Avg SnC Loss: 3.9371 | Avg FiC Loss: 2.3066 | Avg CE Loss: 0.1208 | Model Sparsity: 0.9266
Retraining Epoch [8/10]: Avg Total Loss: 8.9749 | Avg PrC Loss: 2.6400 | Avg SnC Loss: 3.9202 | Avg FiC Loss: 2.2982 | Avg CE Loss: 0.1165 | Model Sparsity: 0.9266
Retraining Epoch [9/10]: Avg Total Loss: 8.9418 | Avg PrC Loss: 2.6370 | Avg SnC Loss: 3.9012 | Avg FiC Loss: 2.2911 | Avg CE Loss: 0.1125 | Model Sparsity: 0.9266
Retraining Epoch [10/10]: Avg Total Loss: 8.9217 | Avg PrC Loss: 2.6331 | Avg SnC Loss: 3.8900 | Avg FiC Loss: 2.2883 | Avg CE Loss: 0.1104 | Model Sparsity: 0.9266
Epoch [4/5]: Avg Total Loss: 13.2102 | Avg PrC Loss: 2.8893 | Avg SnC Loss: 7.2905 | Avg FiC Loss: 2.7056 | Avg CE Loss: 0.3248 | Model Sparsity: 0.9821
Retraining Epoch [1/10]: Avg Total Loss: 11.9886 | Avg PrC Loss: 2.7587 | Avg SnC Loss: 6.5232 | Avg FiC Loss: 2.4843 | Avg CE Loss: 0.2224 | Model Sparsity: 0.9821
Retraining Epoch [2/10]: Avg Total Loss: 11.7394 | Avg PrC Loss: 2.7312 | Avg SnC Loss: 6.3663 | Avg FiC Loss: 2.4424 | Avg CE Loss: 0.1996 | Model Sparsity: 0.9821
Retraining Epoch [3/10]: Avg Total Loss: 11.5662 | Avg PrC Loss: 2.7136 | Avg SnC Loss: 6.2589 | Avg FiC Loss: 2.4110 | Avg CE Loss: 0.1828 | Model Sparsity: 0.9821
Retraining Epoch [4/10]: Avg Total Loss: 11.4621 | Avg PrC Loss: 2.7030 | Avg SnC Loss: 6.1935 | Avg FiC Loss: 2.3933 | Avg CE Loss: 0.1725 | Model Sparsity: 0.9821
Retraining Epoch [5/10]: Avg Total Loss: 11.3784 | Avg PrC Loss: 2.6935 | Avg SnC Loss: 6.1406 | Avg FiC Loss: 2.3793 | Avg CE Loss: 0.1650 | Model Sparsity: 0.9821
Retraining Epoch [6/10]: Avg Total Loss: 11.3520 | Avg PrC Loss: 2.6909 | Avg SnC Loss: 6.1256 | Avg FiC Loss: 2.3740 | Avg CE Loss: 0.1615 | Model Sparsity: 0.9821
Retraining Epoch [7/10]: Avg Total Loss: 11.2892 | Avg PrC Loss: 2.6856 | Avg SnC Loss: 6.0853 | Avg FiC Loss: 2.3641 | Avg CE Loss: 0.1542 | Model Sparsity: 0.9821
Retraining Epoch [8/10]: Avg Total Loss: 11.2497 | Avg PrC Loss: 2.6797 | Avg SnC Loss: 6.0617 | Avg FiC Loss: 2.3574 | Avg CE Loss: 0.1509 | Model Sparsity: 0.9821
Retraining Epoch [9/10]: Avg Total Loss: 11.1992 | Avg PrC Loss: 2.6758 | Avg SnC Loss: 6.0294 | Avg FiC Loss: 2.3482 | Avg CE Loss: 0.1459 | Model Sparsity: 0.9821
Retraining Epoch [10/10]: Avg Total Loss: 11.1787 | Avg PrC Loss: 2.6726 | Avg SnC Loss: 6.0207 | Avg FiC Loss: 2.3438 | Avg CE Loss: 0.1416 | Model Sparsity: 0.9821
Epoch [5/5]: Avg Total Loss: 13.6542 | Avg PrC Loss: 2.7184 | Avg SnC Loss: 8.3360 | Avg FiC Loss: 2.4168 | Avg CE Loss: 0.1831 | Model Sparsity: 0.99
Retraining Epoch [1/10]: Avg Total Loss: 13.5510 | Avg PrC Loss: 2.7081 | Avg SnC Loss: 8.2626 | Avg FiC Loss: 2.4041 | Avg CE Loss: 0.1762 | Model Sparsity: 0.99
Retraining Epoch [2/10]: Avg Total Loss: 13.3889 | Avg PrC Loss: 2.6937 | Avg SnC Loss: 8.1545 | Avg FiC Loss: 2.3775 | Avg CE Loss: 0.1632 | Model Sparsity: 0.99
Retraining Epoch [3/10]: Avg Total Loss: 13.3538 | Avg PrC Loss: 2.6905 | Avg SnC Loss: 8.1304 | Avg FiC Loss: 2.3733 | Avg CE Loss: 0.1595 | Model Sparsity: 0.99
Retraining Epoch [4/10]: Avg Total Loss: 13.2939 | Avg PrC Loss: 2.6857 | Avg SnC Loss: 8.0942 | Avg FiC Loss: 2.3611 | Avg CE Loss: 0.1528 | Model Sparsity: 0.99
Retraining Epoch [5/10]: Avg Total Loss: 13.2398 | Avg PrC Loss: 2.6809 | Avg SnC Loss: 8.0558 | Avg FiC Loss: 2.3533 | Avg CE Loss: 0.1498 | Model Sparsity: 0.99
Retraining Epoch [6/10]: Avg Total Loss: 13.2402 | Avg PrC Loss: 2.6796 | Avg SnC Loss: 8.0586 | Avg FiC Loss: 2.3532 | Avg CE Loss: 0.1488 | Model Sparsity: 0.99
Retraining Epoch [7/10]: Avg Total Loss: 13.2263 | Avg PrC Loss: 2.6797 | Avg SnC Loss: 8.0457 | Avg FiC Loss: 2.3533 | Avg CE Loss: 0.1475 | Model Sparsity: 0.99
Retraining Epoch [8/10]: Avg Total Loss: 13.1853 | Avg PrC Loss: 2.6745 | Avg SnC Loss: 8.0190 | Avg FiC Loss: 2.3469 | Avg CE Loss: 0.1450 | Model Sparsity: 0.99
Retraining Epoch [9/10]: Avg Total Loss: 13.1274 | Avg PrC Loss: 2.6701 | Avg SnC Loss: 7.9813 | Avg FiC Loss: 2.3360 | Avg CE Loss: 0.1400 | Model Sparsity: 0.99
Retraining Epoch [10/10]: Avg Total Loss: 13.1180 | Avg PrC Loss: 2.6668 | Avg SnC Loss: 7.9756 | Avg FiC Loss: 2.3356 | Avg CE Loss: 0.1400 | Model Sparsity: 0.99
