Model : vit_small - Learning Type: cifar10/bacp_pruning/wanda_pruning/0.99
Configuration:
model_name: vit_small
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 256
learning_rate: 0.01
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: wanda_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 166
val_batches: 29
current_model_path: /dbfs/research/vit_small/cifar10/vit_small_cifar10_wanda_pruning_0.99_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 4.9037 | Avg PrC Loss: 2.5683 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.2153 | Avg CE Loss: 0.1201 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 4.6891 | Avg PrC Loss: 2.5158 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.1302 | Avg CE Loss: 0.0431 | Model Sparsity: 0.4831
Retraining Epoch [2/10]: Avg Total Loss: 4.6484 | Avg PrC Loss: 2.4989 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.1142 | Avg CE Loss: 0.0352 | Model Sparsity: 0.4831
Retraining Epoch [3/10]: Avg Total Loss: 4.6242 | Avg PrC Loss: 2.4911 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.1032 | Avg CE Loss: 0.0299 | Model Sparsity: 0.4831
Retraining Epoch [4/10]: Avg Total Loss: 4.6170 | Avg PrC Loss: 2.4886 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.1016 | Avg CE Loss: 0.0269 | Model Sparsity: 0.4831
Retraining Epoch [5/10]: Avg Total Loss: 4.6039 | Avg PrC Loss: 2.4816 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.0969 | Avg CE Loss: 0.0253 | Model Sparsity: 0.4831
Retraining Epoch [6/10]: Avg Total Loss: 4.5947 | Avg PrC Loss: 2.4817 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.0907 | Avg CE Loss: 0.0223 | Model Sparsity: 0.4831
Retraining Epoch [7/10]: Avg Total Loss: 4.5853 | Avg PrC Loss: 2.4750 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.0891 | Avg CE Loss: 0.0212 | Model Sparsity: 0.4831
Retraining Epoch [8/10]: Avg Total Loss: 4.5850 | Avg PrC Loss: 2.4768 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.0881 | Avg CE Loss: 0.0201 | Model Sparsity: 0.4831
Retraining Epoch [9/10]: Avg Total Loss: 4.5770 | Avg PrC Loss: 2.4725 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.0848 | Avg CE Loss: 0.0196 | Model Sparsity: 0.4831
Retraining Epoch [10/10]: Avg Total Loss: 4.5833 | Avg PrC Loss: 2.4758 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.0886 | Avg CE Loss: 0.0189 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Total Loss: 7.8997 | Avg PrC Loss: 2.8201 | Avg SnC Loss: 2.2910 | Avg FiC Loss: 2.5446 | Avg CE Loss: 0.2440 | Model Sparsity: 0.7762
Retraining Epoch [1/10]: Avg Total Loss: 6.9956 | Avg PrC Loss: 2.6570 | Avg SnC Loss: 1.9689 | Avg FiC Loss: 2.2585 | Avg CE Loss: 0.1112 | Model Sparsity: 0.7762
Retraining Epoch [2/10]: Avg Total Loss: 6.8408 | Avg PrC Loss: 2.6265 | Avg SnC Loss: 1.9101 | Avg FiC Loss: 2.2164 | Avg CE Loss: 0.0877 | Model Sparsity: 0.7762
Retraining Epoch [3/10]: Avg Total Loss: 6.7586 | Avg PrC Loss: 2.6104 | Avg SnC Loss: 1.8793 | Avg FiC Loss: 2.1927 | Avg CE Loss: 0.0762 | Model Sparsity: 0.7762
Retraining Epoch [4/10]: Avg Total Loss: 6.7032 | Avg PrC Loss: 2.5974 | Avg SnC Loss: 1.8583 | Avg FiC Loss: 2.1789 | Avg CE Loss: 0.0685 | Model Sparsity: 0.7762
Retraining Epoch [5/10]: Avg Total Loss: 6.6663 | Avg PrC Loss: 2.5919 | Avg SnC Loss: 1.8449 | Avg FiC Loss: 2.1672 | Avg CE Loss: 0.0623 | Model Sparsity: 0.7762
Retraining Epoch [6/10]: Avg Total Loss: 6.6321 | Avg PrC Loss: 2.5837 | Avg SnC Loss: 1.8316 | Avg FiC Loss: 2.1598 | Avg CE Loss: 0.0569 | Model Sparsity: 0.7762
Retraining Epoch [7/10]: Avg Total Loss: 6.6024 | Avg PrC Loss: 2.5760 | Avg SnC Loss: 1.8215 | Avg FiC Loss: 2.1513 | Avg CE Loss: 0.0536 | Model Sparsity: 0.7762
Retraining Epoch [8/10]: Avg Total Loss: 6.5877 | Avg PrC Loss: 2.5733 | Avg SnC Loss: 1.8160 | Avg FiC Loss: 2.1484 | Avg CE Loss: 0.0499 | Model Sparsity: 0.7762
Retraining Epoch [9/10]: Avg Total Loss: 6.5786 | Avg PrC Loss: 2.5701 | Avg SnC Loss: 1.8138 | Avg FiC Loss: 2.1442 | Avg CE Loss: 0.0505 | Model Sparsity: 0.7762
Retraining Epoch [10/10]: Avg Total Loss: 6.5557 | Avg PrC Loss: 2.5668 | Avg SnC Loss: 1.8038 | Avg FiC Loss: 2.1398 | Avg CE Loss: 0.0453 | Model Sparsity: 0.7762
Epoch [3/5]: Avg Total Loss: 11.4815 | Avg PrC Loss: 2.9911 | Avg SnC Loss: 5.2523 | Avg FiC Loss: 2.8615 | Avg CE Loss: 0.3765 | Model Sparsity: 0.9266
Retraining Epoch [1/10]: Avg Total Loss: 9.8570 | Avg PrC Loss: 2.7803 | Avg SnC Loss: 4.3833 | Avg FiC Loss: 2.4703 | Avg CE Loss: 0.2231 | Model Sparsity: 0.9266
Retraining Epoch [2/10]: Avg Total Loss: 9.5375 | Avg PrC Loss: 2.7393 | Avg SnC Loss: 4.2155 | Avg FiC Loss: 2.3964 | Avg CE Loss: 0.1864 | Model Sparsity: 0.9266
Retraining Epoch [3/10]: Avg Total Loss: 9.3559 | Avg PrC Loss: 2.7184 | Avg SnC Loss: 4.1179 | Avg FiC Loss: 2.3554 | Avg CE Loss: 0.1642 | Model Sparsity: 0.9266
Retraining Epoch [4/10]: Avg Total Loss: 9.2490 | Avg PrC Loss: 2.7055 | Avg SnC Loss: 4.0602 | Avg FiC Loss: 2.3319 | Avg CE Loss: 0.1514 | Model Sparsity: 0.9266
Retraining Epoch [5/10]: Avg Total Loss: 9.1512 | Avg PrC Loss: 2.6931 | Avg SnC Loss: 4.0088 | Avg FiC Loss: 2.3105 | Avg CE Loss: 0.1388 | Model Sparsity: 0.9266
Retraining Epoch [6/10]: Avg Total Loss: 9.0991 | Avg PrC Loss: 2.6857 | Avg SnC Loss: 3.9805 | Avg FiC Loss: 2.3003 | Avg CE Loss: 0.1326 | Model Sparsity: 0.9266
Retraining Epoch [7/10]: Avg Total Loss: 9.0469 | Avg PrC Loss: 2.6785 | Avg SnC Loss: 3.9532 | Avg FiC Loss: 2.2878 | Avg CE Loss: 0.1274 | Model Sparsity: 0.9266
Retraining Epoch [8/10]: Avg Total Loss: 9.0103 | Avg PrC Loss: 2.6731 | Avg SnC Loss: 3.9347 | Avg FiC Loss: 2.2794 | Avg CE Loss: 0.1230 | Model Sparsity: 0.9266
Retraining Epoch [9/10]: Avg Total Loss: 8.9508 | Avg PrC Loss: 2.6679 | Avg SnC Loss: 3.9014 | Avg FiC Loss: 2.2665 | Avg CE Loss: 0.1150 | Model Sparsity: 0.9266
Retraining Epoch [10/10]: Avg Total Loss: 8.9303 | Avg PrC Loss: 2.6618 | Avg SnC Loss: 3.8923 | Avg FiC Loss: 2.2630 | Avg CE Loss: 0.1133 | Model Sparsity: 0.9266
Epoch [4/5]: Avg Total Loss: 12.9227 | Avg PrC Loss: 2.8792 | Avg SnC Loss: 7.1031 | Avg FiC Loss: 2.6369 | Avg CE Loss: 0.3035 | Model Sparsity: 0.9821
Retraining Epoch [1/10]: Avg Total Loss: 11.8494 | Avg PrC Loss: 2.7716 | Avg SnC Loss: 6.4266 | Avg FiC Loss: 2.4394 | Avg CE Loss: 0.2119 | Model Sparsity: 0.9821
Retraining Epoch [2/10]: Avg Total Loss: 11.6434 | Avg PrC Loss: 2.7516 | Avg SnC Loss: 6.2963 | Avg FiC Loss: 2.4038 | Avg CE Loss: 0.1917 | Model Sparsity: 0.9821
Retraining Epoch [3/10]: Avg Total Loss: 11.5093 | Avg PrC Loss: 2.7358 | Avg SnC Loss: 6.2154 | Avg FiC Loss: 2.3792 | Avg CE Loss: 0.1790 | Model Sparsity: 0.9821
Retraining Epoch [4/10]: Avg Total Loss: 11.4669 | Avg PrC Loss: 2.7325 | Avg SnC Loss: 6.1867 | Avg FiC Loss: 2.3730 | Avg CE Loss: 0.1747 | Model Sparsity: 0.9821
Retraining Epoch [5/10]: Avg Total Loss: 11.3652 | Avg PrC Loss: 2.7214 | Avg SnC Loss: 6.1250 | Avg FiC Loss: 2.3534 | Avg CE Loss: 0.1654 | Model Sparsity: 0.9821
Retraining Epoch [6/10]: Avg Total Loss: 11.3153 | Avg PrC Loss: 2.7176 | Avg SnC Loss: 6.0925 | Avg FiC Loss: 2.3453 | Avg CE Loss: 0.1599 | Model Sparsity: 0.9821
Retraining Epoch [7/10]: Avg Total Loss: 11.2596 | Avg PrC Loss: 2.7112 | Avg SnC Loss: 6.0603 | Avg FiC Loss: 2.3345 | Avg CE Loss: 0.1536 | Model Sparsity: 0.9821
Retraining Epoch [8/10]: Avg Total Loss: 11.2097 | Avg PrC Loss: 2.7057 | Avg SnC Loss: 6.0288 | Avg FiC Loss: 2.3261 | Avg CE Loss: 0.1491 | Model Sparsity: 0.9821
Retraining Epoch [9/10]: Avg Total Loss: 11.1769 | Avg PrC Loss: 2.7028 | Avg SnC Loss: 6.0087 | Avg FiC Loss: 2.3192 | Avg CE Loss: 0.1463 | Model Sparsity: 0.9821
Retraining Epoch [10/10]: Avg Total Loss: 11.1684 | Avg PrC Loss: 2.7031 | Avg SnC Loss: 6.0036 | Avg FiC Loss: 2.3174 | Avg CE Loss: 0.1442 | Model Sparsity: 0.9821
Epoch [5/5]: Avg Total Loss: 13.5019 | Avg PrC Loss: 2.7406 | Avg SnC Loss: 8.2229 | Avg FiC Loss: 2.3689 | Avg CE Loss: 0.1695 | Model Sparsity: 0.99
Retraining Epoch [1/10]: Avg Total Loss: 13.2673 | Avg PrC Loss: 2.7172 | Avg SnC Loss: 8.0616 | Avg FiC Loss: 2.3356 | Avg CE Loss: 0.1528 | Model Sparsity: 0.99
Retraining Epoch [2/10]: Avg Total Loss: 13.2059 | Avg PrC Loss: 2.7120 | Avg SnC Loss: 8.0204 | Avg FiC Loss: 2.3254 | Avg CE Loss: 0.1480 | Model Sparsity: 0.99
Retraining Epoch [3/10]: Avg Total Loss: 13.1878 | Avg PrC Loss: 2.7097 | Avg SnC Loss: 8.0086 | Avg FiC Loss: 2.3231 | Avg CE Loss: 0.1463 | Model Sparsity: 0.99
Retraining Epoch [4/10]: Avg Total Loss: 13.1653 | Avg PrC Loss: 2.7067 | Avg SnC Loss: 7.9927 | Avg FiC Loss: 2.3208 | Avg CE Loss: 0.1451 | Model Sparsity: 0.99
Retraining Epoch [5/10]: Avg Total Loss: 13.1166 | Avg PrC Loss: 2.7048 | Avg SnC Loss: 7.9601 | Avg FiC Loss: 2.3118 | Avg CE Loss: 0.1399 | Model Sparsity: 0.99
Retraining Epoch [6/10]: Avg Total Loss: 13.1295 | Avg PrC Loss: 2.7046 | Avg SnC Loss: 7.9684 | Avg FiC Loss: 2.3150 | Avg CE Loss: 0.1415 | Model Sparsity: 0.99
Retraining Epoch [7/10]: Avg Total Loss: 13.0591 | Avg PrC Loss: 2.6988 | Avg SnC Loss: 7.9200 | Avg FiC Loss: 2.3039 | Avg CE Loss: 0.1364 | Model Sparsity: 0.99
Retraining Epoch [8/10]: Avg Total Loss: 13.0565 | Avg PrC Loss: 2.6979 | Avg SnC Loss: 7.9200 | Avg FiC Loss: 2.3031 | Avg CE Loss: 0.1355 | Model Sparsity: 0.99
Retraining Epoch [9/10]: Avg Total Loss: 13.0465 | Avg PrC Loss: 2.6982 | Avg SnC Loss: 7.9133 | Avg FiC Loss: 2.3008 | Avg CE Loss: 0.1341 | Model Sparsity: 0.99
Retraining Epoch [10/10]: Avg Total Loss: 13.0356 | Avg PrC Loss: 2.6958 | Avg SnC Loss: 7.9064 | Avg FiC Loss: 2.2993 | Avg CE Loss: 0.1341 | Model Sparsity: 0.99
