Model : vit_small - Learning Type: cifar10/pruning/magnitude_pruning/0.97
Configuration:
model_type: cv
model_name: vit_small
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 384
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 256
learning_rate: 0.001
learning_type: pruning
optimizer_type: adamw
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vit_small/cifar10/vit_small_cifar10_magnitude_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/vit_small/cifar10/vit_small_cifar10_baseline.pt

Epoch [1/5]: Avg Loss: 0.2401 | Avg Accuracy: 94.89 | Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 0.1478 | Avg Accuracy: 94.03 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 0.1267 | Avg Accuracy: 93.28 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 0.1173 | Avg Accuracy: 93.51 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 0.1032 | Avg Accuracy: 93.56 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 0.0889 | Avg Accuracy: 94.26 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 0.0801 | Avg Accuracy: 93.01 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 0.0795 | Avg Accuracy: 93.09 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 0.0741 | Avg Accuracy: 94.17 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 0.0713 | Avg Accuracy: 93.95 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 0.0647 | Avg Accuracy: 93.97 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 0.1539 | Avg Accuracy: 92.34 | Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 0.0688 | Avg Accuracy: 93.04 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 0.0494 | Avg Accuracy: 93.60 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 0.0429 | Avg Accuracy: 94.10 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 0.0352 | Avg Accuracy: 93.62 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 0.0328 | Avg Accuracy: 94.09 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 0.0288 | Avg Accuracy: 94.09 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 0.0313 | Avg Accuracy: 93.60 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 0.0325 | Avg Accuracy: 94.23 | Model Sparsity: 0.7605
Recovery epoch [9/10]: Avg Loss: 0.0300 | Avg Accuracy: 94.07 | Model Sparsity: 0.7605
Recovery epoch [10/10]: Avg Loss: 0.0299 | Avg Accuracy: 92.50 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Loss: 1.1884 | Avg Accuracy: 85.87 | Model Sparsity: 0.9079
Recovery epoch [1/10]: Avg Loss: 0.2251 | Avg Accuracy: 90.45 | Model Sparsity: 0.9079
Recovery epoch [2/10]: Avg Loss: 0.1147 | Avg Accuracy: 91.82 | Model Sparsity: 0.9079
Recovery epoch [3/10]: Avg Loss: 0.0814 | Avg Accuracy: 91.58 | Model Sparsity: 0.9079
Recovery epoch [4/10]: Avg Loss: 0.0612 | Avg Accuracy: 92.24 | Model Sparsity: 0.9079
Recovery epoch [5/10]: Avg Loss: 0.0484 | Avg Accuracy: 92.87 | Model Sparsity: 0.9079
Recovery epoch [6/10]: Avg Loss: 0.0367 | Avg Accuracy: 92.43 | Model Sparsity: 0.9079
Recovery epoch [7/10]: Avg Loss: 0.0372 | Avg Accuracy: 92.35 | Model Sparsity: 0.9079
Recovery epoch [8/10]: Avg Loss: 0.0293 | Avg Accuracy: 91.76 | Model Sparsity: 0.9079
Recovery epoch [9/10]: Avg Loss: 0.0310 | Avg Accuracy: 92.89 | Model Sparsity: 0.9079
Recovery epoch [10/10]: Avg Loss: 0.0250 | Avg Accuracy: 92.73 | Model Sparsity: 0.9079
Epoch [4/5]: Avg Loss: 1.5658 | Avg Accuracy: 66.76 | Model Sparsity: 0.9622
Recovery epoch [1/10]: Avg Loss: 0.4736 | Avg Accuracy: 87.45 | Model Sparsity: 0.9622
Recovery epoch [2/10]: Avg Loss: 0.2002 | Avg Accuracy: 89.83 | Model Sparsity: 0.9622
Recovery epoch [3/10]: Avg Loss: 0.1311 | Avg Accuracy: 90.44 | Model Sparsity: 0.9622
Recovery epoch [4/10]: Avg Loss: 0.1037 | Avg Accuracy: 90.46 | Model Sparsity: 0.9622
Recovery epoch [5/10]: Avg Loss: 0.0759 | Avg Accuracy: 90.64 | Model Sparsity: 0.9622
Recovery epoch [6/10]: Avg Loss: 0.0663 | Avg Accuracy: 90.91 | Model Sparsity: 0.9622
Recovery epoch [7/10]: Avg Loss: 0.0533 | Avg Accuracy: 91.84 | Model Sparsity: 0.9622
Recovery epoch [8/10]: Avg Loss: 0.0462 | Avg Accuracy: 91.10 | Model Sparsity: 0.9622
Recovery epoch [9/10]: Avg Loss: 0.0465 | Avg Accuracy: 90.89 | Model Sparsity: 0.9622
Recovery epoch [10/10]: Avg Loss: 0.0357 | Avg Accuracy: 91.31 | Model Sparsity: 0.9622
Epoch [5/5]: Avg Loss: 0.0833 | Avg Accuracy: 91.59 | Model Sparsity: 0.97
Recovery epoch [1/10]: Avg Loss: 0.0449 | Avg Accuracy: 91.64 | Model Sparsity: 0.97
Recovery epoch [2/10]: Avg Loss: 0.0374 | Avg Accuracy: 91.26 | Model Sparsity: 0.97
Recovery epoch [3/10]: Avg Loss: 0.0327 | Avg Accuracy: 91.23 | Model Sparsity: 0.97
Recovery epoch [4/10]: Avg Loss: 0.0301 | Avg Accuracy: 92.13 | Model Sparsity: 0.97
Recovery epoch [5/10]: Avg Loss: 0.0283 | Avg Accuracy: 91.64 | Model Sparsity: 0.97
Recovery epoch [6/10]: Avg Loss: 0.0233 | Avg Accuracy: 91.90 | Model Sparsity: 0.97
Recovery epoch [7/10]: Avg Loss: 0.0259 | Avg Accuracy: 91.41 | Model Sparsity: 0.97
Recovery epoch [8/10]: Avg Loss: 0.0252 | Avg Accuracy: 91.46 | Model Sparsity: 0.97
Recovery epoch [9/10]: Avg Loss: 0.0241 | Avg Accuracy: 91.66 | Model Sparsity: 0.97
Recovery epoch [10/10]: Avg Loss: 0.0273 | Avg Accuracy: 91.78 | Model Sparsity: 0.97
