Model : vit_small - Learning Type: cifar10/pruning/wanda_pruning/0.97
Configuration:
model_type: cv
model_name: vit_small
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 384
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 256
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: wanda_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vit_small/cifar10/vit_small_cifar10_wanda_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/vit_small/cifar10/vit_small_cifar10_baseline.pt

Epoch [1/5]: Avg Loss: 0.0348 | Avg Accuracy: 99.11 | Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 0.0219 | Avg Accuracy: 99.11 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 0.0143 | Avg Accuracy: 99.21 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 0.0110 | Avg Accuracy: 98.96 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 0.0079 | Avg Accuracy: 98.98 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 0.0080 | Avg Accuracy: 98.96 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 0.0061 | Avg Accuracy: 98.95 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 0.0065 | Avg Accuracy: 98.95 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 0.0043 | Avg Accuracy: 98.88 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 0.0058 | Avg Accuracy: 98.92 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 0.0063 | Avg Accuracy: 98.50 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 0.9479 | Avg Accuracy: 90.92 | Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 0.1883 | Avg Accuracy: 94.06 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 0.1360 | Avg Accuracy: 94.37 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 0.1023 | Avg Accuracy: 94.37 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 0.0869 | Avg Accuracy: 95.39 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 0.0764 | Avg Accuracy: 95.35 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 0.0613 | Avg Accuracy: 95.53 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 0.0649 | Avg Accuracy: 94.79 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 0.0529 | Avg Accuracy: 95.15 | Model Sparsity: 0.7605
Recovery epoch [9/10]: Avg Loss: 0.0515 | Avg Accuracy: 95.03 | Model Sparsity: 0.7605
Recovery epoch [10/10]: Avg Loss: 0.0453 | Avg Accuracy: 94.91 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Loss: 0.9663 | Avg Accuracy: 78.10 | Model Sparsity: 0.9079
Recovery epoch [1/10]: Avg Loss: 0.5464 | Avg Accuracy: 83.26 | Model Sparsity: 0.9079
Recovery epoch [2/10]: Avg Loss: 0.4366 | Avg Accuracy: 85.22 | Model Sparsity: 0.9079
