Model : vit_small - Learning Type: cifar100/bacp_finetune/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: vit_small
model_task: cifar100
num_classes: 100
criterion: CrossEntropyLoss()
embedding_dim: 384
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 256
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: ./research/vit_small/cifar100/vit_small_cifar100_magnitude_pruning_0.95_bacp_finetune.pt
finetuned_weights: ./research/vit_small/cifar100/vit_small_cifar100_magnitude_pruning_0.95_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 2.8062 | Avg Accuracy: 60.45 | Model Sparsity: 0.95
Epoch [2/50]: Avg Loss: 1.3449 | Avg Accuracy: 66.74 | Model Sparsity: 0.95
Epoch [3/50]: Avg Loss: 1.1155 | Avg Accuracy: 68.43 | Model Sparsity: 0.95
Epoch [4/50]: Avg Loss: 1.0227 | Avg Accuracy: 69.03 | Model Sparsity: 0.95
Epoch [5/50]: Avg Loss: 0.9558 | Avg Accuracy: 69.83 | Model Sparsity: 0.95
Epoch [6/50]: Avg Loss: 0.9095 | Avg Accuracy: 70.53 | Model Sparsity: 0.95
Epoch [7/50]: Avg Loss: 0.8654 | Avg Accuracy: 71.39 | Model Sparsity: 0.95
Epoch [8/50]: Avg Loss: 0.8306 | Avg Accuracy: 71.74 | Model Sparsity: 0.95
Epoch [9/50]: Avg Loss: 0.7962 | Avg Accuracy: 71.52 | Model Sparsity: 0.95
Epoch [10/50]: Avg Loss: 0.7725 | Avg Accuracy: 72.27 | Model Sparsity: 0.95
Epoch [11/50]: Avg Loss: 0.7439 | Avg Accuracy: 72.18 | Model Sparsity: 0.95
Epoch [12/50]: Avg Loss: 0.7164 | Avg Accuracy: 72.47 | Model Sparsity: 0.95
Epoch [13/50]: Avg Loss: 0.6966 | Avg Accuracy: 72.89 | Model Sparsity: 0.95
Epoch [14/50]: Avg Loss: 0.6726 | Avg Accuracy: 73.18 | Model Sparsity: 0.95
Epoch [15/50]: Avg Loss: 0.6490 | Avg Accuracy: 73.30 | Model Sparsity: 0.95
Epoch [16/50]: Avg Loss: 0.6295 | Avg Accuracy: 73.26 | Model Sparsity: 0.95
Epoch [17/50]: Avg Loss: 0.6061 | Avg Accuracy: 72.84 | Model Sparsity: 0.95
Epoch [18/50]: Avg Loss: 0.5863 | Avg Accuracy: 73.25 | Model Sparsity: 0.95
Epoch [19/50]: Avg Loss: 0.5610 | Avg Accuracy: 73.76 | Model Sparsity: 0.95
Epoch [20/50]: Avg Loss: 0.5447 | Avg Accuracy: 74.56 | Model Sparsity: 0.95
Epoch [21/50]: Avg Loss: 0.5279 | Avg Accuracy: 73.33 | Model Sparsity: 0.95
Epoch [22/50]: Avg Loss: 0.5080 | Avg Accuracy: 73.28 | Model Sparsity: 0.95
Epoch [23/50]: Avg Loss: 0.4910 | Avg Accuracy: 73.91 | Model Sparsity: 0.95
Epoch [24/50]: Avg Loss: 0.4718 | Avg Accuracy: 73.44 | Model Sparsity: 0.95
Epoch [25/50]: Avg Loss: 0.4537 | Avg Accuracy: 73.94 | Model Sparsity: 0.95
Epoch [26/50]: Avg Loss: 0.4382 | Avg Accuracy: 74.15 | Model Sparsity: 0.95
Epoch [27/50]: Avg Loss: 0.4236 | Avg Accuracy: 74.12 | Model Sparsity: 0.95
Epoch [28/50]: Avg Loss: 0.4053 | Avg Accuracy: 73.71 | Model Sparsity: 0.95
Epoch [29/50]: Avg Loss: 0.3890 | Avg Accuracy: 74.25 | Model Sparsity: 0.95
Epoch [30/50]: Avg Loss: 0.3790 | Avg Accuracy: 73.92 | Model Sparsity: 0.95
Epoch [31/50]: Avg Loss: 0.3602 | Avg Accuracy: 74.31 | Model Sparsity: 0.95
Epoch [32/50]: Avg Loss: 0.3497 | Avg Accuracy: 74.12 | Model Sparsity: 0.95
Epoch [33/50]: Avg Loss: 0.3332 | Avg Accuracy: 74.12 | Model Sparsity: 0.95
Epoch [34/50]: Avg Loss: 0.3144 | Avg Accuracy: 74.03 | Model Sparsity: 0.95
Epoch [35/50]: Avg Loss: 0.3063 | Avg Accuracy: 73.90 | Model Sparsity: 0.95
Epoch [36/50]: Avg Loss: 0.2962 | Avg Accuracy: 73.95 | Model Sparsity: 0.95
Epoch [37/50]: Avg Loss: 0.2802 | Avg Accuracy: 74.02 | Model Sparsity: 0.95
Epoch [38/50]: Avg Loss: 0.2698 | Avg Accuracy: 74.58 | Model Sparsity: 0.95
Epoch [39/50]: Avg Loss: 0.2519 | Avg Accuracy: 74.08 | Model Sparsity: 0.95
Epoch [40/50]: Avg Loss: 0.2468 | Avg Accuracy: 74.07 | Model Sparsity: 0.95
Epoch [41/50]: Avg Loss: 0.2326 | Avg Accuracy: 73.92 | Model Sparsity: 0.95
Epoch [42/50]: Avg Loss: 0.2212 | Avg Accuracy: 74.15 | Model Sparsity: 0.95
Epoch [43/50]: Avg Loss: 0.2107 | Avg Accuracy: 73.68 | Model Sparsity: 0.95
Epoch [44/50]: Avg Loss: 0.2023 | Avg Accuracy: 74.10 | Model Sparsity: 0.95
Epoch [45/50]: Avg Loss: 0.1917 | Avg Accuracy: 74.12 | Model Sparsity: 0.95
Epoch [46/50]: Avg Loss: 0.1809 | Avg Accuracy: 74.06 | Model Sparsity: 0.95
