Model : vit_small - Learning Type: cifar100/bacp_finetune/snip_pruning/0.99
Configuration:
model_type: cv
model_name: vit_small
model_task: cifar100
num_classes: 100
criterion: CrossEntropyLoss()
embedding_dim: 384
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 256
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: snip_pruning
target_sparsity: 0.99
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: ./research/vit_small/cifar100/vit_small_cifar100_snip_pruning_0.99_bacp_finetune.pt
finetuned_weights: ./research/vit_small/cifar100/vit_small_cifar100_snip_pruning_0.99_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 3.5613 | Avg Accuracy: 35.45 | Model Sparsity: 0.99
Epoch [2/50]: Avg Loss: 2.3147 | Avg Accuracy: 45.86 | Model Sparsity: 0.99
Epoch [3/50]: Avg Loss: 1.9272 | Avg Accuracy: 50.51 | Model Sparsity: 0.99
Epoch [4/50]: Avg Loss: 1.7482 | Avg Accuracy: 52.37 | Model Sparsity: 0.99
Epoch [5/50]: Avg Loss: 1.6366 | Avg Accuracy: 54.07 | Model Sparsity: 0.99
Epoch [6/50]: Avg Loss: 1.5614 | Avg Accuracy: 55.56 | Model Sparsity: 0.99
Epoch [7/50]: Avg Loss: 1.5007 | Avg Accuracy: 55.93 | Model Sparsity: 0.99
Epoch [8/50]: Avg Loss: 1.4520 | Avg Accuracy: 56.68 | Model Sparsity: 0.99
Epoch [9/50]: Avg Loss: 1.4169 | Avg Accuracy: 56.98 | Model Sparsity: 0.99
Epoch [10/50]: Avg Loss: 1.3749 | Avg Accuracy: 57.60 | Model Sparsity: 0.99
Epoch [11/50]: Avg Loss: 1.3498 | Avg Accuracy: 58.39 | Model Sparsity: 0.99
Epoch [12/50]: Avg Loss: 1.3147 | Avg Accuracy: 58.11 | Model Sparsity: 0.99
Epoch [13/50]: Avg Loss: 1.2943 | Avg Accuracy: 58.42 | Model Sparsity: 0.99
Epoch [14/50]: Avg Loss: 1.2648 | Avg Accuracy: 59.81 | Model Sparsity: 0.99
Epoch [15/50]: Avg Loss: 1.2449 | Avg Accuracy: 59.51 | Model Sparsity: 0.99
Epoch [16/50]: Avg Loss: 1.2228 | Avg Accuracy: 59.77 | Model Sparsity: 0.99
Epoch [17/50]: Avg Loss: 1.2047 | Avg Accuracy: 60.26 | Model Sparsity: 0.99
Epoch [18/50]: Avg Loss: 1.1851 | Avg Accuracy: 60.57 | Model Sparsity: 0.99
Epoch [19/50]: Avg Loss: 1.1719 | Avg Accuracy: 61.45 | Model Sparsity: 0.99
Epoch [20/50]: Avg Loss: 1.1506 | Avg Accuracy: 61.10 | Model Sparsity: 0.99
Epoch [21/50]: Avg Loss: 1.1361 | Avg Accuracy: 60.75 | Model Sparsity: 0.99
Epoch [22/50]: Avg Loss: 1.1225 | Avg Accuracy: 61.25 | Model Sparsity: 0.99
Epoch [23/50]: Avg Loss: 1.1014 | Avg Accuracy: 61.56 | Model Sparsity: 0.99
Epoch [24/50]: Avg Loss: 1.0913 | Avg Accuracy: 61.45 | Model Sparsity: 0.99
Epoch [25/50]: Avg Loss: 1.0762 | Avg Accuracy: 61.66 | Model Sparsity: 0.99
Epoch [26/50]: Avg Loss: 1.0614 | Avg Accuracy: 61.75 | Model Sparsity: 0.99
Epoch [27/50]: Avg Loss: 1.0500 | Avg Accuracy: 62.51 | Model Sparsity: 0.99
Epoch [28/50]: Avg Loss: 1.0357 | Avg Accuracy: 62.08 | Model Sparsity: 0.99
Epoch [29/50]: Avg Loss: 1.0238 | Avg Accuracy: 61.85 | Model Sparsity: 0.99
Epoch [30/50]: Avg Loss: 1.0126 | Avg Accuracy: 62.81 | Model Sparsity: 0.99
