Model : vit_small - Learning Type: cifar100/bacp_finetune/wanda_pruning/0.95
Configuration:
model_type: cv
model_name: vit_small
model_task: cifar100
num_classes: 100
criterion: CrossEntropyLoss()
embedding_dim: 384
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 256
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: wanda_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: ./research/vit_small/cifar100/vit_small_cifar100_wanda_pruning_0.95_bacp_finetune.pt
finetuned_weights: ./research/vit_small/cifar100/vit_small_cifar100_wanda_pruning_0.95_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 3.2681 | Avg Accuracy: 46.26 | Model Sparsity: 0.95
Epoch [2/50]: Avg Loss: 1.9053 | Avg Accuracy: 54.45 | Model Sparsity: 0.95
Epoch [3/50]: Avg Loss: 1.5982 | Avg Accuracy: 56.96 | Model Sparsity: 0.95
Epoch [4/50]: Avg Loss: 1.4667 | Avg Accuracy: 58.58 | Model Sparsity: 0.95
Epoch [5/50]: Avg Loss: 1.3892 | Avg Accuracy: 59.64 | Model Sparsity: 0.95
Epoch [6/50]: Avg Loss: 1.3296 | Avg Accuracy: 60.16 | Model Sparsity: 0.95
Epoch [7/50]: Avg Loss: 1.2788 | Avg Accuracy: 60.67 | Model Sparsity: 0.95
Epoch [8/50]: Avg Loss: 1.2359 | Avg Accuracy: 61.73 | Model Sparsity: 0.95
Epoch [9/50]: Avg Loss: 1.1999 | Avg Accuracy: 61.50 | Model Sparsity: 0.95
Epoch [10/50]: Avg Loss: 1.1663 | Avg Accuracy: 62.55 | Model Sparsity: 0.95
Epoch [11/50]: Avg Loss: 1.1373 | Avg Accuracy: 63.13 | Model Sparsity: 0.95
Epoch [12/50]: Avg Loss: 1.1088 | Avg Accuracy: 63.11 | Model Sparsity: 0.95
Epoch [13/50]: Avg Loss: 1.0806 | Avg Accuracy: 63.44 | Model Sparsity: 0.95
Epoch [14/50]: Avg Loss: 1.0543 | Avg Accuracy: 63.55 | Model Sparsity: 0.95
Epoch [15/50]: Avg Loss: 1.0326 | Avg Accuracy: 63.60 | Model Sparsity: 0.95
Epoch [16/50]: Avg Loss: 1.0112 | Avg Accuracy: 63.82 | Model Sparsity: 0.95
Epoch [17/50]: Avg Loss: 0.9917 | Avg Accuracy: 63.94 | Model Sparsity: 0.95
Epoch [18/50]: Avg Loss: 0.9692 | Avg Accuracy: 64.52 | Model Sparsity: 0.95
Epoch [19/50]: Avg Loss: 0.9532 | Avg Accuracy: 64.47 | Model Sparsity: 0.95
Epoch [20/50]: Avg Loss: 0.9265 | Avg Accuracy: 64.76 | Model Sparsity: 0.95
Epoch [21/50]: Avg Loss: 0.9115 | Avg Accuracy: 64.41 | Model Sparsity: 0.95
Epoch [22/50]: Avg Loss: 0.8959 | Avg Accuracy: 64.67 | Model Sparsity: 0.95
Epoch [23/50]: Avg Loss: 0.8786 | Avg Accuracy: 64.94 | Model Sparsity: 0.95
Epoch [24/50]: Avg Loss: 0.8565 | Avg Accuracy: 65.67 | Model Sparsity: 0.95
Epoch [25/50]: Avg Loss: 0.8467 | Avg Accuracy: 65.33 | Model Sparsity: 0.95
Epoch [26/50]: Avg Loss: 0.8303 | Avg Accuracy: 66.06 | Model Sparsity: 0.95
Epoch [27/50]: Avg Loss: 0.8129 | Avg Accuracy: 65.52 | Model Sparsity: 0.95
Epoch [28/50]: Avg Loss: 0.7992 | Avg Accuracy: 65.81 | Model Sparsity: 0.95
Epoch [29/50]: Avg Loss: 0.7813 | Avg Accuracy: 65.41 | Model Sparsity: 0.95
Epoch [30/50]: Avg Loss: 0.7678 | Avg Accuracy: 65.84 | Model Sparsity: 0.95
Epoch [31/50]: Avg Loss: 0.7516 | Avg Accuracy: 65.75 | Model Sparsity: 0.95
Epoch [32/50]: Avg Loss: 0.7459 | Avg Accuracy: 66.45 | Model Sparsity: 0.95
Epoch [33/50]: Avg Loss: 0.7235 | Avg Accuracy: 66.50 | Model Sparsity: 0.95
Epoch [34/50]: Avg Loss: 0.7112 | Avg Accuracy: 65.54 | Model Sparsity: 0.95
Epoch [35/50]: Avg Loss: 0.7037 | Avg Accuracy: 66.59 | Model Sparsity: 0.95
Epoch [36/50]: Avg Loss: 0.6841 | Avg Accuracy: 65.95 | Model Sparsity: 0.95
Epoch [37/50]: Avg Loss: 0.6755 | Avg Accuracy: 66.64 | Model Sparsity: 0.95
Epoch [38/50]: Avg Loss: 0.6632 | Avg Accuracy: 66.00 | Model Sparsity: 0.95
Epoch [39/50]: Avg Loss: 0.6509 | Avg Accuracy: 66.35 | Model Sparsity: 0.95
Epoch [40/50]: Avg Loss: 0.6359 | Avg Accuracy: 66.53 | Model Sparsity: 0.95
Epoch [41/50]: Avg Loss: 0.6232 | Avg Accuracy: 66.51 | Model Sparsity: 0.95
Epoch [42/50]: Avg Loss: 0.6144 | Avg Accuracy: 66.80 | Model Sparsity: 0.95
Epoch [43/50]: Avg Loss: 0.5997 | Avg Accuracy: 66.47 | Model Sparsity: 0.95
Epoch [44/50]: Avg Loss: 0.5919 | Avg Accuracy: 66.92 | Model Sparsity: 0.95
Epoch [45/50]: Avg Loss: 0.5810 | Avg Accuracy: 65.69 | Model Sparsity: 0.95
Epoch [46/50]: Avg Loss: 0.5674 | Avg Accuracy: 66.51 | Model Sparsity: 0.95
Epoch [47/50]: Avg Loss: 0.5567 | Avg Accuracy: 66.55 | Model Sparsity: 0.95
Epoch [48/50]: Avg Loss: 0.5492 | Avg Accuracy: 66.77 | Model Sparsity: 0.95
Epoch [49/50]: Avg Loss: 0.5355 | Avg Accuracy: 66.59 | Model Sparsity: 0.95
Epoch [50/50]: Avg Loss: 0.5274 | Avg Accuracy: 66.88 | Model Sparsity: 0.95
