Model : vit_small - Learning Type: cifar100/bacp_pruning/magnitude_pruning/0.97
Configuration:
model_name: vit_small
model_task: cifar100
model_type: cv
num_classes: 100
batch_size: 256
learning_rate: 0.01
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 166
val_batches: 29
current_model_path: ./research/vit_small/cifar100/vit_small_cifar100_magnitude_pruning_0.97_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 6.4217 | Avg PrC Loss: 2.7965 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.5893 | Avg CE Loss: 1.0359 | Model Sparsity: 0.4734
Retraining Epoch [1/10]: Avg Total Loss: 5.7762 | Avg PrC Loss: 2.7415 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.4489 | Avg CE Loss: 0.5858 | Model Sparsity: 0.4734
Retraining Epoch [2/10]: Avg Total Loss: 5.6072 | Avg PrC Loss: 2.7244 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.4177 | Avg CE Loss: 0.4651 | Model Sparsity: 0.4734
Retraining Epoch [3/10]: Avg Total Loss: 5.5197 | Avg PrC Loss: 2.7095 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3927 | Avg CE Loss: 0.4175 | Model Sparsity: 0.4734
Retraining Epoch [4/10]: Avg Total Loss: 5.4689 | Avg PrC Loss: 2.7011 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3764 | Avg CE Loss: 0.3914 | Model Sparsity: 0.4734
Retraining Epoch [5/10]: Avg Total Loss: 5.4260 | Avg PrC Loss: 2.6953 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3630 | Avg CE Loss: 0.3676 | Model Sparsity: 0.4734
Retraining Epoch [6/10]: Avg Total Loss: 5.4176 | Avg PrC Loss: 2.6941 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3636 | Avg CE Loss: 0.3599 | Model Sparsity: 0.4734
Retraining Epoch [7/10]: Avg Total Loss: 5.3927 | Avg PrC Loss: 2.6885 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3564 | Avg CE Loss: 0.3478 | Model Sparsity: 0.4734
Retraining Epoch [8/10]: Avg Total Loss: 5.3667 | Avg PrC Loss: 2.6839 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3478 | Avg CE Loss: 0.3351 | Model Sparsity: 0.4734
Retraining Epoch [9/10]: Avg Total Loss: 5.3607 | Avg PrC Loss: 2.6837 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3474 | Avg CE Loss: 0.3296 | Model Sparsity: 0.4734
Retraining Epoch [10/10]: Avg Total Loss: 5.3376 | Avg PrC Loss: 2.6769 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3403 | Avg CE Loss: 0.3204 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Total Loss: 9.5159 | Avg PrC Loss: 3.0381 | Avg SnC Loss: 2.5751 | Avg FiC Loss: 3.0031 | Avg CE Loss: 0.8995 | Model Sparsity: 0.7605
Retraining Epoch [1/10]: Avg Total Loss: 8.3246 | Avg PrC Loss: 2.8658 | Avg SnC Loss: 2.1511 | Avg FiC Loss: 2.6688 | Avg CE Loss: 0.6390 | Model Sparsity: 0.7605
Retraining Epoch [2/10]: Avg Total Loss: 8.0250 | Avg PrC Loss: 2.8278 | Avg SnC Loss: 2.0422 | Avg FiC Loss: 2.5845 | Avg CE Loss: 0.5705 | Model Sparsity: 0.7605
Retraining Epoch [3/10]: Avg Total Loss: 7.8863 | Avg PrC Loss: 2.8099 | Avg SnC Loss: 1.9949 | Avg FiC Loss: 2.5466 | Avg CE Loss: 0.5349 | Model Sparsity: 0.7605
Retraining Epoch [4/10]: Avg Total Loss: 7.7723 | Avg PrC Loss: 2.7931 | Avg SnC Loss: 1.9571 | Avg FiC Loss: 2.5157 | Avg CE Loss: 0.5064 | Model Sparsity: 0.7605
Retraining Epoch [5/10]: Avg Total Loss: 7.7056 | Avg PrC Loss: 2.7849 | Avg SnC Loss: 1.9333 | Avg FiC Loss: 2.5012 | Avg CE Loss: 0.4863 | Model Sparsity: 0.7605
Retraining Epoch [6/10]: Avg Total Loss: 7.6654 | Avg PrC Loss: 2.7798 | Avg SnC Loss: 1.9202 | Avg FiC Loss: 2.4872 | Avg CE Loss: 0.4782 | Model Sparsity: 0.7605
Retraining Epoch [7/10]: Avg Total Loss: 7.6063 | Avg PrC Loss: 2.7717 | Avg SnC Loss: 1.9009 | Avg FiC Loss: 2.4742 | Avg CE Loss: 0.4594 | Model Sparsity: 0.7605
Retraining Epoch [8/10]: Avg Total Loss: 7.5749 | Avg PrC Loss: 2.7663 | Avg SnC Loss: 1.8902 | Avg FiC Loss: 2.4650 | Avg CE Loss: 0.4534 | Model Sparsity: 0.7605
Retraining Epoch [9/10]: Avg Total Loss: 7.5565 | Avg PrC Loss: 2.7661 | Avg SnC Loss: 1.8827 | Avg FiC Loss: 2.4661 | Avg CE Loss: 0.4416 | Model Sparsity: 0.7605
Retraining Epoch [10/10]: Avg Total Loss: 7.5318 | Avg PrC Loss: 2.7632 | Avg SnC Loss: 1.8755 | Avg FiC Loss: 2.4538 | Avg CE Loss: 0.4393 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Total Loss: 12.8021 | Avg PrC Loss: 3.1199 | Avg SnC Loss: 5.5108 | Avg FiC Loss: 3.1452 | Avg CE Loss: 1.0261 | Model Sparsity: 0.9079
Retraining Epoch [1/10]: Avg Total Loss: 11.3949 | Avg PrC Loss: 2.9634 | Avg SnC Loss: 4.7517 | Avg FiC Loss: 2.8416 | Avg CE Loss: 0.8382 | Model Sparsity: 0.9079
Retraining Epoch [2/10]: Avg Total Loss: 10.9740 | Avg PrC Loss: 2.9235 | Avg SnC Loss: 4.5345 | Avg FiC Loss: 2.7598 | Avg CE Loss: 0.7562 | Model Sparsity: 0.9079
