Model : vit_small - Learning Type: cifar100/bacp_pruning/magnitude_pruning/0.99
Configuration:
model_name: vit_small
model_task: cifar100
model_type: cv
num_classes: 100
batch_size: 256
learning_rate: 0.01
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 166
val_batches: 29
current_model_path: /dbfs/research/vit_small/cifar100/vit_small_cifar100_magnitude_pruning_0.99_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 6.3397 | Avg PrC Loss: 2.7666 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.5676 | Avg CE Loss: 1.0055 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 5.7190 | Avg PrC Loss: 2.7086 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.4258 | Avg CE Loss: 0.5846 | Model Sparsity: 0.4831
Retraining Epoch [2/10]: Avg Total Loss: 5.5564 | Avg PrC Loss: 2.6929 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3908 | Avg CE Loss: 0.4728 | Model Sparsity: 0.4831
Retraining Epoch [3/10]: Avg Total Loss: 5.4648 | Avg PrC Loss: 2.6773 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3647 | Avg CE Loss: 0.4228 | Model Sparsity: 0.4831
Retraining Epoch [4/10]: Avg Total Loss: 5.4116 | Avg PrC Loss: 2.6669 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3492 | Avg CE Loss: 0.3954 | Model Sparsity: 0.4831
Retraining Epoch [5/10]: Avg Total Loss: 5.3759 | Avg PrC Loss: 2.6635 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3368 | Avg CE Loss: 0.3756 | Model Sparsity: 0.4831
Retraining Epoch [6/10]: Avg Total Loss: 5.3397 | Avg PrC Loss: 2.6547 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3254 | Avg CE Loss: 0.3596 | Model Sparsity: 0.4831
Retraining Epoch [7/10]: Avg Total Loss: 5.3130 | Avg PrC Loss: 2.6496 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3166 | Avg CE Loss: 0.3467 | Model Sparsity: 0.4831
Retraining Epoch [8/10]: Avg Total Loss: 5.3043 | Avg PrC Loss: 2.6491 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3157 | Avg CE Loss: 0.3395 | Model Sparsity: 0.4831
Retraining Epoch [9/10]: Avg Total Loss: 5.2846 | Avg PrC Loss: 2.6454 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3080 | Avg CE Loss: 0.3311 | Model Sparsity: 0.4831
Retraining Epoch [10/10]: Avg Total Loss: 5.2741 | Avg PrC Loss: 2.6430 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3054 | Avg CE Loss: 0.3257 | Model Sparsity: 0.4831
