Model : vit_small - Learning Type: cifar100/bacp_pruning/snip_pruning/0.97
Configuration:
model_name: vit_small
model_task: cifar100
model_type: cv
num_classes: 100
batch_size: 256
learning_rate: 0.01
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: snip_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 166
val_batches: 29
current_model_path: ./research/vit_small/cifar100/vit_small_cifar100_snip_pruning_0.97_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 6.5231 | Avg PrC Loss: 2.8202 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.6928 | Avg CE Loss: 1.0101 | Model Sparsity: 0.4734
Retraining Epoch [1/10]: Avg Total Loss: 5.8983 | Avg PrC Loss: 2.7403 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.5331 | Avg CE Loss: 0.6249 | Model Sparsity: 0.4734
Retraining Epoch [2/10]: Avg Total Loss: 5.7135 | Avg PrC Loss: 2.7170 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.4810 | Avg CE Loss: 0.5154 | Model Sparsity: 0.4734
Retraining Epoch [3/10]: Avg Total Loss: 5.6312 | Avg PrC Loss: 2.7041 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.4585 | Avg CE Loss: 0.4687 | Model Sparsity: 0.4734
Retraining Epoch [4/10]: Avg Total Loss: 5.5660 | Avg PrC Loss: 2.6946 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.4345 | Avg CE Loss: 0.4369 | Model Sparsity: 0.4734
Retraining Epoch [5/10]: Avg Total Loss: 5.5326 | Avg PrC Loss: 2.6890 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.4250 | Avg CE Loss: 0.4187 | Model Sparsity: 0.4734
Retraining Epoch [6/10]: Avg Total Loss: 5.4830 | Avg PrC Loss: 2.6788 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.4076 | Avg CE Loss: 0.3966 | Model Sparsity: 0.4734
Retraining Epoch [7/10]: Avg Total Loss: 5.4571 | Avg PrC Loss: 2.6748 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3970 | Avg CE Loss: 0.3852 | Model Sparsity: 0.4734
Retraining Epoch [8/10]: Avg Total Loss: 5.4346 | Avg PrC Loss: 2.6726 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3917 | Avg CE Loss: 0.3703 | Model Sparsity: 0.4734
Retraining Epoch [9/10]: Avg Total Loss: 5.4304 | Avg PrC Loss: 2.6696 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3927 | Avg CE Loss: 0.3681 | Model Sparsity: 0.4734
Retraining Epoch [10/10]: Avg Total Loss: 5.3943 | Avg PrC Loss: 2.6637 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3775 | Avg CE Loss: 0.3532 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Total Loss: 8.7048 | Avg PrC Loss: 2.9035 | Avg SnC Loss: 2.2913 | Avg FiC Loss: 2.7737 | Avg CE Loss: 0.7362 | Model Sparsity: 0.7605
Retraining Epoch [1/10]: Avg Total Loss: 8.0173 | Avg PrC Loss: 2.7972 | Avg SnC Loss: 2.0528 | Avg FiC Loss: 2.5898 | Avg CE Loss: 0.5776 | Model Sparsity: 0.7605
Retraining Epoch [2/10]: Avg Total Loss: 7.8463 | Avg PrC Loss: 2.7736 | Avg SnC Loss: 1.9947 | Avg FiC Loss: 2.5448 | Avg CE Loss: 0.5332 | Model Sparsity: 0.7605
Retraining Epoch [3/10]: Avg Total Loss: 7.7547 | Avg PrC Loss: 2.7624 | Avg SnC Loss: 1.9655 | Avg FiC Loss: 2.5180 | Avg CE Loss: 0.5087 | Model Sparsity: 0.7605
Retraining Epoch [4/10]: Avg Total Loss: 7.6865 | Avg PrC Loss: 2.7524 | Avg SnC Loss: 1.9429 | Avg FiC Loss: 2.5016 | Avg CE Loss: 0.4897 | Model Sparsity: 0.7605
Retraining Epoch [5/10]: Avg Total Loss: 7.6251 | Avg PrC Loss: 2.7449 | Avg SnC Loss: 1.9238 | Avg FiC Loss: 2.4824 | Avg CE Loss: 0.4740 | Model Sparsity: 0.7605
Retraining Epoch [6/10]: Avg Total Loss: 7.5819 | Avg PrC Loss: 2.7377 | Avg SnC Loss: 1.9108 | Avg FiC Loss: 2.4735 | Avg CE Loss: 0.4600 | Model Sparsity: 0.7605
Retraining Epoch [7/10]: Avg Total Loss: 7.5536 | Avg PrC Loss: 2.7324 | Avg SnC Loss: 1.9012 | Avg FiC Loss: 2.4673 | Avg CE Loss: 0.4528 | Model Sparsity: 0.7605
Retraining Epoch [8/10]: Avg Total Loss: 7.5235 | Avg PrC Loss: 2.7314 | Avg SnC Loss: 1.8912 | Avg FiC Loss: 2.4576 | Avg CE Loss: 0.4432 | Model Sparsity: 0.7605
Retraining Epoch [9/10]: Avg Total Loss: 7.5133 | Avg PrC Loss: 2.7281 | Avg SnC Loss: 1.8890 | Avg FiC Loss: 2.4581 | Avg CE Loss: 0.4380 | Model Sparsity: 0.7605
