Model : vit_small - Learning Type: cifar100/bacp_pruning/wanda_pruning/0.99
Configuration:
model_name: vit_small
model_task: cifar100
model_type: cv
num_classes: 100
batch_size: 256
learning_rate: 0.01
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: wanda_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 166
val_batches: 29
current_model_path: ./research/vit_small/cifar100/vit_small_cifar100_wanda_pruning_0.99_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 6.6265 | Avg PrC Loss: 2.8527 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.7261 | Avg CE Loss: 1.0478 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 5.9066 | Avg PrC Loss: 2.7466 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.5243 | Avg CE Loss: 0.6356 | Model Sparsity: 0.4831
Retraining Epoch [2/10]: Avg Total Loss: 5.7081 | Avg PrC Loss: 2.7177 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.4747 | Avg CE Loss: 0.5156 | Model Sparsity: 0.4831
Retraining Epoch [3/10]: Avg Total Loss: 5.6167 | Avg PrC Loss: 2.7027 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.4470 | Avg CE Loss: 0.4670 | Model Sparsity: 0.4831
Retraining Epoch [4/10]: Avg Total Loss: 5.5544 | Avg PrC Loss: 2.6899 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.4258 | Avg CE Loss: 0.4386 | Model Sparsity: 0.4831
Retraining Epoch [5/10]: Avg Total Loss: 5.5078 | Avg PrC Loss: 2.6831 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.4126 | Avg CE Loss: 0.4121 | Model Sparsity: 0.4831
Retraining Epoch [6/10]: Avg Total Loss: 5.4698 | Avg PrC Loss: 2.6729 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3969 | Avg CE Loss: 0.4000 | Model Sparsity: 0.4831
Retraining Epoch [7/10]: Avg Total Loss: 5.4415 | Avg PrC Loss: 2.6669 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3910 | Avg CE Loss: 0.3836 | Model Sparsity: 0.4831
Retraining Epoch [8/10]: Avg Total Loss: 5.4243 | Avg PrC Loss: 2.6637 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3848 | Avg CE Loss: 0.3758 | Model Sparsity: 0.4831
Retraining Epoch [9/10]: Avg Total Loss: 5.4156 | Avg PrC Loss: 2.6651 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3836 | Avg CE Loss: 0.3669 | Model Sparsity: 0.4831
Retraining Epoch [10/10]: Avg Total Loss: 5.3824 | Avg PrC Loss: 2.6585 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3690 | Avg CE Loss: 0.3549 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Total Loss: 10.6936 | Avg PrC Loss: 3.2260 | Avg SnC Loss: 3.0348 | Avg FiC Loss: 3.3297 | Avg CE Loss: 1.1031 | Model Sparsity: 0.7762
Retraining Epoch [1/10]: Avg Total Loss: 9.7091 | Avg PrC Loss: 3.0518 | Avg SnC Loss: 2.6609 | Avg FiC Loss: 3.0332 | Avg CE Loss: 0.9631 | Model Sparsity: 0.7762
Retraining Epoch [2/10]: Avg Total Loss: 9.2909 | Avg PrC Loss: 2.9827 | Avg SnC Loss: 2.5085 | Avg FiC Loss: 2.9211 | Avg CE Loss: 0.8786 | Model Sparsity: 0.7762
Retraining Epoch [3/10]: Avg Total Loss: 9.0163 | Avg PrC Loss: 2.9425 | Avg SnC Loss: 2.4083 | Avg FiC Loss: 2.8480 | Avg CE Loss: 0.8175 | Model Sparsity: 0.7762
Retraining Epoch [4/10]: Avg Total Loss: 8.8480 | Avg PrC Loss: 2.9179 | Avg SnC Loss: 2.3470 | Avg FiC Loss: 2.8063 | Avg CE Loss: 0.7768 | Model Sparsity: 0.7762
Retraining Epoch [5/10]: Avg Total Loss: 8.6883 | Avg PrC Loss: 2.8930 | Avg SnC Loss: 2.2923 | Avg FiC Loss: 2.7640 | Avg CE Loss: 0.7389 | Model Sparsity: 0.7762
Retraining Epoch [6/10]: Avg Total Loss: 8.5657 | Avg PrC Loss: 2.8735 | Avg SnC Loss: 2.2492 | Avg FiC Loss: 2.7310 | Avg CE Loss: 0.7120 | Model Sparsity: 0.7762
Retraining Epoch [7/10]: Avg Total Loss: 8.4632 | Avg PrC Loss: 2.8578 | Avg SnC Loss: 2.2129 | Avg FiC Loss: 2.7051 | Avg CE Loss: 0.6874 | Model Sparsity: 0.7762
Retraining Epoch [8/10]: Avg Total Loss: 8.4012 | Avg PrC Loss: 2.8496 | Avg SnC Loss: 2.1893 | Avg FiC Loss: 2.6918 | Avg CE Loss: 0.6705 | Model Sparsity: 0.7762
Retraining Epoch [9/10]: Avg Total Loss: 8.3245 | Avg PrC Loss: 2.8382 | Avg SnC Loss: 2.1655 | Avg FiC Loss: 2.6697 | Avg CE Loss: 0.6511 | Model Sparsity: 0.7762
Retraining Epoch [10/10]: Avg Total Loss: 8.2692 | Avg PrC Loss: 2.8308 | Avg SnC Loss: 2.1423 | Avg FiC Loss: 2.6568 | Avg CE Loss: 0.6393 | Model Sparsity: 0.7762
Epoch [3/5]: Avg Total Loss: 13.7419 | Avg PrC Loss: 3.2295 | Avg SnC Loss: 6.0761 | Avg FiC Loss: 3.3354 | Avg CE Loss: 1.1010 | Model Sparsity: 0.9266
Retraining Epoch [1/10]: Avg Total Loss: 12.3300 | Avg PrC Loss: 3.0485 | Avg SnC Loss: 5.2813 | Avg FiC Loss: 3.0190 | Avg CE Loss: 0.9812 | Model Sparsity: 0.9266
Retraining Epoch [2/10]: Avg Total Loss: 11.9194 | Avg PrC Loss: 3.0005 | Avg SnC Loss: 5.0618 | Avg FiC Loss: 2.9420 | Avg CE Loss: 0.9152 | Model Sparsity: 0.9266
Retraining Epoch [3/10]: Avg Total Loss: 11.6996 | Avg PrC Loss: 2.9754 | Avg SnC Loss: 4.9464 | Avg FiC Loss: 2.8970 | Avg CE Loss: 0.8808 | Model Sparsity: 0.9266
Retraining Epoch [4/10]: Avg Total Loss: 11.5292 | Avg PrC Loss: 2.9560 | Avg SnC Loss: 4.8559 | Avg FiC Loss: 2.8653 | Avg CE Loss: 0.8520 | Model Sparsity: 0.9266
Retraining Epoch [5/10]: Avg Total Loss: 11.4370 | Avg PrC Loss: 2.9462 | Avg SnC Loss: 4.8090 | Avg FiC Loss: 2.8477 | Avg CE Loss: 0.8341 | Model Sparsity: 0.9266
Retraining Epoch [6/10]: Avg Total Loss: 11.3437 | Avg PrC Loss: 2.9361 | Avg SnC Loss: 4.7650 | Avg FiC Loss: 2.8246 | Avg CE Loss: 0.8180 | Model Sparsity: 0.9266
Retraining Epoch [7/10]: Avg Total Loss: 11.2839 | Avg PrC Loss: 2.9289 | Avg SnC Loss: 4.7317 | Avg FiC Loss: 2.8177 | Avg CE Loss: 0.8056 | Model Sparsity: 0.9266
Retraining Epoch [8/10]: Avg Total Loss: 11.2152 | Avg PrC Loss: 2.9198 | Avg SnC Loss: 4.7008 | Avg FiC Loss: 2.8021 | Avg CE Loss: 0.7925 | Model Sparsity: 0.9266
Retraining Epoch [9/10]: Avg Total Loss: 11.1527 | Avg PrC Loss: 2.9143 | Avg SnC Loss: 4.6659 | Avg FiC Loss: 2.7898 | Avg CE Loss: 0.7827 | Model Sparsity: 0.9266
Retraining Epoch [10/10]: Avg Total Loss: 11.1041 | Avg PrC Loss: 2.9056 | Avg SnC Loss: 4.6433 | Avg FiC Loss: 2.7810 | Avg CE Loss: 0.7741 | Model Sparsity: 0.9266
Epoch [4/5]: Avg Total Loss: 16.9886 | Avg PrC Loss: 3.2486 | Avg SnC Loss: 9.2102 | Avg FiC Loss: 3.3671 | Avg CE Loss: 1.1627 | Model Sparsity: 0.9821
Retraining Epoch [1/10]: Avg Total Loss: 15.7058 | Avg PrC Loss: 3.1108 | Avg SnC Loss: 8.3185 | Avg FiC Loss: 3.1246 | Avg CE Loss: 1.1520 | Model Sparsity: 0.9821
Retraining Epoch [2/10]: Avg Total Loss: 15.3358 | Avg PrC Loss: 3.0726 | Avg SnC Loss: 8.0620 | Avg FiC Loss: 3.0569 | Avg CE Loss: 1.1442 | Model Sparsity: 0.9821
Retraining Epoch [3/10]: Avg Total Loss: 15.1414 | Avg PrC Loss: 3.0539 | Avg SnC Loss: 7.9264 | Avg FiC Loss: 3.0240 | Avg CE Loss: 1.1370 | Model Sparsity: 0.9821
Retraining Epoch [4/10]: Avg Total Loss: 14.9980 | Avg PrC Loss: 3.0406 | Avg SnC Loss: 7.8270 | Avg FiC Loss: 2.9997 | Avg CE Loss: 1.1308 | Model Sparsity: 0.9821
Retraining Epoch [5/10]: Avg Total Loss: 14.8873 | Avg PrC Loss: 3.0282 | Avg SnC Loss: 7.7534 | Avg FiC Loss: 2.9829 | Avg CE Loss: 1.1227 | Model Sparsity: 0.9821
Retraining Epoch [6/10]: Avg Total Loss: 14.7908 | Avg PrC Loss: 3.0179 | Avg SnC Loss: 7.6907 | Avg FiC Loss: 2.9658 | Avg CE Loss: 1.1164 | Model Sparsity: 0.9821
Retraining Epoch [7/10]: Avg Total Loss: 14.7588 | Avg PrC Loss: 3.0166 | Avg SnC Loss: 7.6719 | Avg FiC Loss: 2.9623 | Avg CE Loss: 1.1079 | Model Sparsity: 0.9821
Retraining Epoch [8/10]: Avg Total Loss: 14.7106 | Avg PrC Loss: 3.0138 | Avg SnC Loss: 7.6413 | Avg FiC Loss: 2.9548 | Avg CE Loss: 1.1008 | Model Sparsity: 0.9821
Retraining Epoch [9/10]: Avg Total Loss: 14.6644 | Avg PrC Loss: 3.0094 | Avg SnC Loss: 7.6169 | Avg FiC Loss: 2.9460 | Avg CE Loss: 1.0921 | Model Sparsity: 0.9821
Retraining Epoch [10/10]: Avg Total Loss: 14.5866 | Avg PrC Loss: 3.0013 | Avg SnC Loss: 7.5659 | Avg FiC Loss: 2.9362 | Avg CE Loss: 1.0833 | Model Sparsity: 0.9821
Epoch [5/5]: Avg Total Loss: 17.2889 | Avg PrC Loss: 3.0220 | Avg SnC Loss: 10.2146 | Avg FiC Loss: 2.9676 | Avg CE Loss: 1.0846 | Model Sparsity: 0.99
