Model : vit_small - Learning Type: cifar100/pruning/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: vit_small
model_task: cifar100
num_classes: 100
criterion: CrossEntropyLoss()
embedding_dim: 384
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 256
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: ./research/vit_small/cifar100/vit_small_cifar100_magnitude_pruning_0.95_pruning.pt
finetuned_weights: ./research/vit_small/cifar100/vit_small_cifar100_baseline.pt

Epoch [1/5]: Avg Loss: 0.2863 | Avg Accuracy: 85.65 | Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 0.1509 | Avg Accuracy: 85.45 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 0.1206 | Avg Accuracy: 86.13 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.0695 | Avg Accuracy: 86.97 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.0512 | Avg Accuracy: 87.85 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.0389 | Avg Accuracy: 87.50 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.0343 | Avg Accuracy: 87.41 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.0253 | Avg Accuracy: 87.73 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.0235 | Avg Accuracy: 87.55 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.0249 | Avg Accuracy: 86.85 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.0249 | Avg Accuracy: 87.37 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 3.7047 | Avg Accuracy: 32.84 | Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 1.7919 | Avg Accuracy: 61.38 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 1.0993 | Avg Accuracy: 68.86 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 0.8066 | Avg Accuracy: 72.05 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 0.6452 | Avg Accuracy: 73.65 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 0.5271 | Avg Accuracy: 73.59 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 0.4545 | Avg Accuracy: 75.08 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: 0.3731 | Avg Accuracy: 75.74 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: 0.2942 | Avg Accuracy: 76.31 | Model Sparsity: 0.7448
Recovery epoch [9/10]: Avg Loss: 0.2427 | Avg Accuracy: 75.98 | Model Sparsity: 0.7448
Recovery epoch [10/10]: Avg Loss: 0.2038 | Avg Accuracy: 76.74 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Loss: 2.3748 | Avg Accuracy: 51.14 | Model Sparsity: 0.8892
Recovery epoch [1/10]: Avg Loss: 1.4196 | Avg Accuracy: 59.04 | Model Sparsity: 0.8892
Recovery epoch [2/10]: Avg Loss: 1.1663 | Avg Accuracy: 60.90 | Model Sparsity: 0.8892
Recovery epoch [3/10]: Avg Loss: 1.0288 | Avg Accuracy: 62.76 | Model Sparsity: 0.8892
Recovery epoch [4/10]: Avg Loss: 0.9068 | Avg Accuracy: 65.19 | Model Sparsity: 0.8892
Recovery epoch [5/10]: Avg Loss: 0.8151 | Avg Accuracy: 66.62 | Model Sparsity: 0.8892
Recovery epoch [6/10]: Avg Loss: 0.7554 | Avg Accuracy: 65.76 | Model Sparsity: 0.8892
Recovery epoch [7/10]: Avg Loss: 0.6893 | Avg Accuracy: 67.38 | Model Sparsity: 0.8892
Recovery epoch [8/10]: Avg Loss: 0.6331 | Avg Accuracy: 66.70 | Model Sparsity: 0.8892
Recovery epoch [9/10]: Avg Loss: 0.5814 | Avg Accuracy: 68.43 | Model Sparsity: 0.8892
Recovery epoch [10/10]: Avg Loss: 0.5544 | Avg Accuracy: 67.59 | Model Sparsity: 0.8892
Epoch [4/5]: Avg Loss: 1.6122 | Avg Accuracy: 59.97 | Model Sparsity: 0.9424
Recovery epoch [1/10]: Avg Loss: 1.0449 | Avg Accuracy: 61.83 | Model Sparsity: 0.9424
Recovery epoch [2/10]: Avg Loss: 0.9096 | Avg Accuracy: 63.05 | Model Sparsity: 0.9424
Recovery epoch [3/10]: Avg Loss: 0.8217 | Avg Accuracy: 64.60 | Model Sparsity: 0.9424
Recovery epoch [4/10]: Avg Loss: 0.7657 | Avg Accuracy: 64.47 | Model Sparsity: 0.9424
Recovery epoch [5/10]: Avg Loss: 0.7285 | Avg Accuracy: 65.26 | Model Sparsity: 0.9424
Recovery epoch [6/10]: Avg Loss: 0.6799 | Avg Accuracy: 66.46 | Model Sparsity: 0.9424
Recovery epoch [7/10]: Avg Loss: 0.6390 | Avg Accuracy: 65.92 | Model Sparsity: 0.9424
Recovery epoch [8/10]: Avg Loss: 0.6162 | Avg Accuracy: 66.08 | Model Sparsity: 0.9424
Recovery epoch [9/10]: Avg Loss: 0.5736 | Avg Accuracy: 66.70 | Model Sparsity: 0.9424
Recovery epoch [10/10]: Avg Loss: 0.5500 | Avg Accuracy: 66.54 | Model Sparsity: 0.9424
Epoch [5/5]: Avg Loss: 0.7235 | Avg Accuracy: 65.36 | Model Sparsity: 0.95
Recovery epoch [1/10]: Avg Loss: 0.5608 | Avg Accuracy: 65.05 | Model Sparsity: 0.95
Recovery epoch [2/10]: Avg Loss: 0.5119 | Avg Accuracy: 66.57 | Model Sparsity: 0.95
Recovery epoch [3/10]: Avg Loss: 0.4741 | Avg Accuracy: 66.49 | Model Sparsity: 0.95
Recovery epoch [4/10]: Avg Loss: 0.4343 | Avg Accuracy: 66.53 | Model Sparsity: 0.95
Recovery epoch [5/10]: Avg Loss: 0.4056 | Avg Accuracy: 67.58 | Model Sparsity: 0.95
Recovery epoch [6/10]: Avg Loss: 0.4048 | Avg Accuracy: 67.27 | Model Sparsity: 0.95
Recovery epoch [7/10]: Avg Loss: 0.3879 | Avg Accuracy: 67.03 | Model Sparsity: 0.95
Recovery epoch [8/10]: Avg Loss: 0.3781 | Avg Accuracy: 66.22 | Model Sparsity: 0.95
Recovery epoch [9/10]: Avg Loss: 0.3549 | Avg Accuracy: 67.43 | Model Sparsity: 0.95
Recovery epoch [10/10]: Avg Loss: 0.3427 | Avg Accuracy: 66.85 | Model Sparsity: 0.95
