Model : vit_small - Learning Type: cifar100/pruning/wanda_pruning/0.97
Configuration:
model_type: cv
model_name: vit_small
model_task: cifar100
num_classes: 100
criterion: CrossEntropyLoss()
embedding_dim: 384
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 256
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: wanda_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: ./research/vit_small/cifar100/vit_small_cifar100_wanda_pruning_0.97_pruning.pt
finetuned_weights: ./research/vit_small/cifar100/vit_small_cifar100_baseline.pt

Epoch [1/5]: Avg Loss: 0.6240 | Avg Accuracy: 81.94 | Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 0.3088 | Avg Accuracy: 82.85 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 0.2053 | Avg Accuracy: 84.54 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 0.1466 | Avg Accuracy: 84.85 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 0.1083 | Avg Accuracy: 85.16 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 0.0864 | Avg Accuracy: 84.97 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 0.0633 | Avg Accuracy: 85.71 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 0.0553 | Avg Accuracy: 85.28 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 0.0459 | Avg Accuracy: 85.43 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 0.0339 | Avg Accuracy: 85.55 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 0.0416 | Avg Accuracy: 84.99 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 4.0719 | Avg Accuracy: 13.98 | Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 3.2054 | Avg Accuracy: 27.98 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 2.5138 | Avg Accuracy: 38.83 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 2.0590 | Avg Accuracy: 46.63 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 1.7455 | Avg Accuracy: 51.70 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 1.5144 | Avg Accuracy: 55.40 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 1.3472 | Avg Accuracy: 57.92 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 1.2051 | Avg Accuracy: 59.46 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 1.1005 | Avg Accuracy: 60.65 | Model Sparsity: 0.7605
Recovery epoch [9/10]: Avg Loss: 0.9927 | Avg Accuracy: 60.98 | Model Sparsity: 0.7605
Recovery epoch [10/10]: Avg Loss: 0.9032 | Avg Accuracy: 63.07 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Loss: 2.6662 | Avg Accuracy: 43.33 | Model Sparsity: 0.9079
Recovery epoch [1/10]: Avg Loss: 1.9175 | Avg Accuracy: 47.29 | Model Sparsity: 0.9079
Recovery epoch [2/10]: Avg Loss: 1.6655 | Avg Accuracy: 50.35 | Model Sparsity: 0.9079
Recovery epoch [3/10]: Avg Loss: 1.5334 | Avg Accuracy: 52.52 | Model Sparsity: 0.9079
Recovery epoch [4/10]: Avg Loss: 1.4262 | Avg Accuracy: 54.40 | Model Sparsity: 0.9079
Recovery epoch [5/10]: Avg Loss: 1.3374 | Avg Accuracy: 55.89 | Model Sparsity: 0.9079
Recovery epoch [6/10]: Avg Loss: 1.2761 | Avg Accuracy: 56.07 | Model Sparsity: 0.9079
Recovery epoch [7/10]: Avg Loss: 1.2111 | Avg Accuracy: 57.33 | Model Sparsity: 0.9079
Recovery epoch [8/10]: Avg Loss: 1.1586 | Avg Accuracy: 57.61 | Model Sparsity: 0.9079
Recovery epoch [9/10]: Avg Loss: 1.1007 | Avg Accuracy: 58.57 | Model Sparsity: 0.9079
Recovery epoch [10/10]: Avg Loss: 1.0601 | Avg Accuracy: 57.77 | Model Sparsity: 0.9079
Epoch [4/5]: Avg Loss: 2.6879 | Avg Accuracy: 40.45 | Model Sparsity: 0.9622
Recovery epoch [1/10]: Avg Loss: 2.0218 | Avg Accuracy: 45.20 | Model Sparsity: 0.9622
Recovery epoch [2/10]: Avg Loss: 1.8444 | Avg Accuracy: 47.27 | Model Sparsity: 0.9622
Recovery epoch [3/10]: Avg Loss: 1.7175 | Avg Accuracy: 49.76 | Model Sparsity: 0.9622
Recovery epoch [4/10]: Avg Loss: 1.6572 | Avg Accuracy: 49.74 | Model Sparsity: 0.9622
Recovery epoch [5/10]: Avg Loss: 1.5842 | Avg Accuracy: 50.93 | Model Sparsity: 0.9622
Recovery epoch [6/10]: Avg Loss: 1.5313 | Avg Accuracy: 49.87 | Model Sparsity: 0.9622
Recovery epoch [7/10]: Avg Loss: 1.4879 | Avg Accuracy: 52.71 | Model Sparsity: 0.9622
Recovery epoch [8/10]: Avg Loss: 1.4421 | Avg Accuracy: 52.86 | Model Sparsity: 0.9622
Recovery epoch [9/10]: Avg Loss: 1.4157 | Avg Accuracy: 52.40 | Model Sparsity: 0.9622
Recovery epoch [10/10]: Avg Loss: 1.3895 | Avg Accuracy: 54.54 | Model Sparsity: 0.9622
Epoch [5/5]: Avg Loss: 1.4025 | Avg Accuracy: 53.80 | Model Sparsity: 0.97
Recovery epoch [1/10]: Avg Loss: 1.3504 | Avg Accuracy: 55.15 | Model Sparsity: 0.97
Recovery epoch [2/10]: Avg Loss: 1.3217 | Avg Accuracy: 55.06 | Model Sparsity: 0.97
Recovery epoch [3/10]: Avg Loss: 1.2774 | Avg Accuracy: 54.42 | Model Sparsity: 0.97
Recovery epoch [4/10]: Avg Loss: 1.2643 | Avg Accuracy: 55.37 | Model Sparsity: 0.97
Recovery epoch [5/10]: Avg Loss: 1.2452 | Avg Accuracy: 57.04 | Model Sparsity: 0.97
Recovery epoch [6/10]: Avg Loss: 1.2384 | Avg Accuracy: 56.12 | Model Sparsity: 0.97
Recovery epoch [7/10]: Avg Loss: 1.2285 | Avg Accuracy: 56.03 | Model Sparsity: 0.97
Recovery epoch [8/10]: Avg Loss: 1.1989 | Avg Accuracy: 56.37 | Model Sparsity: 0.97
Recovery epoch [9/10]: Avg Loss: 1.1655 | Avg Accuracy: 56.36 | Model Sparsity: 0.97
Recovery epoch [10/10]: Avg Loss: 1.1762 | Avg Accuracy: 56.75 | Model Sparsity: 0.97
