Model : vit_small - Learning Type: emnist/bacp_pruning/magnitude_pruning/0.99
Configuration:
model_name: vit_small
model_task: emnist
model_type: cv
num_classes: 47
batch_size: 256
learning_rate: 0.01
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 374
val_batches: 66
current_model_path: /dbfs/research/vit_small/emnist/vit_small_emnist_magnitude_pruning_0.99_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 5.0453 | Avg PrC Loss: 3.0560 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.8084 | Avg CE Loss: 0.1810 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 4.7202 | Avg PrC Loss: 3.0330 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.6098 | Avg CE Loss: 0.0774 | Model Sparsity: 0.4831
Retraining Epoch [2/10]: Avg Total Loss: 4.6804 | Avg PrC Loss: 3.0278 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5828 | Avg CE Loss: 0.0697 | Model Sparsity: 0.4831
Retraining Epoch [3/10]: Avg Total Loss: 4.6585 | Avg PrC Loss: 3.0258 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5674 | Avg CE Loss: 0.0654 | Model Sparsity: 0.4831
Retraining Epoch [4/10]: Avg Total Loss: 4.6436 | Avg PrC Loss: 3.0244 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5567 | Avg CE Loss: 0.0626 | Model Sparsity: 0.4831
Retraining Epoch [5/10]: Avg Total Loss: 4.6339 | Avg PrC Loss: 3.0237 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5499 | Avg CE Loss: 0.0604 | Model Sparsity: 0.4831
Retraining Epoch [6/10]: Avg Total Loss: 4.6238 | Avg PrC Loss: 3.0225 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5427 | Avg CE Loss: 0.0587 | Model Sparsity: 0.4831
Retraining Epoch [7/10]: Avg Total Loss: 4.6170 | Avg PrC Loss: 3.0215 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5381 | Avg CE Loss: 0.0574 | Model Sparsity: 0.4831
Retraining Epoch [8/10]: Avg Total Loss: 4.6119 | Avg PrC Loss: 3.0212 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5345 | Avg CE Loss: 0.0562 | Model Sparsity: 0.4831
Retraining Epoch [9/10]: Avg Total Loss: 4.6085 | Avg PrC Loss: 3.0211 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5322 | Avg CE Loss: 0.0552 | Model Sparsity: 0.4831
Retraining Epoch [10/10]: Avg Total Loss: 4.6045 | Avg PrC Loss: 3.0206 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5294 | Avg CE Loss: 0.0545 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Total Loss: 10.3277 | Avg PrC Loss: 3.1789 | Avg SnC Loss: 2.9748 | Avg FiC Loss: 3.3831 | Avg CE Loss: 0.7910 | Model Sparsity: 0.7762
Retraining Epoch [1/10]: Avg Total Loss: 6.7865 | Avg PrC Loss: 3.1212 | Avg SnC Loss: 1.6509 | Avg FiC Loss: 1.8438 | Avg CE Loss: 0.1707 | Model Sparsity: 0.7762
Retraining Epoch [2/10]: Avg Total Loss: 6.3394 | Avg PrC Loss: 3.0917 | Avg SnC Loss: 1.4812 | Avg FiC Loss: 1.6695 | Avg CE Loss: 0.0971 | Model Sparsity: 0.7762
Retraining Epoch [3/10]: Avg Total Loss: 6.2463 | Avg PrC Loss: 3.0846 | Avg SnC Loss: 1.4451 | Avg FiC Loss: 1.6323 | Avg CE Loss: 0.0843 | Model Sparsity: 0.7762
Retraining Epoch [4/10]: Avg Total Loss: 6.1911 | Avg PrC Loss: 3.0797 | Avg SnC Loss: 1.4242 | Avg FiC Loss: 1.6094 | Avg CE Loss: 0.0777 | Model Sparsity: 0.7762
