Model : vit_small - Learning Type: emnist/bacp_pruning/movement_pruning/0.95
Configuration:
model_name: vit_small
model_task: emnist
model_type: cv
num_classes: 47
batch_size: 256
learning_rate: 0.01
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 374
val_batches: 66
current_model_path: /dbfs/research/vit_small/emnist/vit_small_emnist_movement_pruning_0.95_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 5.1588 | Avg PrC Loss: 3.0908 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.8850 | Avg CE Loss: 0.1830 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 4.7820 | Avg PrC Loss: 3.0657 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.6412 | Avg CE Loss: 0.0750 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 4.7411 | Avg PrC Loss: 3.0624 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.6111 | Avg CE Loss: 0.0676 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 4.7195 | Avg PrC Loss: 3.0606 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5958 | Avg CE Loss: 0.0632 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 4.7044 | Avg PrC Loss: 3.0587 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5853 | Avg CE Loss: 0.0604 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 4.6948 | Avg PrC Loss: 3.0582 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5781 | Avg CE Loss: 0.0585 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 4.6886 | Avg PrC Loss: 3.0583 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5733 | Avg CE Loss: 0.0570 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 4.6797 | Avg PrC Loss: 3.0570 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5670 | Avg CE Loss: 0.0556 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 4.6751 | Avg PrC Loss: 3.0567 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5638 | Avg CE Loss: 0.0547 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 4.6703 | Avg PrC Loss: 3.0564 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5604 | Avg CE Loss: 0.0536 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 4.6673 | Avg PrC Loss: 3.0561 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5582 | Avg CE Loss: 0.0529 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Total Loss: 6.8675 | Avg PrC Loss: 3.1424 | Avg SnC Loss: 1.6621 | Avg FiC Loss: 1.8876 | Avg CE Loss: 0.1753 | Model Sparsity: 0.7448
Retraining Epoch [1/10]: Avg Total Loss: 6.1505 | Avg PrC Loss: 3.1146 | Avg SnC Loss: 1.3869 | Avg FiC Loss: 1.5813 | Avg CE Loss: 0.0678 | Model Sparsity: 0.7448
Retraining Epoch [2/10]: Avg Total Loss: 6.1105 | Avg PrC Loss: 3.1117 | Avg SnC Loss: 1.3718 | Avg FiC Loss: 1.5637 | Avg CE Loss: 0.0633 | Model Sparsity: 0.7448
Retraining Epoch [3/10]: Avg Total Loss: 6.0925 | Avg PrC Loss: 3.1107 | Avg SnC Loss: 1.3651 | Avg FiC Loss: 1.5554 | Avg CE Loss: 0.0613 | Model Sparsity: 0.7448
Retraining Epoch [4/10]: Avg Total Loss: 6.0788 | Avg PrC Loss: 3.1096 | Avg SnC Loss: 1.3605 | Avg FiC Loss: 1.5493 | Avg CE Loss: 0.0595 | Model Sparsity: 0.7448
Retraining Epoch [5/10]: Avg Total Loss: 6.0702 | Avg PrC Loss: 3.1092 | Avg SnC Loss: 1.3577 | Avg FiC Loss: 1.5451 | Avg CE Loss: 0.0582 | Model Sparsity: 0.7448
