Model : vit_small - Learning Type: emnist/pruning/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: vit_small
model_task: emnist
num_classes: 47
criterion: CrossEntropyLoss()
embedding_dim: 384
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 256
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vit_small/emnist/vit_small_emnist_magnitude_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/vit_small/emnist/vit_small_emnist_baseline.pt

Epoch [1/5]: Avg Loss: 0.2539 | Avg Accuracy: 89.27 | Avg Perplexity: 0.000 |Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 0.2235 | Avg Accuracy: 89.71 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 0.2133 | Avg Accuracy: 89.10 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.2052 | Avg Accuracy: 89.11 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.2011 | Avg Accuracy: 88.90 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.1938 | Avg Accuracy: 89.48 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.1906 | Avg Accuracy: 89.26 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.1868 | Avg Accuracy: 90.00 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.1841 | Avg Accuracy: 89.65 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.1804 | Avg Accuracy: 89.44 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.1777 | Avg Accuracy: 89.54 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 2.7480 | Avg Accuracy: 77.63 | Avg Perplexity: 0.000 |Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 0.4323 | Avg Accuracy: 86.46 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 0.3304 | Avg Accuracy: 87.86 | Model Sparsity: 0.7448
