Model : vit_small - Learning Type: emnist/pruning/movement_pruning/0.97
Configuration:
model_type: cv
model_name: vit_small
model_task: emnist
num_classes: 47
criterion: CrossEntropyLoss()
embedding_dim: 384
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 256
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: movement_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vit_small/emnist/vit_small_emnist_movement_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/vit_small/emnist/vit_small_emnist_baseline.pt

Epoch [1/5]: Avg Loss: 0.2947 | Avg Accuracy: 88.09 | Avg Perplexity: 0.000 |Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 0.2527 | Avg Accuracy: 89.11 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 0.2350 | Avg Accuracy: 89.38 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 0.2261 | Avg Accuracy: 88.96 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 0.2175 | Avg Accuracy: 89.26 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 0.2114 | Avg Accuracy: 89.42 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 0.2079 | Avg Accuracy: 89.16 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 0.2037 | Avg Accuracy: 89.59 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 0.2002 | Avg Accuracy: 88.58 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 0.1982 | Avg Accuracy: 89.31 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 0.1933 | Avg Accuracy: 89.44 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 3.2862 | Avg Accuracy: 49.97 | Avg Perplexity: 0.000 |Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 0.6290 | Avg Accuracy: 85.36 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 0.3496 | Avg Accuracy: 86.50 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 0.3113 | Avg Accuracy: 87.63 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 0.2967 | Avg Accuracy: 87.39 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 0.2842 | Avg Accuracy: 88.49 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 0.2753 | Avg Accuracy: 88.70 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 0.2676 | Avg Accuracy: 88.54 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 0.2638 | Avg Accuracy: 88.13 | Model Sparsity: 0.7605
Recovery epoch [9/10]: Avg Loss: 0.2617 | Avg Accuracy: 88.61 | Model Sparsity: 0.7605
Recovery epoch [10/10]: Avg Loss: 0.2574 | Avg Accuracy: 88.49 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Loss: 0.4886 | Avg Accuracy: 86.62 | Avg Perplexity: 0.000 |Model Sparsity: 0.9079
