Model : vit_small - Learning Type: svhn/bacp_pruning/magnitude_pruning/0.97
Configuration:
model_name: vit_small
model_task: svhn
model_type: cv
num_classes: 10
batch_size: 256
learning_rate: 0.01
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 243
val_batches: 42
current_model_path: /dbfs/research/vit_small/svhn/vit_small_svhn_magnitude_pruning_0.97_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 5.6005 | Avg PrC Loss: 3.1022 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3569 | Avg CE Loss: 0.1414 | Model Sparsity: 0.4734
Retraining Epoch [1/10]: Avg Total Loss: 7.0736 | Avg PrC Loss: 3.0968 | Avg SnC Loss: 1.8257 | Avg FiC Loss: 2.1018 | Avg CE Loss: 0.0494 | Model Sparsity: 0.4734
Retraining Epoch [2/10]: Avg Total Loss: 7.0159 | Avg PrC Loss: 3.0855 | Avg SnC Loss: 1.8206 | Avg FiC Loss: 2.0698 | Avg CE Loss: 0.0399 | Model Sparsity: 0.4734
Retraining Epoch [3/10]: Avg Total Loss: 6.9923 | Avg PrC Loss: 3.0803 | Avg SnC Loss: 1.8219 | Avg FiC Loss: 2.0548 | Avg CE Loss: 0.0353 | Model Sparsity: 0.4734
Retraining Epoch [4/10]: Avg Total Loss: 6.9765 | Avg PrC Loss: 3.0758 | Avg SnC Loss: 1.8223 | Avg FiC Loss: 2.0455 | Avg CE Loss: 0.0328 | Model Sparsity: 0.4734
Retraining Epoch [5/10]: Avg Total Loss: 6.9597 | Avg PrC Loss: 3.0715 | Avg SnC Loss: 1.8214 | Avg FiC Loss: 2.0366 | Avg CE Loss: 0.0302 | Model Sparsity: 0.4734
Retraining Epoch [6/10]: Avg Total Loss: 6.9529 | Avg PrC Loss: 3.0706 | Avg SnC Loss: 1.8224 | Avg FiC Loss: 2.0318 | Avg CE Loss: 0.0281 | Model Sparsity: 0.4734
Retraining Epoch [7/10]: Avg Total Loss: 6.9461 | Avg PrC Loss: 3.0685 | Avg SnC Loss: 1.8234 | Avg FiC Loss: 2.0280 | Avg CE Loss: 0.0262 | Model Sparsity: 0.4734
Retraining Epoch [8/10]: Avg Total Loss: 6.9381 | Avg PrC Loss: 3.0657 | Avg SnC Loss: 1.8238 | Avg FiC Loss: 2.0239 | Avg CE Loss: 0.0246 | Model Sparsity: 0.4734
Retraining Epoch [9/10]: Avg Total Loss: 6.9340 | Avg PrC Loss: 3.0650 | Avg SnC Loss: 1.8242 | Avg FiC Loss: 2.0211 | Avg CE Loss: 0.0236 | Model Sparsity: 0.4734
Retraining Epoch [10/10]: Avg Total Loss: 6.9264 | Avg PrC Loss: 3.0630 | Avg SnC Loss: 1.8240 | Avg FiC Loss: 2.0175 | Avg CE Loss: 0.0220 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Total Loss: 8.3644 | Avg PrC Loss: 3.1819 | Avg SnC Loss: 2.3625 | Avg FiC Loss: 2.6184 | Avg CE Loss: 0.2016 | Model Sparsity: 0.7605
Retraining Epoch [1/10]: Avg Total Loss: 9.1472 | Avg PrC Loss: 3.1306 | Avg SnC Loss: 3.7977 | Avg FiC Loss: 2.1667 | Avg CE Loss: 0.0522 | Model Sparsity: 0.7605
Retraining Epoch [2/10]: Avg Total Loss: 9.0539 | Avg PrC Loss: 3.1192 | Avg SnC Loss: 3.7601 | Avg FiC Loss: 2.1314 | Avg CE Loss: 0.0432 | Model Sparsity: 0.7605
Retraining Epoch [3/10]: Avg Total Loss: 9.0132 | Avg PrC Loss: 3.1140 | Avg SnC Loss: 3.7454 | Avg FiC Loss: 2.1149 | Avg CE Loss: 0.0389 | Model Sparsity: 0.7605
Retraining Epoch [4/10]: Avg Total Loss: 8.9874 | Avg PrC Loss: 3.1095 | Avg SnC Loss: 3.7373 | Avg FiC Loss: 2.1041 | Avg CE Loss: 0.0365 | Model Sparsity: 0.7605
Retraining Epoch [5/10]: Avg Total Loss: 8.9745 | Avg PrC Loss: 3.1082 | Avg SnC Loss: 3.7339 | Avg FiC Loss: 2.0979 | Avg CE Loss: 0.0345 | Model Sparsity: 0.7605
Retraining Epoch [6/10]: Avg Total Loss: 8.9575 | Avg PrC Loss: 3.1049 | Avg SnC Loss: 3.7283 | Avg FiC Loss: 2.0916 | Avg CE Loss: 0.0327 | Model Sparsity: 0.7605
