Model : vit_small - Learning Type: svhn/bacp_pruning/movement_pruning/0.95
Configuration:
model_name: vit_small
model_task: svhn
model_type: cv
num_classes: 10
batch_size: 256
learning_rate: 0.01
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 243
val_batches: 42
current_model_path: /dbfs/research/vit_small/svhn/vit_small_svhn_movement_pruning_0.95_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 5.6459 | Avg PrC Loss: 3.1115 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3919 | Avg CE Loss: 0.1425 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 5.2523 | Avg PrC Loss: 3.0693 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.1364 | Avg CE Loss: 0.0465 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 5.1944 | Avg PrC Loss: 3.0583 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.0982 | Avg CE Loss: 0.0379 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 5.1652 | Avg PrC Loss: 3.0526 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.0790 | Avg CE Loss: 0.0336 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 5.1440 | Avg PrC Loss: 3.0484 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.0657 | Avg CE Loss: 0.0299 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 5.1302 | Avg PrC Loss: 3.0452 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.0573 | Avg CE Loss: 0.0277 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 5.1190 | Avg PrC Loss: 3.0438 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.0497 | Avg CE Loss: 0.0254 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 5.1083 | Avg PrC Loss: 3.0406 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.0441 | Avg CE Loss: 0.0237 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 5.1000 | Avg PrC Loss: 3.0387 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.0394 | Avg CE Loss: 0.0219 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 5.0952 | Avg PrC Loss: 3.0381 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.0364 | Avg CE Loss: 0.0207 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 5.0868 | Avg PrC Loss: 3.0366 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.0307 | Avg CE Loss: 0.0194 | Model Sparsity: 0.4636
