Model : vit_small - Learning Type: svhn/pruning/magnitude_pruning/0.99
Configuration:
model_type: cv
model_name: vit_small
model_task: svhn
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 384
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 256
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vit_small/svhn/vit_small_svhn_magnitude_pruning_0.99_pruning.pt
finetuned_weights: /dbfs/research/vit_small/svhn/vit_small_svhn_baseline.pt

Epoch [1/5]: Avg Loss: 0.1375 | Avg Accuracy: 95.69 | Avg Perplexity: 0.000 |Model Sparsity: 0.4831
Recovery epoch [1/10]: Avg Loss: 0.0997 | Avg Accuracy: 95.85 | Model Sparsity: 0.4831
Recovery epoch [2/10]: Avg Loss: 0.0835 | Avg Accuracy: 95.68 | Model Sparsity: 0.4831
Recovery epoch [3/10]: Avg Loss: 0.0717 | Avg Accuracy: 95.94 | Model Sparsity: 0.4831
Recovery epoch [4/10]: Avg Loss: 0.0627 | Avg Accuracy: 95.98 | Model Sparsity: 0.4831
Recovery epoch [5/10]: Avg Loss: 0.0527 | Avg Accuracy: 96.22 | Model Sparsity: 0.4831
Recovery epoch [6/10]: Avg Loss: 0.0509 | Avg Accuracy: 95.88 | Model Sparsity: 0.4831
Recovery epoch [7/10]: Avg Loss: 0.0471 | Avg Accuracy: 95.66 | Model Sparsity: 0.4831
Recovery epoch [8/10]: Avg Loss: 0.0396 | Avg Accuracy: 95.68 | Model Sparsity: 0.4831
Recovery epoch [9/10]: Avg Loss: 0.0389 | Avg Accuracy: 95.51 | Model Sparsity: 0.4831
Recovery epoch [10/10]: Avg Loss: 0.0395 | Avg Accuracy: 95.89 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Loss: 2.7006 | Avg Accuracy: 16.93 | Avg Perplexity: 0.000 |Model Sparsity: 0.7762
Recovery epoch [1/10]: Avg Loss: 2.2658 | Avg Accuracy: 18.31 | Model Sparsity: 0.7762
Recovery epoch [2/10]: Avg Loss: 2.2556 | Avg Accuracy: 16.00 | Model Sparsity: 0.7762
Recovery epoch [3/10]: Avg Loss: 2.2474 | Avg Accuracy: 17.04 | Model Sparsity: 0.7762
Recovery epoch [4/10]: Avg Loss: 2.2449 | Avg Accuracy: 18.47 | Model Sparsity: 0.7762
Recovery epoch [5/10]: Avg Loss: 2.2434 | Avg Accuracy: 18.66 | Model Sparsity: 0.7762
Recovery epoch [6/10]: Avg Loss: 2.2391 | Avg Accuracy: 19.08 | Model Sparsity: 0.7762
Recovery epoch [7/10]: Avg Loss: 2.2378 | Avg Accuracy: 18.42 | Model Sparsity: 0.7762
Recovery epoch [8/10]: Avg Loss: 2.2358 | Avg Accuracy: 18.38 | Model Sparsity: 0.7762
Recovery epoch [9/10]: Avg Loss: 2.2345 | Avg Accuracy: 19.14 | Model Sparsity: 0.7762
Recovery epoch [10/10]: Avg Loss: 2.2306 | Avg Accuracy: 19.03 | Model Sparsity: 0.7762
Epoch [3/5]: Avg Loss: 2.2448 | Avg Accuracy: 18.66 | Avg Perplexity: 0.000 |Model Sparsity: 0.9266
