Model : vit_small - Learning Type: svhn/pruning/movement_pruning/0.97
Configuration:
model_type: cv
model_name: vit_small
model_task: svhn
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 384
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 256
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: movement_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vit_small/svhn/vit_small_svhn_movement_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/vit_small/svhn/vit_small_svhn_baseline.pt

Epoch [1/5]: Avg Loss: 0.1549 | Avg Accuracy: 95.34 | Avg Perplexity: 0.000 |Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 0.1104 | Avg Accuracy: 95.37 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 0.0963 | Avg Accuracy: 95.78 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 0.0833 | Avg Accuracy: 95.91 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 0.0754 | Avg Accuracy: 95.78 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 0.0672 | Avg Accuracy: 96.13 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 0.0595 | Avg Accuracy: 95.87 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 0.0517 | Avg Accuracy: 95.84 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 0.0510 | Avg Accuracy: 95.42 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 0.0471 | Avg Accuracy: 95.55 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 0.0458 | Avg Accuracy: 95.59 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 2.3087 | Avg Accuracy: 18.63 | Avg Perplexity: 0.000 |Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 2.2380 | Avg Accuracy: 18.63 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 2.1574 | Avg Accuracy: 29.29 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 0.8600 | Avg Accuracy: 92.54 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 0.2154 | Avg Accuracy: 93.82 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 0.1748 | Avg Accuracy: 94.58 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 0.1536 | Avg Accuracy: 95.15 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 0.1381 | Avg Accuracy: 94.92 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 0.1325 | Avg Accuracy: 94.84 | Model Sparsity: 0.7605
Recovery epoch [9/10]: Avg Loss: 0.1242 | Avg Accuracy: 95.13 | Model Sparsity: 0.7605
Recovery epoch [10/10]: Avg Loss: 0.1172 | Avg Accuracy: 95.66 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Loss: 0.5667 | Avg Accuracy: 90.96 | Avg Perplexity: 0.000 |Model Sparsity: 0.9079
Recovery epoch [1/10]: Avg Loss: 0.2365 | Avg Accuracy: 93.09 | Model Sparsity: 0.9079
Recovery epoch [2/10]: Avg Loss: 0.2119 | Avg Accuracy: 93.30 | Model Sparsity: 0.9079
Recovery epoch [3/10]: Avg Loss: 0.1951 | Avg Accuracy: 93.68 | Model Sparsity: 0.9079
Recovery epoch [4/10]: Avg Loss: 0.1849 | Avg Accuracy: 94.14 | Model Sparsity: 0.9079
Recovery epoch [5/10]: Avg Loss: 0.1793 | Avg Accuracy: 94.57 | Model Sparsity: 0.9079
Recovery epoch [6/10]: Avg Loss: 0.1676 | Avg Accuracy: 92.49 | Model Sparsity: 0.9079
Recovery epoch [7/10]: Avg Loss: 0.1701 | Avg Accuracy: 93.58 | Model Sparsity: 0.9079
Recovery epoch [8/10]: Avg Loss: 0.1626 | Avg Accuracy: 94.36 | Model Sparsity: 0.9079
Recovery epoch [9/10]: Avg Loss: 0.1556 | Avg Accuracy: 94.60 | Model Sparsity: 0.9079
Recovery epoch [10/10]: Avg Loss: 0.1568 | Avg Accuracy: 94.24 | Model Sparsity: 0.9079
Epoch [4/5]: Avg Loss: 0.3321 | Avg Accuracy: 92.35 | Avg Perplexity: 0.000 |Model Sparsity: 0.9622
Recovery epoch [1/10]: Avg Loss: 0.2275 | Avg Accuracy: 92.58 | Model Sparsity: 0.9622
Recovery epoch [2/10]: Avg Loss: 0.2106 | Avg Accuracy: 93.14 | Model Sparsity: 0.9622
Recovery epoch [3/10]: Avg Loss: 0.2089 | Avg Accuracy: 93.82 | Model Sparsity: 0.9622
Recovery epoch [4/10]: Avg Loss: 0.1904 | Avg Accuracy: 93.77 | Model Sparsity: 0.9622
Recovery epoch [5/10]: Avg Loss: 0.1884 | Avg Accuracy: 93.46 | Model Sparsity: 0.9622
Recovery epoch [6/10]: Avg Loss: 0.1815 | Avg Accuracy: 94.06 | Model Sparsity: 0.9622
Recovery epoch [7/10]: Avg Loss: 0.1796 | Avg Accuracy: 93.87 | Model Sparsity: 0.9622
Recovery epoch [8/10]: Avg Loss: 0.1765 | Avg Accuracy: 93.03 | Model Sparsity: 0.9622
Recovery epoch [9/10]: Avg Loss: 0.1777 | Avg Accuracy: 94.09 | Model Sparsity: 0.9622
Recovery epoch [10/10]: Avg Loss: 0.1745 | Avg Accuracy: 94.33 | Model Sparsity: 0.9622
Epoch [5/5]: Avg Loss: 0.1853 | Avg Accuracy: 93.55 | Avg Perplexity: 0.000 |Model Sparsity: 0.97
Recovery epoch [1/10]: Avg Loss: 0.1791 | Avg Accuracy: 93.09 | Model Sparsity: 0.97
Recovery epoch [2/10]: Avg Loss: 0.1795 | Avg Accuracy: 94.10 | Model Sparsity: 0.97
Recovery epoch [3/10]: Avg Loss: 0.1741 | Avg Accuracy: 93.30 | Model Sparsity: 0.97
Recovery epoch [4/10]: Avg Loss: 0.1730 | Avg Accuracy: 94.09 | Model Sparsity: 0.97
Recovery epoch [5/10]: Avg Loss: 0.1685 | Avg Accuracy: 94.18 | Model Sparsity: 0.97
Recovery epoch [6/10]: Avg Loss: 0.1706 | Avg Accuracy: 94.07 | Model Sparsity: 0.97
Recovery epoch [7/10]: Avg Loss: 0.1688 | Avg Accuracy: 93.93 | Model Sparsity: 0.97
Recovery epoch [8/10]: Avg Loss: 0.1639 | Avg Accuracy: 93.78 | Model Sparsity: 0.97
Recovery epoch [9/10]: Avg Loss: 0.1662 | Avg Accuracy: 93.26 | Model Sparsity: 0.97
Recovery epoch [10/10]: Avg Loss: 0.1654 | Avg Accuracy: 94.03 | Model Sparsity: 0.97
