Model : vit_tiny - Learning Type: cifar10/bacp_finetune/magnitude_pruning/0.99
Configuration:
model_type: cv
model_name: vit_tiny
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 192
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 256
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vit_tiny/cifar10/vit_tiny_cifar10_magnitude_pruning_0.99_bacp_finetune.pt
finetuned_weights: /dbfs/research/vit_tiny/cifar10/vit_tiny_cifar10_magnitude_pruning_0.99_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 1.5510 | Avg Accuracy: 69.68 | Model Sparsity: 0.99
Epoch [2/50]: Avg Loss: 0.7655 | Avg Accuracy: 77.76 | Model Sparsity: 0.99
Epoch [3/50]: Avg Loss: 0.6217 | Avg Accuracy: 80.00 | Model Sparsity: 0.99
Epoch [4/50]: Avg Loss: 0.5636 | Avg Accuracy: 81.03 | Model Sparsity: 0.99
Epoch [5/50]: Avg Loss: 0.5279 | Avg Accuracy: 81.61 | Model Sparsity: 0.99
Epoch [6/50]: Avg Loss: 0.5090 | Avg Accuracy: 82.15 | Model Sparsity: 0.99
Epoch [7/50]: Avg Loss: 0.4939 | Avg Accuracy: 82.52 | Model Sparsity: 0.99
Epoch [8/50]: Avg Loss: 0.4818 | Avg Accuracy: 83.04 | Model Sparsity: 0.99
Epoch [9/50]: Avg Loss: 0.4723 | Avg Accuracy: 82.85 | Model Sparsity: 0.99
Epoch [10/50]: Avg Loss: 0.4616 | Avg Accuracy: 83.36 | Model Sparsity: 0.99
Epoch [11/50]: Avg Loss: 0.4494 | Avg Accuracy: 83.26 | Model Sparsity: 0.99
Epoch [12/50]: Avg Loss: 0.4458 | Avg Accuracy: 84.01 | Model Sparsity: 0.99
Epoch [13/50]: Avg Loss: 0.4381 | Avg Accuracy: 83.58 | Model Sparsity: 0.99
Epoch [14/50]: Avg Loss: 0.4337 | Avg Accuracy: 84.13 | Model Sparsity: 0.99
Epoch [15/50]: Avg Loss: 0.4284 | Avg Accuracy: 84.38 | Model Sparsity: 0.99
Epoch [16/50]: Avg Loss: 0.4251 | Avg Accuracy: 84.38 | Model Sparsity: 0.99
Epoch [17/50]: Avg Loss: 0.4178 | Avg Accuracy: 84.09 | Model Sparsity: 0.99
Epoch [18/50]: Avg Loss: 0.4105 | Avg Accuracy: 84.11 | Model Sparsity: 0.99
Epoch [19/50]: Avg Loss: 0.4125 | Avg Accuracy: 84.51 | Model Sparsity: 0.99
Epoch [20/50]: Avg Loss: 0.4048 | Avg Accuracy: 84.04 | Model Sparsity: 0.99
Epoch [21/50]: Avg Loss: 0.4020 | Avg Accuracy: 85.29 | Model Sparsity: 0.99
Epoch [22/50]: Avg Loss: 0.3996 | Avg Accuracy: 84.38 | Model Sparsity: 0.99
Epoch [23/50]: Avg Loss: 0.3975 | Avg Accuracy: 84.97 | Model Sparsity: 0.99
Epoch [24/50]: Avg Loss: 0.3931 | Avg Accuracy: 84.58 | Model Sparsity: 0.99
