Model : vit_tiny - Learning Type: cifar10/bacp_finetune/movement_pruning/0.95
Configuration:
model_type: cv
model_name: vit_tiny
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 192
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 256
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vit_tiny/cifar10/vit_tiny_cifar10_movement_pruning_0.95_bacp_finetune.pt
finetuned_weights: /dbfs/research/vit_tiny/cifar10/vit_tiny_cifar10_movement_pruning_0.95_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 1.0382 | Avg Accuracy: 83.45 | Model Sparsity: 0.95
Epoch [2/50]: Avg Loss: 0.4611 | Avg Accuracy: 85.80 | Model Sparsity: 0.95
Epoch [3/50]: Avg Loss: 0.3946 | Avg Accuracy: 87.15 | Model Sparsity: 0.95
Epoch [4/50]: Avg Loss: 0.3662 | Avg Accuracy: 87.32 | Model Sparsity: 0.95
Epoch [5/50]: Avg Loss: 0.3453 | Avg Accuracy: 88.17 | Model Sparsity: 0.95
Epoch [6/50]: Avg Loss: 0.3305 | Avg Accuracy: 87.19 | Model Sparsity: 0.95
Epoch [7/50]: Avg Loss: 0.3172 | Avg Accuracy: 88.04 | Model Sparsity: 0.95
Epoch [8/50]: Avg Loss: 0.3083 | Avg Accuracy: 87.41 | Model Sparsity: 0.95
Epoch [9/50]: Avg Loss: 0.3024 | Avg Accuracy: 88.32 | Model Sparsity: 0.95
Epoch [10/50]: Avg Loss: 0.2907 | Avg Accuracy: 88.85 | Model Sparsity: 0.95
Epoch [11/50]: Avg Loss: 0.2833 | Avg Accuracy: 88.58 | Model Sparsity: 0.95
Epoch [12/50]: Avg Loss: 0.2762 | Avg Accuracy: 88.90 | Model Sparsity: 0.95
Epoch [13/50]: Avg Loss: 0.2735 | Avg Accuracy: 88.75 | Model Sparsity: 0.95
Epoch [14/50]: Avg Loss: 0.2629 | Avg Accuracy: 87.68 | Model Sparsity: 0.95
Epoch [15/50]: Avg Loss: 0.2603 | Avg Accuracy: 88.67 | Model Sparsity: 0.95
Epoch [16/50]: Avg Loss: 0.2535 | Avg Accuracy: 88.77 | Model Sparsity: 0.95
Epoch [17/50]: Avg Loss: 0.2488 | Avg Accuracy: 88.81 | Model Sparsity: 0.95
Epoch [18/50]: Avg Loss: 0.2455 | Avg Accuracy: 88.98 | Model Sparsity: 0.95
Epoch [19/50]: Avg Loss: 0.2427 | Avg Accuracy: 89.00 | Model Sparsity: 0.95
Epoch [20/50]: Avg Loss: 0.2396 | Avg Accuracy: 88.58 | Model Sparsity: 0.95
Epoch [21/50]: Avg Loss: 0.2382 | Avg Accuracy: 88.81 | Model Sparsity: 0.95
Epoch [22/50]: Avg Loss: 0.2266 | Avg Accuracy: 89.14 | Model Sparsity: 0.95
Epoch [23/50]: Avg Loss: 0.2242 | Avg Accuracy: 89.21 | Model Sparsity: 0.95
Epoch [24/50]: Avg Loss: 0.2191 | Avg Accuracy: 88.79 | Model Sparsity: 0.95
Epoch [25/50]: Avg Loss: 0.2162 | Avg Accuracy: 89.24 | Model Sparsity: 0.95
Epoch [26/50]: Avg Loss: 0.2101 | Avg Accuracy: 89.45 | Model Sparsity: 0.95
Epoch [27/50]: Avg Loss: 0.2095 | Avg Accuracy: 88.98 | Model Sparsity: 0.95
Epoch [28/50]: Avg Loss: 0.2046 | Avg Accuracy: 88.91 | Model Sparsity: 0.95
Epoch [29/50]: Avg Loss: 0.2046 | Avg Accuracy: 89.02 | Model Sparsity: 0.95
Epoch [30/50]: Avg Loss: 0.2007 | Avg Accuracy: 89.13 | Model Sparsity: 0.95
Epoch [31/50]: Avg Loss: 0.2012 | Avg Accuracy: 89.14 | Model Sparsity: 0.95
Epoch [32/50]: Avg Loss: 0.1933 | Avg Accuracy: 89.24 | Model Sparsity: 0.95
Epoch [33/50]: Avg Loss: 0.1923 | Avg Accuracy: 89.02 | Model Sparsity: 0.95
Epoch [34/50]: Avg Loss: 0.1911 | Avg Accuracy: 89.39 | Model Sparsity: 0.95
Epoch [35/50]: Avg Loss: 0.1850 | Avg Accuracy: 89.29 | Model Sparsity: 0.95
Epoch [36/50]: Avg Loss: 0.1832 | Avg Accuracy: 89.76 | Model Sparsity: 0.95
Epoch [37/50]: Avg Loss: 0.1821 | Avg Accuracy: 89.45 | Model Sparsity: 0.95
Epoch [38/50]: Avg Loss: 0.1755 | Avg Accuracy: 88.97 | Model Sparsity: 0.95
Epoch [39/50]: Avg Loss: 0.1723 | Avg Accuracy: 89.18 | Model Sparsity: 0.95
Epoch [40/50]: Avg Loss: 0.1719 | Avg Accuracy: 89.45 | Model Sparsity: 0.95
Epoch [41/50]: Avg Loss: 0.1693 | Avg Accuracy: 89.56 | Model Sparsity: 0.95
Epoch [42/50]: Avg Loss: 0.1685 | Avg Accuracy: 89.48 | Model Sparsity: 0.95
Epoch [43/50]: Avg Loss: 0.1655 | Avg Accuracy: 89.22 | Model Sparsity: 0.95
Epoch [44/50]: Avg Loss: 0.1585 | Avg Accuracy: 89.45 | Model Sparsity: 0.95
