Model : vit_tiny - Learning Type: cifar10/pruning/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: vit_tiny
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 192
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 256
learning_rate: 0.0001
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vit_tiny/cifar10/vit_tiny_cifar10_magnitude_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/vit_tiny/cifar10/vit_tiny_cifar10_baseline.pt

Epoch [1/5]: Avg Loss: 0.6990 | Avg Accuracy: 81.80 | Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 0.4437 | Avg Accuracy: 85.78 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 0.3697 | Avg Accuracy: 87.28 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.3285 | Avg Accuracy: 88.56 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.2952 | Avg Accuracy: 88.89 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.2728 | Avg Accuracy: 90.25 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.2562 | Avg Accuracy: 90.64 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.2397 | Avg Accuracy: 90.69 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.2267 | Avg Accuracy: 91.64 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.2147 | Avg Accuracy: 91.58 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.2062 | Avg Accuracy: 91.97 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 1.8687 | Avg Accuracy: 42.90 | Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 1.4340 | Avg Accuracy: 49.87 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 1.3064 | Avg Accuracy: 54.03 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 1.2268 | Avg Accuracy: 56.38 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 1.1660 | Avg Accuracy: 58.27 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 1.1184 | Avg Accuracy: 60.32 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 1.0764 | Avg Accuracy: 61.69 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: 1.0389 | Avg Accuracy: 63.11 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: 1.0077 | Avg Accuracy: 64.43 | Model Sparsity: 0.7448
Recovery epoch [9/10]: Avg Loss: 0.9799 | Avg Accuracy: 64.88 | Model Sparsity: 0.7448
Recovery epoch [10/10]: Avg Loss: 0.9534 | Avg Accuracy: 66.38 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Loss: 1.9881 | Avg Accuracy: 32.73 | Model Sparsity: 0.8892
Recovery epoch [1/10]: Avg Loss: 1.7641 | Avg Accuracy: 37.62 | Model Sparsity: 0.8892
Recovery epoch [2/10]: Avg Loss: 1.6690 | Avg Accuracy: 41.29 | Model Sparsity: 0.8892
Recovery epoch [3/10]: Avg Loss: 1.5947 | Avg Accuracy: 42.16 | Model Sparsity: 0.8892
Recovery epoch [4/10]: Avg Loss: 1.5357 | Avg Accuracy: 45.37 | Model Sparsity: 0.8892
Recovery epoch [5/10]: Avg Loss: 1.4880 | Avg Accuracy: 46.61 | Model Sparsity: 0.8892
Recovery epoch [6/10]: Avg Loss: 1.4489 | Avg Accuracy: 48.29 | Model Sparsity: 0.8892
Recovery epoch [7/10]: Avg Loss: 1.4094 | Avg Accuracy: 49.54 | Model Sparsity: 0.8892
Recovery epoch [8/10]: Avg Loss: 1.3791 | Avg Accuracy: 51.36 | Model Sparsity: 0.8892
Recovery epoch [9/10]: Avg Loss: 1.3565 | Avg Accuracy: 51.31 | Model Sparsity: 0.8892
Recovery epoch [10/10]: Avg Loss: 1.3310 | Avg Accuracy: 51.95 | Model Sparsity: 0.8892
Epoch [4/5]: Avg Loss: 2.0312 | Avg Accuracy: 34.95 | Model Sparsity: 0.9424
Recovery epoch [1/10]: Avg Loss: 1.7392 | Avg Accuracy: 38.01 | Model Sparsity: 0.9424
Recovery epoch [2/10]: Avg Loss: 1.6812 | Avg Accuracy: 38.98 | Model Sparsity: 0.9424
Recovery epoch [3/10]: Avg Loss: 1.6399 | Avg Accuracy: 40.30 | Model Sparsity: 0.9424
Recovery epoch [4/10]: Avg Loss: 1.6068 | Avg Accuracy: 42.65 | Model Sparsity: 0.9424
Recovery epoch [5/10]: Avg Loss: 1.5779 | Avg Accuracy: 43.25 | Model Sparsity: 0.9424
Recovery epoch [6/10]: Avg Loss: 1.5511 | Avg Accuracy: 44.53 | Model Sparsity: 0.9424
Recovery epoch [7/10]: Avg Loss: 1.5328 | Avg Accuracy: 44.26 | Model Sparsity: 0.9424
Recovery epoch [8/10]: Avg Loss: 1.5104 | Avg Accuracy: 45.64 | Model Sparsity: 0.9424
Recovery epoch [9/10]: Avg Loss: 1.4917 | Avg Accuracy: 45.53 | Model Sparsity: 0.9424
Recovery epoch [10/10]: Avg Loss: 1.4717 | Avg Accuracy: 47.12 | Model Sparsity: 0.9424
Epoch [5/5]: Avg Loss: 1.5352 | Avg Accuracy: 46.39 | Model Sparsity: 0.95
Recovery epoch [1/10]: Avg Loss: 1.4473 | Avg Accuracy: 46.71 | Model Sparsity: 0.95
Recovery epoch [2/10]: Avg Loss: 1.4334 | Avg Accuracy: 47.59 | Model Sparsity: 0.95
Recovery epoch [3/10]: Avg Loss: 1.4161 | Avg Accuracy: 48.52 | Model Sparsity: 0.95
Recovery epoch [4/10]: Avg Loss: 1.4061 | Avg Accuracy: 48.45 | Model Sparsity: 0.95
Recovery epoch [5/10]: Avg Loss: 1.3944 | Avg Accuracy: 49.08 | Model Sparsity: 0.95
