Model : vit_tiny - Learning Type: cifar10/pruning4/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: vit_tiny
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 192
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 256
learning_rate: 0.05
learning_type: pruning4
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vit_tiny/cifar10/vit_tiny_cifar10_magnitude_pruning_0.95_pruning4.pt
finetuned_weights: /dbfs/research/vit_tiny/cifar10/vit_tiny_cifar10_baseline.pt

Epoch [1/5]: Avg Loss: 41.9540 | Avg Accuracy: 13.23 | Avg Perplexity: 0.000 |Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 2.3284 | Avg Accuracy: 13.60 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 2.2957 | Avg Accuracy: 15.40 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 2.2393 | Avg Accuracy: 19.65 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 2.1466 | Avg Accuracy: 19.76 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 2.1203 | Avg Accuracy: 20.91 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 2.0681 | Avg Accuracy: 21.00 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 2.0303 | Avg Accuracy: 23.87 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 1.9930 | Avg Accuracy: 26.52 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 1.9606 | Avg Accuracy: 26.43 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 1.9393 | Avg Accuracy: 26.75 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 1.9208 | Avg Accuracy: 28.50 | Avg Perplexity: 0.000 |Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 1.8940 | Avg Accuracy: 29.12 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 1.8707 | Avg Accuracy: 30.41 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 1.8373 | Avg Accuracy: 31.45 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 1.8082 | Avg Accuracy: 32.21 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 1.7727 | Avg Accuracy: 33.42 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 1.7355 | Avg Accuracy: 35.94 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: 1.6973 | Avg Accuracy: 35.68 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: 1.6727 | Avg Accuracy: 36.37 | Model Sparsity: 0.7448
