Model : vit_tiny - Learning Type: cifar100/bacp_pruning/magnitude_pruning/0.97
Configuration:
model_name: vit_tiny
model_task: cifar100
model_type: cv
num_classes: 100
batch_size: 256
learning_rate: 0.01
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 166
val_batches: 29
current_model_path: /dbfs/research/vit_tiny/cifar100/vit_tiny_cifar100_magnitude_pruning_0.97_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 6.9775 | Avg PrC Loss: 3.0213 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8642 | Avg CE Loss: 1.0920 | Model Sparsity: 0.4734
Retraining Epoch [1/10]: Avg Total Loss: 8.7135 | Avg PrC Loss: 2.9685 | Avg SnC Loss: 2.2512 | Avg FiC Loss: 2.7039 | Avg CE Loss: 0.7899 | Model Sparsity: 0.4734
Retraining Epoch [2/10]: Avg Total Loss: 8.4464 | Avg PrC Loss: 2.9408 | Avg SnC Loss: 2.2054 | Avg FiC Loss: 2.6491 | Avg CE Loss: 0.6510 | Model Sparsity: 0.4734
Retraining Epoch [3/10]: Avg Total Loss: 8.3362 | Avg PrC Loss: 2.9281 | Avg SnC Loss: 2.1896 | Avg FiC Loss: 2.6251 | Avg CE Loss: 0.5934 | Model Sparsity: 0.4734
Retraining Epoch [4/10]: Avg Total Loss: 8.2653 | Avg PrC Loss: 2.9201 | Avg SnC Loss: 2.1837 | Avg FiC Loss: 2.6082 | Avg CE Loss: 0.5533 | Model Sparsity: 0.4734
Retraining Epoch [5/10]: Avg Total Loss: 8.2030 | Avg PrC Loss: 2.9115 | Avg SnC Loss: 2.1722 | Avg FiC Loss: 2.5940 | Avg CE Loss: 0.5254 | Model Sparsity: 0.4734
Retraining Epoch [6/10]: Avg Total Loss: 8.1670 | Avg PrC Loss: 2.9095 | Avg SnC Loss: 2.1693 | Avg FiC Loss: 2.5852 | Avg CE Loss: 0.5030 | Model Sparsity: 0.4734
Retraining Epoch [7/10]: Avg Total Loss: 8.1319 | Avg PrC Loss: 2.9048 | Avg SnC Loss: 2.1641 | Avg FiC Loss: 2.5767 | Avg CE Loss: 0.4864 | Model Sparsity: 0.4734
Retraining Epoch [8/10]: Avg Total Loss: 8.1053 | Avg PrC Loss: 2.8997 | Avg SnC Loss: 2.1621 | Avg FiC Loss: 2.5716 | Avg CE Loss: 0.4720 | Model Sparsity: 0.4734
Retraining Epoch [9/10]: Avg Total Loss: 8.0637 | Avg PrC Loss: 2.8961 | Avg SnC Loss: 2.1522 | Avg FiC Loss: 2.5610 | Avg CE Loss: 0.4544 | Model Sparsity: 0.4734
Retraining Epoch [10/10]: Avg Total Loss: 8.0678 | Avg PrC Loss: 2.8974 | Avg SnC Loss: 2.1588 | Avg FiC Loss: 2.5637 | Avg CE Loss: 0.4479 | Model Sparsity: 0.4734
