Model : vit_tiny - Learning Type: cifar100/bacp_pruning/movement_pruning/0.95
Configuration:
model_name: vit_tiny
model_task: cifar100
model_type: cv
num_classes: 100
batch_size: 256
learning_rate: 0.01
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 166
val_batches: 29
current_model_path: /dbfs/research/vit_tiny/cifar100/vit_tiny_cifar100_movement_pruning_0.95_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 7.1747 | Avg PrC Loss: 3.0854 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9927 | Avg CE Loss: 1.0967 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 9.0788 | Avg PrC Loss: 3.0079 | Avg SnC Loss: 2.4375 | Avg FiC Loss: 2.7881 | Avg CE Loss: 0.8453 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 8.8088 | Avg PrC Loss: 2.9762 | Avg SnC Loss: 2.3969 | Avg FiC Loss: 2.7197 | Avg CE Loss: 0.7159 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 8.6759 | Avg PrC Loss: 2.9596 | Avg SnC Loss: 2.3845 | Avg FiC Loss: 2.6862 | Avg CE Loss: 0.6457 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 8.5831 | Avg PrC Loss: 2.9477 | Avg SnC Loss: 2.3686 | Avg FiC Loss: 2.6622 | Avg CE Loss: 0.6046 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 8.5303 | Avg PrC Loss: 2.9422 | Avg SnC Loss: 2.3651 | Avg FiC Loss: 2.6506 | Avg CE Loss: 0.5725 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 8.4684 | Avg PrC Loss: 2.9330 | Avg SnC Loss: 2.3582 | Avg FiC Loss: 2.6327 | Avg CE Loss: 0.5445 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 8.4477 | Avg PrC Loss: 2.9312 | Avg SnC Loss: 2.3588 | Avg FiC Loss: 2.6287 | Avg CE Loss: 0.5290 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 8.4162 | Avg PrC Loss: 2.9252 | Avg SnC Loss: 2.3551 | Avg FiC Loss: 2.6207 | Avg CE Loss: 0.5152 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 8.3789 | Avg PrC Loss: 2.9239 | Avg SnC Loss: 2.3490 | Avg FiC Loss: 2.6070 | Avg CE Loss: 0.4990 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 8.3639 | Avg PrC Loss: 2.9208 | Avg SnC Loss: 2.3485 | Avg FiC Loss: 2.6049 | Avg CE Loss: 0.4897 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Total Loss: 9.3633 | Avg PrC Loss: 3.0615 | Avg SnC Loss: 2.5647 | Avg FiC Loss: 2.9031 | Avg CE Loss: 0.8341 | Model Sparsity: 0.7448
Retraining Epoch [1/10]: Avg Total Loss: 11.2466 | Avg PrC Loss: 3.0146 | Avg SnC Loss: 4.7557 | Avg FiC Loss: 2.7787 | Avg CE Loss: 0.6977 | Model Sparsity: 0.7448
Retraining Epoch [2/10]: Avg Total Loss: 11.0639 | Avg PrC Loss: 2.9950 | Avg SnC Loss: 4.6850 | Avg FiC Loss: 2.7350 | Avg CE Loss: 0.6488 | Model Sparsity: 0.7448
Retraining Epoch [3/10]: Avg Total Loss: 10.9780 | Avg PrC Loss: 2.9857 | Avg SnC Loss: 4.6572 | Avg FiC Loss: 2.7161 | Avg CE Loss: 0.6190 | Model Sparsity: 0.7448
Retraining Epoch [4/10]: Avg Total Loss: 10.9260 | Avg PrC Loss: 2.9791 | Avg SnC Loss: 4.6424 | Avg FiC Loss: 2.7024 | Avg CE Loss: 0.6022 | Model Sparsity: 0.7448
Retraining Epoch [5/10]: Avg Total Loss: 10.8879 | Avg PrC Loss: 2.9756 | Avg SnC Loss: 4.6325 | Avg FiC Loss: 2.6915 | Avg CE Loss: 0.5883 | Model Sparsity: 0.7448
Retraining Epoch [6/10]: Avg Total Loss: 10.8594 | Avg PrC Loss: 2.9706 | Avg SnC Loss: 4.6258 | Avg FiC Loss: 2.6847 | Avg CE Loss: 0.5782 | Model Sparsity: 0.7448
Retraining Epoch [7/10]: Avg Total Loss: 10.8391 | Avg PrC Loss: 2.9688 | Avg SnC Loss: 4.6188 | Avg FiC Loss: 2.6825 | Avg CE Loss: 0.5691 | Model Sparsity: 0.7448
Retraining Epoch [8/10]: Avg Total Loss: 10.8080 | Avg PrC Loss: 2.9651 | Avg SnC Loss: 4.6081 | Avg FiC Loss: 2.6738 | Avg CE Loss: 0.5610 | Model Sparsity: 0.7448
Retraining Epoch [9/10]: Avg Total Loss: 10.7949 | Avg PrC Loss: 2.9615 | Avg SnC Loss: 4.6085 | Avg FiC Loss: 2.6718 | Avg CE Loss: 0.5530 | Model Sparsity: 0.7448
