Model : vit_tiny - Learning Type: cifar100/pruning/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: vit_tiny
model_task: cifar100
num_classes: 100
criterion: CrossEntropyLoss()
embedding_dim: 192
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 256
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vit_tiny/cifar100/vit_tiny_cifar100_magnitude_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/vit_tiny/cifar100/vit_tiny_cifar100_baseline.pt

Epoch [1/5]: Avg Loss: 0.5399 | Avg Accuracy: 76.68 | Avg Perplexity: 0.000 |Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 0.3489 | Avg Accuracy: 78.03 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 0.2567 | Avg Accuracy: 78.23 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.2073 | Avg Accuracy: 78.99 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.1568 | Avg Accuracy: 79.14 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.1215 | Avg Accuracy: 79.49 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.0988 | Avg Accuracy: 79.88 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.0760 | Avg Accuracy: 80.93 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.0588 | Avg Accuracy: 80.85 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.0528 | Avg Accuracy: 79.89 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.0433 | Avg Accuracy: 81.25 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 2.5464 | Avg Accuracy: 55.86 | Avg Perplexity: 0.000 |Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 1.1622 | Avg Accuracy: 65.19 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 0.8876 | Avg Accuracy: 66.95 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 0.7289 | Avg Accuracy: 69.11 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 0.6252 | Avg Accuracy: 70.45 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 0.5383 | Avg Accuracy: 71.65 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 0.4685 | Avg Accuracy: 71.19 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: 0.4145 | Avg Accuracy: 71.09 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: 0.3550 | Avg Accuracy: 71.57 | Model Sparsity: 0.7448
Recovery epoch [9/10]: Avg Loss: 0.3174 | Avg Accuracy: 72.16 | Model Sparsity: 0.7448
