Model : vit_tiny - Learning Type: cifar100/pruning/movement_pruning/0.95
Configuration:
model_type: cv
model_name: vit_tiny
model_task: cifar100
num_classes: 100
criterion: CrossEntropyLoss()
embedding_dim: 192
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 256
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vit_tiny/cifar100/vit_tiny_cifar100_movement_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/vit_tiny/cifar100/vit_tiny_cifar100_baseline.pt

Epoch [1/5]: Avg Loss: 1.2111 | Avg Accuracy: 69.17 | Avg Perplexity: 0.000 |Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 0.7040 | Avg Accuracy: 72.91 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 0.5320 | Avg Accuracy: 73.76 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.4440 | Avg Accuracy: 75.75 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.3840 | Avg Accuracy: 75.05 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.3235 | Avg Accuracy: 75.63 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.2629 | Avg Accuracy: 75.81 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.2326 | Avg Accuracy: 74.84 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.1935 | Avg Accuracy: 75.92 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.1637 | Avg Accuracy: 77.34 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.1346 | Avg Accuracy: 76.32 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 2.8116 | Avg Accuracy: 53.52 | Avg Perplexity: 0.000 |Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 1.2918 | Avg Accuracy: 60.90 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 0.9865 | Avg Accuracy: 65.21 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 0.8327 | Avg Accuracy: 65.93 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 0.7283 | Avg Accuracy: 67.09 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 0.6421 | Avg Accuracy: 67.65 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 0.5799 | Avg Accuracy: 68.32 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: 0.5188 | Avg Accuracy: 69.09 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: 0.4702 | Avg Accuracy: 69.48 | Model Sparsity: 0.7448
Recovery epoch [9/10]: Avg Loss: 0.4194 | Avg Accuracy: 69.45 | Model Sparsity: 0.7448
Recovery epoch [10/10]: Avg Loss: 0.3978 | Avg Accuracy: 69.23 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Loss: 2.4825 | Avg Accuracy: 48.18 | Avg Perplexity: 0.000 |Model Sparsity: 0.8892
Recovery epoch [1/10]: Avg Loss: 1.5026 | Avg Accuracy: 56.71 | Model Sparsity: 0.8892
Recovery epoch [2/10]: Avg Loss: 1.2734 | Avg Accuracy: 58.50 | Model Sparsity: 0.8892
Recovery epoch [3/10]: Avg Loss: 1.1413 | Avg Accuracy: 59.64 | Model Sparsity: 0.8892
Recovery epoch [4/10]: Avg Loss: 1.0602 | Avg Accuracy: 61.44 | Model Sparsity: 0.8892
Recovery epoch [5/10]: Avg Loss: 0.9757 | Avg Accuracy: 61.09 | Model Sparsity: 0.8892
Recovery epoch [6/10]: Avg Loss: 0.9178 | Avg Accuracy: 61.75 | Model Sparsity: 0.8892
Recovery epoch [7/10]: Avg Loss: 0.8698 | Avg Accuracy: 62.27 | Model Sparsity: 0.8892
Recovery epoch [8/10]: Avg Loss: 0.8253 | Avg Accuracy: 62.46 | Model Sparsity: 0.8892
Recovery epoch [9/10]: Avg Loss: 0.7779 | Avg Accuracy: 63.27 | Model Sparsity: 0.8892
Recovery epoch [10/10]: Avg Loss: 0.7461 | Avg Accuracy: 62.77 | Model Sparsity: 0.8892
