Model : vit_tiny - Learning Type: emnist/bacp_pruning/movement_pruning/0.99
Configuration:
model_name: vit_tiny
model_task: emnist
model_type: cv
num_classes: 47
batch_size: 256
learning_rate: 0.01
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 374
val_batches: 66
current_model_path: /dbfs/research/vit_tiny/emnist/vit_tiny_emnist_movement_pruning_0.99_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 5.9833 | Avg PrC Loss: 3.2679 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.3802 | Avg CE Loss: 0.3352 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 5.0628 | Avg PrC Loss: 3.2537 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.7196 | Avg CE Loss: 0.0895 | Model Sparsity: 0.4831
Retraining Epoch [2/10]: Avg Total Loss: 4.9977 | Avg PrC Loss: 3.2463 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.6740 | Avg CE Loss: 0.0774 | Model Sparsity: 0.4831
Retraining Epoch [3/10]: Avg Total Loss: 4.9648 | Avg PrC Loss: 3.2436 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.6499 | Avg CE Loss: 0.0713 | Model Sparsity: 0.4831
Retraining Epoch [4/10]: Avg Total Loss: 4.9468 | Avg PrC Loss: 3.2423 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.6372 | Avg CE Loss: 0.0673 | Model Sparsity: 0.4831
Retraining Epoch [5/10]: Avg Total Loss: 4.9334 | Avg PrC Loss: 3.2418 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.6268 | Avg CE Loss: 0.0648 | Model Sparsity: 0.4831
Retraining Epoch [6/10]: Avg Total Loss: 4.9232 | Avg PrC Loss: 3.2415 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.6193 | Avg CE Loss: 0.0624 | Model Sparsity: 0.4831
Retraining Epoch [7/10]: Avg Total Loss: 4.9138 | Avg PrC Loss: 3.2408 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.6120 | Avg CE Loss: 0.0611 | Model Sparsity: 0.4831
Retraining Epoch [8/10]: Avg Total Loss: 4.9082 | Avg PrC Loss: 3.2409 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.6074 | Avg CE Loss: 0.0599 | Model Sparsity: 0.4831
Retraining Epoch [9/10]: Avg Total Loss: 4.9042 | Avg PrC Loss: 3.2414 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.6038 | Avg CE Loss: 0.0589 | Model Sparsity: 0.4831
Retraining Epoch [10/10]: Avg Total Loss: 4.8972 | Avg PrC Loss: 3.2404 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5991 | Avg CE Loss: 0.0578 | Model Sparsity: 0.4831
