Model : vit_tiny - Learning Type: emnist/pruning/magnitude_pruning/0.97
Configuration:
model_type: cv
model_name: vit_tiny
model_task: emnist
num_classes: 47
criterion: CrossEntropyLoss()
embedding_dim: 192
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 256
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vit_tiny/emnist/vit_tiny_emnist_magnitude_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/vit_tiny/emnist/vit_tiny_emnist_baseline.pt

Epoch [1/5]: Avg Loss: 0.2830 | Avg Accuracy: 89.28 | Avg Perplexity: 0.000 |Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 0.2550 | Avg Accuracy: 88.33 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 0.2415 | Avg Accuracy: 89.10 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 0.2362 | Avg Accuracy: 89.11 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 0.2319 | Avg Accuracy: 88.64 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 0.2283 | Avg Accuracy: 89.16 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 0.2246 | Avg Accuracy: 89.20 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 0.2228 | Avg Accuracy: 88.45 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 0.2182 | Avg Accuracy: 89.60 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 0.2184 | Avg Accuracy: 89.67 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 0.2148 | Avg Accuracy: 89.65 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 1.8144 | Avg Accuracy: 85.20 | Avg Perplexity: 0.000 |Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 0.3615 | Avg Accuracy: 87.38 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 0.3185 | Avg Accuracy: 88.26 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 0.2973 | Avg Accuracy: 87.14 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 0.2888 | Avg Accuracy: 88.10 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 0.2822 | Avg Accuracy: 88.67 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 0.2743 | Avg Accuracy: 88.33 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 0.2730 | Avg Accuracy: 88.56 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 0.2664 | Avg Accuracy: 88.60 | Model Sparsity: 0.7605
Recovery epoch [9/10]: Avg Loss: 0.2661 | Avg Accuracy: 88.51 | Model Sparsity: 0.7605
Recovery epoch [10/10]: Avg Loss: 0.2667 | Avg Accuracy: 88.14 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Loss: 0.7005 | Avg Accuracy: 85.78 | Avg Perplexity: 0.000 |Model Sparsity: 0.9079
Recovery epoch [1/10]: Avg Loss: 0.3509 | Avg Accuracy: 86.59 | Model Sparsity: 0.9079
Recovery epoch [2/10]: Avg Loss: 0.3364 | Avg Accuracy: 87.60 | Model Sparsity: 0.9079
Recovery epoch [3/10]: Avg Loss: 0.3204 | Avg Accuracy: 87.54 | Model Sparsity: 0.9079
Recovery epoch [4/10]: Avg Loss: 0.3178 | Avg Accuracy: 87.81 | Model Sparsity: 0.9079
Recovery epoch [5/10]: Avg Loss: 0.3183 | Avg Accuracy: 86.39 | Model Sparsity: 0.9079
Recovery epoch [6/10]: Avg Loss: 0.3116 | Avg Accuracy: 86.70 | Model Sparsity: 0.9079
Recovery epoch [7/10]: Avg Loss: 0.3054 | Avg Accuracy: 87.61 | Model Sparsity: 0.9079
Recovery epoch [8/10]: Avg Loss: 0.3019 | Avg Accuracy: 87.31 | Model Sparsity: 0.9079
Recovery epoch [9/10]: Avg Loss: 0.3033 | Avg Accuracy: 87.29 | Model Sparsity: 0.9079
Recovery epoch [10/10]: Avg Loss: 0.3008 | Avg Accuracy: 87.97 | Model Sparsity: 0.9079
Epoch [4/5]: Avg Loss: 0.4181 | Avg Accuracy: 86.88 | Avg Perplexity: 0.000 |Model Sparsity: 0.9622
Recovery epoch [1/10]: Avg Loss: 0.3391 | Avg Accuracy: 87.09 | Model Sparsity: 0.9622
Recovery epoch [2/10]: Avg Loss: 0.3345 | Avg Accuracy: 86.70 | Model Sparsity: 0.9622
Recovery epoch [3/10]: Avg Loss: 0.3228 | Avg Accuracy: 86.19 | Model Sparsity: 0.9622
