Model : vit_tiny - Learning Type: emnist/pruning/movement_pruning/0.95
Configuration:
model_type: cv
model_name: vit_tiny
model_task: emnist
num_classes: 47
criterion: CrossEntropyLoss()
embedding_dim: 192
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 256
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vit_tiny/emnist/vit_tiny_emnist_movement_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/vit_tiny/emnist/vit_tiny_emnist_baseline.pt

Epoch [1/5]: Avg Loss: 1.7977 | Avg Accuracy: 83.75 | Avg Perplexity: 0.000 |Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 0.3737 | Avg Accuracy: 87.43 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 0.3149 | Avg Accuracy: 88.29 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.2946 | Avg Accuracy: 88.58 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.2812 | Avg Accuracy: 88.12 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.2735 | Avg Accuracy: 88.86 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.2645 | Avg Accuracy: 88.82 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.2584 | Avg Accuracy: 88.61 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.2548 | Avg Accuracy: 88.87 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.2504 | Avg Accuracy: 89.37 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.2478 | Avg Accuracy: 88.83 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 0.4089 | Avg Accuracy: 86.54 | Avg Perplexity: 0.000 |Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 0.3055 | Avg Accuracy: 87.98 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 0.2924 | Avg Accuracy: 88.39 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 0.2852 | Avg Accuracy: 88.16 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 0.2799 | Avg Accuracy: 88.20 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 0.2739 | Avg Accuracy: 88.19 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 0.2746 | Avg Accuracy: 88.83 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: 0.2672 | Avg Accuracy: 88.62 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: 0.2693 | Avg Accuracy: 88.35 | Model Sparsity: 0.7448
Recovery epoch [9/10]: Avg Loss: 0.2651 | Avg Accuracy: 88.44 | Model Sparsity: 0.7448
Recovery epoch [10/10]: Avg Loss: 0.2621 | Avg Accuracy: 88.41 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Loss: 0.4876 | Avg Accuracy: 86.25 | Avg Perplexity: 0.000 |Model Sparsity: 0.8892
Recovery epoch [1/10]: Avg Loss: 0.3477 | Avg Accuracy: 86.23 | Model Sparsity: 0.8892
Recovery epoch [2/10]: Avg Loss: 0.3342 | Avg Accuracy: 86.50 | Model Sparsity: 0.8892
Recovery epoch [3/10]: Avg Loss: 0.3218 | Avg Accuracy: 87.36 | Model Sparsity: 0.8892
Recovery epoch [4/10]: Avg Loss: 0.3150 | Avg Accuracy: 87.16 | Model Sparsity: 0.8892
Recovery epoch [5/10]: Avg Loss: 0.3077 | Avg Accuracy: 87.74 | Model Sparsity: 0.8892
Recovery epoch [6/10]: Avg Loss: 0.3036 | Avg Accuracy: 88.19 | Model Sparsity: 0.8892
Recovery epoch [7/10]: Avg Loss: 0.3016 | Avg Accuracy: 87.63 | Model Sparsity: 0.8892
Recovery epoch [8/10]: Avg Loss: 0.2986 | Avg Accuracy: 87.91 | Model Sparsity: 0.8892
Recovery epoch [9/10]: Avg Loss: 0.2963 | Avg Accuracy: 87.51 | Model Sparsity: 0.8892
Recovery epoch [10/10]: Avg Loss: 0.2949 | Avg Accuracy: 87.78 | Model Sparsity: 0.8892
Epoch [4/5]: Avg Loss: 0.3796 | Avg Accuracy: 85.49 | Avg Perplexity: 0.000 |Model Sparsity: 0.9424
Recovery epoch [1/10]: Avg Loss: 0.3360 | Avg Accuracy: 86.94 | Model Sparsity: 0.9424
Recovery epoch [2/10]: Avg Loss: 0.3296 | Avg Accuracy: 87.23 | Model Sparsity: 0.9424
Recovery epoch [3/10]: Avg Loss: 0.3231 | Avg Accuracy: 87.05 | Model Sparsity: 0.9424
Recovery epoch [4/10]: Avg Loss: 0.3192 | Avg Accuracy: 87.61 | Model Sparsity: 0.9424
Recovery epoch [5/10]: Avg Loss: 0.3143 | Avg Accuracy: 86.96 | Model Sparsity: 0.9424
Recovery epoch [6/10]: Avg Loss: 0.3112 | Avg Accuracy: 87.97 | Model Sparsity: 0.9424
Recovery epoch [7/10]: Avg Loss: 0.3114 | Avg Accuracy: 87.58 | Model Sparsity: 0.9424
Recovery epoch [8/10]: Avg Loss: 0.3090 | Avg Accuracy: 87.38 | Model Sparsity: 0.9424
Recovery epoch [9/10]: Avg Loss: 0.3094 | Avg Accuracy: 86.27 | Model Sparsity: 0.9424
Recovery epoch [10/10]: Avg Loss: 0.3066 | Avg Accuracy: 87.57 | Model Sparsity: 0.9424
Epoch [5/5]: Avg Loss: 0.3142 | Avg Accuracy: 87.01 | Avg Perplexity: 0.000 |Model Sparsity: 0.95
Recovery epoch [1/10]: Avg Loss: 0.3132 | Avg Accuracy: 86.78 | Model Sparsity: 0.95
Recovery epoch [2/10]: Avg Loss: 0.3095 | Avg Accuracy: 87.91 | Model Sparsity: 0.95
Recovery epoch [3/10]: Avg Loss: 0.3083 | Avg Accuracy: 87.54 | Model Sparsity: 0.95
Recovery epoch [4/10]: Avg Loss: 0.3056 | Avg Accuracy: 87.48 | Model Sparsity: 0.95
Recovery epoch [5/10]: Avg Loss: 0.3046 | Avg Accuracy: 87.63 | Model Sparsity: 0.95
Recovery epoch [6/10]: Avg Loss: 0.3067 | Avg Accuracy: 88.07 | Model Sparsity: 0.95
Recovery epoch [7/10]: Avg Loss: 0.3033 | Avg Accuracy: 87.39 | Model Sparsity: 0.95
Recovery epoch [8/10]: Avg Loss: 0.3042 | Avg Accuracy: 87.65 | Model Sparsity: 0.95
Recovery epoch [9/10]: Avg Loss: 0.3047 | Avg Accuracy: 86.83 | Model Sparsity: 0.95
Recovery epoch [10/10]: Avg Loss: 0.3062 | Avg Accuracy: 86.72 | Model Sparsity: 0.95
