Model : vit_tiny - Learning Type: svhn/bacp_pruning/magnitude_pruning/0.95
Configuration:
model_name: vit_tiny
model_task: svhn
model_type: cv
num_classes: 10
batch_size: 256
learning_rate: 0.01
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 243
val_batches: 42
current_model_path: /dbfs/research/vit_tiny/svhn/vit_tiny_svhn_magnitude_pruning_0.95_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 5.7681 | Avg PrC Loss: 3.1558 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.4483 | Avg CE Loss: 0.1641 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 7.2891 | Avg PrC Loss: 3.1476 | Avg SnC Loss: 1.9245 | Avg FiC Loss: 2.1588 | Avg CE Loss: 0.0582 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 7.2230 | Avg PrC Loss: 3.1363 | Avg SnC Loss: 1.9174 | Avg FiC Loss: 2.1224 | Avg CE Loss: 0.0469 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 7.1901 | Avg PrC Loss: 3.1293 | Avg SnC Loss: 1.9152 | Avg FiC Loss: 2.1041 | Avg CE Loss: 0.0416 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 7.1723 | Avg PrC Loss: 3.1266 | Avg SnC Loss: 1.9149 | Avg FiC Loss: 2.0929 | Avg CE Loss: 0.0379 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 7.1583 | Avg PrC Loss: 3.1236 | Avg SnC Loss: 1.9153 | Avg FiC Loss: 2.0843 | Avg CE Loss: 0.0351 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 7.1457 | Avg PrC Loss: 3.1206 | Avg SnC Loss: 1.9151 | Avg FiC Loss: 2.0775 | Avg CE Loss: 0.0325 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 7.1405 | Avg PrC Loss: 3.1196 | Avg SnC Loss: 1.9173 | Avg FiC Loss: 2.0728 | Avg CE Loss: 0.0307 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 7.1315 | Avg PrC Loss: 3.1174 | Avg SnC Loss: 1.9164 | Avg FiC Loss: 2.0685 | Avg CE Loss: 0.0292 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 7.1270 | Avg PrC Loss: 3.1166 | Avg SnC Loss: 1.9170 | Avg FiC Loss: 2.0656 | Avg CE Loss: 0.0279 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 7.1209 | Avg PrC Loss: 3.1148 | Avg SnC Loss: 1.9168 | Avg FiC Loss: 2.0623 | Avg CE Loss: 0.0269 | Model Sparsity: 0.4636
