Model : vit_tiny - Learning Type: svhn/bacp_pruning/movement_pruning/0.95
Configuration:
model_name: vit_tiny
model_task: svhn
model_type: cv
num_classes: 10
batch_size: 256
learning_rate: 0.01
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 243
val_batches: 42
current_model_path: /dbfs/research/vit_tiny/svhn/vit_tiny_svhn_movement_pruning_0.95_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 6.1755 | Avg PrC Loss: 3.1875 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.7277 | Avg CE Loss: 0.2603 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 7.4649 | Avg PrC Loss: 3.1753 | Avg SnC Loss: 1.9919 | Avg FiC Loss: 2.2267 | Avg CE Loss: 0.0709 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 7.3739 | Avg PrC Loss: 3.1614 | Avg SnC Loss: 1.9811 | Avg FiC Loss: 2.1762 | Avg CE Loss: 0.0552 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 7.3324 | Avg PrC Loss: 3.1550 | Avg SnC Loss: 1.9786 | Avg FiC Loss: 2.1517 | Avg CE Loss: 0.0471 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 7.3104 | Avg PrC Loss: 3.1508 | Avg SnC Loss: 1.9780 | Avg FiC Loss: 2.1385 | Avg CE Loss: 0.0431 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 7.2954 | Avg PrC Loss: 3.1481 | Avg SnC Loss: 1.9786 | Avg FiC Loss: 2.1285 | Avg CE Loss: 0.0402 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 7.2824 | Avg PrC Loss: 3.1459 | Avg SnC Loss: 1.9791 | Avg FiC Loss: 2.1204 | Avg CE Loss: 0.0369 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 7.2725 | Avg PrC Loss: 3.1444 | Avg SnC Loss: 1.9786 | Avg FiC Loss: 2.1145 | Avg CE Loss: 0.0351 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 7.2635 | Avg PrC Loss: 3.1417 | Avg SnC Loss: 1.9788 | Avg FiC Loss: 2.1096 | Avg CE Loss: 0.0333 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 7.2557 | Avg PrC Loss: 3.1413 | Avg SnC Loss: 1.9792 | Avg FiC Loss: 2.1044 | Avg CE Loss: 0.0307 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 7.2523 | Avg PrC Loss: 3.1399 | Avg SnC Loss: 1.9799 | Avg FiC Loss: 2.1022 | Avg CE Loss: 0.0304 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Total Loss: 7.6877 | Avg PrC Loss: 3.1849 | Avg SnC Loss: 2.1051 | Avg FiC Loss: 2.3082 | Avg CE Loss: 0.0895 | Model Sparsity: 0.7448
