Model : vit_tiny - Learning Type: svhn/pruning/magnitude_pruning/0.97
Configuration:
model_type: cv
model_name: vit_tiny
model_task: svhn
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 192
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 256
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vit_tiny/svhn/vit_tiny_svhn_magnitude_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/vit_tiny/svhn/vit_tiny_svhn_baseline.pt

Epoch [1/5]: Avg Loss: 0.1618 | Avg Accuracy: 94.26 | Avg Perplexity: 0.000 |Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 0.1253 | Avg Accuracy: 94.11 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 0.1116 | Avg Accuracy: 94.58 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 0.0959 | Avg Accuracy: 94.62 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 0.0925 | Avg Accuracy: 94.61 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 0.0836 | Avg Accuracy: 94.74 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 0.0768 | Avg Accuracy: 94.83 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 0.0749 | Avg Accuracy: 94.20 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 0.0734 | Avg Accuracy: 94.68 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 0.0660 | Avg Accuracy: 94.36 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 0.0696 | Avg Accuracy: 95.04 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 2.2967 | Avg Accuracy: 19.22 | Avg Perplexity: 0.000 |Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 1.7954 | Avg Accuracy: 86.81 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 0.2834 | Avg Accuracy: 92.45 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 0.2013 | Avg Accuracy: 93.69 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 0.1794 | Avg Accuracy: 93.57 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 0.1645 | Avg Accuracy: 94.00 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 0.1528 | Avg Accuracy: 93.90 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 0.1470 | Avg Accuracy: 93.90 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 0.1430 | Avg Accuracy: 93.62 | Model Sparsity: 0.7605
Recovery epoch [9/10]: Avg Loss: 0.1386 | Avg Accuracy: 93.96 | Model Sparsity: 0.7605
Recovery epoch [10/10]: Avg Loss: 0.1311 | Avg Accuracy: 94.23 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Loss: 0.4727 | Avg Accuracy: 90.01 | Avg Perplexity: 0.000 |Model Sparsity: 0.9079
