Model : vit_tiny - Learning Type: svhn/pruning/movement_pruning/0.95
Configuration:
model_type: cv
model_name: vit_tiny
model_task: svhn
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 192
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 256
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vit_tiny/svhn/vit_tiny_svhn_movement_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/vit_tiny/svhn/vit_tiny_svhn_baseline.pt

Epoch [1/5]: Avg Loss: 0.2309 | Avg Accuracy: 93.92 | Avg Perplexity: 0.000 |Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 0.1579 | Avg Accuracy: 94.01 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 0.1415 | Avg Accuracy: 94.19 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.1263 | Avg Accuracy: 94.48 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.1175 | Avg Accuracy: 94.60 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.1081 | Avg Accuracy: 94.49 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.1051 | Avg Accuracy: 94.79 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.0998 | Avg Accuracy: 94.62 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.0925 | Avg Accuracy: 94.26 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.0880 | Avg Accuracy: 94.74 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.0843 | Avg Accuracy: 94.46 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 0.4524 | Avg Accuracy: 93.21 | Avg Perplexity: 0.000 |Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 0.1807 | Avg Accuracy: 93.51 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 0.1585 | Avg Accuracy: 93.64 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 0.1494 | Avg Accuracy: 93.95 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 0.1423 | Avg Accuracy: 94.29 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 0.1352 | Avg Accuracy: 94.02 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 0.1288 | Avg Accuracy: 94.01 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: 0.1292 | Avg Accuracy: 93.99 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: 0.1266 | Avg Accuracy: 94.82 | Model Sparsity: 0.7448
Recovery epoch [9/10]: Avg Loss: 0.1207 | Avg Accuracy: 94.44 | Model Sparsity: 0.7448
Recovery epoch [10/10]: Avg Loss: 0.1171 | Avg Accuracy: 94.30 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Loss: 0.3398 | Avg Accuracy: 91.77 | Avg Perplexity: 0.000 |Model Sparsity: 0.8892
Recovery epoch [1/10]: Avg Loss: 0.2105 | Avg Accuracy: 92.90 | Model Sparsity: 0.8892
Recovery epoch [2/10]: Avg Loss: 0.1961 | Avg Accuracy: 92.45 | Model Sparsity: 0.8892
Recovery epoch [3/10]: Avg Loss: 0.1865 | Avg Accuracy: 93.72 | Model Sparsity: 0.8892
Recovery epoch [4/10]: Avg Loss: 0.1779 | Avg Accuracy: 92.86 | Model Sparsity: 0.8892
Recovery epoch [5/10]: Avg Loss: 0.1731 | Avg Accuracy: 93.09 | Model Sparsity: 0.8892
Recovery epoch [6/10]: Avg Loss: 0.1675 | Avg Accuracy: 92.90 | Model Sparsity: 0.8892
Recovery epoch [7/10]: Avg Loss: 0.1653 | Avg Accuracy: 92.48 | Model Sparsity: 0.8892
Recovery epoch [8/10]: Avg Loss: 0.1630 | Avg Accuracy: 93.54 | Model Sparsity: 0.8892
Recovery epoch [9/10]: Avg Loss: 0.1617 | Avg Accuracy: 93.85 | Model Sparsity: 0.8892
Recovery epoch [10/10]: Avg Loss: 0.1570 | Avg Accuracy: 93.55 | Model Sparsity: 0.8892
Epoch [4/5]: Avg Loss: 0.2995 | Avg Accuracy: 90.83 | Avg Perplexity: 0.000 |Model Sparsity: 0.9424
Recovery epoch [1/10]: Avg Loss: 0.2295 | Avg Accuracy: 92.22 | Model Sparsity: 0.9424
Recovery epoch [2/10]: Avg Loss: 0.2184 | Avg Accuracy: 92.56 | Model Sparsity: 0.9424
Recovery epoch [3/10]: Avg Loss: 0.2066 | Avg Accuracy: 92.82 | Model Sparsity: 0.9424
Recovery epoch [4/10]: Avg Loss: 0.2015 | Avg Accuracy: 92.96 | Model Sparsity: 0.9424
Recovery epoch [5/10]: Avg Loss: 0.1911 | Avg Accuracy: 92.88 | Model Sparsity: 0.9424
Recovery epoch [6/10]: Avg Loss: 0.1919 | Avg Accuracy: 92.93 | Model Sparsity: 0.9424
Recovery epoch [7/10]: Avg Loss: 0.1911 | Avg Accuracy: 93.02 | Model Sparsity: 0.9424
Recovery epoch [8/10]: Avg Loss: 0.1873 | Avg Accuracy: 92.70 | Model Sparsity: 0.9424
Recovery epoch [9/10]: Avg Loss: 0.1859 | Avg Accuracy: 92.35 | Model Sparsity: 0.9424
Recovery epoch [10/10]: Avg Loss: 0.1825 | Avg Accuracy: 93.42 | Model Sparsity: 0.9424
Epoch [5/5]: Avg Loss: 0.2005 | Avg Accuracy: 92.73 | Avg Perplexity: 0.000 |Model Sparsity: 0.95
Recovery epoch [1/10]: Avg Loss: 0.1899 | Avg Accuracy: 92.55 | Model Sparsity: 0.95
Recovery epoch [2/10]: Avg Loss: 0.1869 | Avg Accuracy: 92.60 | Model Sparsity: 0.95
Recovery epoch [3/10]: Avg Loss: 0.1868 | Avg Accuracy: 93.02 | Model Sparsity: 0.95
Recovery epoch [4/10]: Avg Loss: 0.1822 | Avg Accuracy: 93.68 | Model Sparsity: 0.95
Recovery epoch [5/10]: Avg Loss: 0.1831 | Avg Accuracy: 93.40 | Model Sparsity: 0.95
Recovery epoch [6/10]: Avg Loss: 0.1818 | Avg Accuracy: 93.11 | Model Sparsity: 0.95
Recovery epoch [7/10]: Avg Loss: 0.1796 | Avg Accuracy: 93.49 | Model Sparsity: 0.95
Recovery epoch [8/10]: Avg Loss: 0.1767 | Avg Accuracy: 93.63 | Model Sparsity: 0.95
Recovery epoch [9/10]: Avg Loss: 0.1782 | Avg Accuracy: 92.48 | Model Sparsity: 0.95
Recovery epoch [10/10]: Avg Loss: 0.1787 | Avg Accuracy: 93.24 | Model Sparsity: 0.95
