Model : vitb16 - Learning Type: cifar10/bacp_pruning/magnitude_pruning/0.97
Configuration:
model_name: vitb16
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 128
learning_rate: 0.001
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 332
val_batches: 58
current_model_path: /dbfs/research/vitb16/cifar10/vitb16_cifar10_magnitude_pruning_0.97_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 4.0566 | Avg PrC Loss: 1.7418 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.8673 | Avg CE Loss: 0.4475 | Model Sparsity: 0.4734
Retraining Epoch [1/10]: Avg Total Loss: 5.1006 | Avg PrC Loss: 1.7557 | Avg SnC Loss: 1.4534 | Avg FiC Loss: 1.6756 | Avg CE Loss: 0.2159 | Model Sparsity: 0.4734
Retraining Epoch [2/10]: Avg Total Loss: 4.9165 | Avg PrC Loss: 1.7426 | Avg SnC Loss: 1.4122 | Avg FiC Loss: 1.6369 | Avg CE Loss: 0.1247 | Model Sparsity: 0.4734
Retraining Epoch [3/10]: Avg Total Loss: 4.8273 | Avg PrC Loss: 1.7320 | Avg SnC Loss: 1.3878 | Avg FiC Loss: 1.6180 | Avg CE Loss: 0.0896 | Model Sparsity: 0.4734
Retraining Epoch [4/10]: Avg Total Loss: 4.7666 | Avg PrC Loss: 1.7192 | Avg SnC Loss: 1.3719 | Avg FiC Loss: 1.6023 | Avg CE Loss: 0.0731 | Model Sparsity: 0.4734
Retraining Epoch [5/10]: Avg Total Loss: 4.7364 | Avg PrC Loss: 1.7166 | Avg SnC Loss: 1.3634 | Avg FiC Loss: 1.5925 | Avg CE Loss: 0.0638 | Model Sparsity: 0.4734
Retraining Epoch [6/10]: Avg Total Loss: 4.7003 | Avg PrC Loss: 1.7051 | Avg SnC Loss: 1.3550 | Avg FiC Loss: 1.5835 | Avg CE Loss: 0.0567 | Model Sparsity: 0.4734
Retraining Epoch [7/10]: Avg Total Loss: 4.6866 | Avg PrC Loss: 1.7029 | Avg SnC Loss: 1.3513 | Avg FiC Loss: 1.5796 | Avg CE Loss: 0.0528 | Model Sparsity: 0.4734
Retraining Epoch [8/10]: Avg Total Loss: 4.6617 | Avg PrC Loss: 1.6967 | Avg SnC Loss: 1.3454 | Avg FiC Loss: 1.5715 | Avg CE Loss: 0.0481 | Model Sparsity: 0.4734
Retraining Epoch [9/10]: Avg Total Loss: 4.6599 | Avg PrC Loss: 1.6985 | Avg SnC Loss: 1.3444 | Avg FiC Loss: 1.5714 | Avg CE Loss: 0.0456 | Model Sparsity: 0.4734
Retraining Epoch [10/10]: Avg Total Loss: 4.6402 | Avg PrC Loss: 1.6930 | Avg SnC Loss: 1.3403 | Avg FiC Loss: 1.5649 | Avg CE Loss: 0.0421 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Total Loss: 5.7633 | Avg PrC Loss: 2.1108 | Avg SnC Loss: 1.5630 | Avg FiC Loss: 1.9738 | Avg CE Loss: 0.1158 | Model Sparsity: 0.7605
Retraining Epoch [1/10]: Avg Total Loss: 6.6086 | Avg PrC Loss: 1.9423 | Avg SnC Loss: 2.8283 | Avg FiC Loss: 1.7650 | Avg CE Loss: 0.0730 | Model Sparsity: 0.7605
Retraining Epoch [2/10]: Avg Total Loss: 6.4426 | Avg PrC Loss: 1.8904 | Avg SnC Loss: 2.7675 | Avg FiC Loss: 1.7220 | Avg CE Loss: 0.0627 | Model Sparsity: 0.7605
Retraining Epoch [3/10]: Avg Total Loss: 6.3620 | Avg PrC Loss: 1.8623 | Avg SnC Loss: 2.7369 | Avg FiC Loss: 1.7048 | Avg CE Loss: 0.0580 | Model Sparsity: 0.7605
Retraining Epoch [4/10]: Avg Total Loss: 6.3079 | Avg PrC Loss: 1.8439 | Avg SnC Loss: 2.7175 | Avg FiC Loss: 1.6920 | Avg CE Loss: 0.0545 | Model Sparsity: 0.7605
Retraining Epoch [5/10]: Avg Total Loss: 6.2704 | Avg PrC Loss: 1.8320 | Avg SnC Loss: 2.7043 | Avg FiC Loss: 1.6825 | Avg CE Loss: 0.0516 | Model Sparsity: 0.7605
Retraining Epoch [6/10]: Avg Total Loss: 6.2274 | Avg PrC Loss: 1.8160 | Avg SnC Loss: 2.6922 | Avg FiC Loss: 1.6708 | Avg CE Loss: 0.0483 | Model Sparsity: 0.7605
Retraining Epoch [7/10]: Avg Total Loss: 6.2020 | Avg PrC Loss: 1.8077 | Avg SnC Loss: 2.6836 | Avg FiC Loss: 1.6651 | Avg CE Loss: 0.0456 | Model Sparsity: 0.7605
Retraining Epoch [8/10]: Avg Total Loss: 6.1891 | Avg PrC Loss: 1.8038 | Avg SnC Loss: 2.6794 | Avg FiC Loss: 1.6606 | Avg CE Loss: 0.0452 | Model Sparsity: 0.7605
Retraining Epoch [9/10]: Avg Total Loss: 6.1690 | Avg PrC Loss: 1.7968 | Avg SnC Loss: 2.6749 | Avg FiC Loss: 1.6543 | Avg CE Loss: 0.0431 | Model Sparsity: 0.7605
Retraining Epoch [10/10]: Avg Total Loss: 6.1399 | Avg PrC Loss: 1.7857 | Avg SnC Loss: 2.6655 | Avg FiC Loss: 1.6474 | Avg CE Loss: 0.0414 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Total Loss: 13.7825 | Avg PrC Loss: 3.3064 | Avg SnC Loss: 6.2518 | Avg FiC Loss: 3.6713 | Avg CE Loss: 0.5530 | Model Sparsity: 0.9079
Retraining Epoch [1/10]: Avg Total Loss: 13.6777 | Avg PrC Loss: 2.8686 | Avg SnC Loss: 7.0972 | Avg FiC Loss: 3.1886 | Avg CE Loss: 0.5232 | Model Sparsity: 0.9079
Retraining Epoch [2/10]: Avg Total Loss: 13.1490 | Avg PrC Loss: 2.7618 | Avg SnC Loss: 6.8295 | Avg FiC Loss: 3.0516 | Avg CE Loss: 0.5061 | Model Sparsity: 0.9079
Retraining Epoch [3/10]: Avg Total Loss: 12.8635 | Avg PrC Loss: 2.7055 | Avg SnC Loss: 6.6914 | Avg FiC Loss: 2.9730 | Avg CE Loss: 0.4937 | Model Sparsity: 0.9079
Retraining Epoch [4/10]: Avg Total Loss: 12.6458 | Avg PrC Loss: 2.6641 | Avg SnC Loss: 6.5856 | Avg FiC Loss: 2.9130 | Avg CE Loss: 0.4831 | Model Sparsity: 0.9079
Retraining Epoch [5/10]: Avg Total Loss: 12.5104 | Avg PrC Loss: 2.6363 | Avg SnC Loss: 6.5235 | Avg FiC Loss: 2.8762 | Avg CE Loss: 0.4745 | Model Sparsity: 0.9079
Retraining Epoch [6/10]: Avg Total Loss: 12.3707 | Avg PrC Loss: 2.6095 | Avg SnC Loss: 6.4585 | Avg FiC Loss: 2.8375 | Avg CE Loss: 0.4652 | Model Sparsity: 0.9079
Retraining Epoch [7/10]: Avg Total Loss: 12.2712 | Avg PrC Loss: 2.5920 | Avg SnC Loss: 6.4141 | Avg FiC Loss: 2.8079 | Avg CE Loss: 0.4573 | Model Sparsity: 0.9079
Retraining Epoch [8/10]: Avg Total Loss: 12.1667 | Avg PrC Loss: 2.5701 | Avg SnC Loss: 6.3660 | Avg FiC Loss: 2.7807 | Avg CE Loss: 0.4499 | Model Sparsity: 0.9079
