Model : vitb16 - Learning Type: cifar10/pruning/magnitude_pruning/0.97
Configuration:
model_type: cv
model_name: vitb16
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 768
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 128
learning_rate: 0.0005
learning_type: pruning
optimizer_type: adamw
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vitb16/cifar10/vitb16_cifar10_magnitude_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/vitb16/cifar10/vitb16_cifar10_baseline.pt

Epoch [1/5]: Avg Loss: 1.1011 | Avg Accuracy: 90.01 | Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 0.2547 | Avg Accuracy: 91.70 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 0.1716 | Avg Accuracy: 92.05 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 0.1409 | Avg Accuracy: 93.22 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 0.1119 | Avg Accuracy: 92.19 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 0.1064 | Avg Accuracy: 89.49 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 0.0814 | Avg Accuracy: 92.97 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 0.0818 | Avg Accuracy: 93.72 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 0.0722 | Avg Accuracy: 92.98 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 0.0734 | Avg Accuracy: 92.79 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 0.0637 | Avg Accuracy: 93.45 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 0.0520 | Avg Accuracy: 92.94 | Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 0.0296 | Avg Accuracy: 93.60 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 0.0343 | Avg Accuracy: 93.59 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 0.0271 | Avg Accuracy: 93.45 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 0.0283 | Avg Accuracy: 92.40 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 0.0327 | Avg Accuracy: 92.94 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 0.0254 | Avg Accuracy: 93.79 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 0.0306 | Avg Accuracy: 93.37 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 0.0204 | Avg Accuracy: 92.24 | Model Sparsity: 0.7605
Recovery epoch [9/10]: Avg Loss: 0.0292 | Avg Accuracy: 93.16 | Model Sparsity: 0.7605
Recovery epoch [10/10]: Avg Loss: 0.0243 | Avg Accuracy: 93.68 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Loss: 0.1784 | Avg Accuracy: 93.04 | Model Sparsity: 0.9079
Recovery epoch [1/10]: Avg Loss: 0.0382 | Avg Accuracy: 92.91 | Model Sparsity: 0.9079
Recovery epoch [2/10]: Avg Loss: 0.0260 | Avg Accuracy: 94.09 | Model Sparsity: 0.9079
Recovery epoch [3/10]: Avg Loss: 0.0223 | Avg Accuracy: 93.39 | Model Sparsity: 0.9079
Recovery epoch [4/10]: Avg Loss: 0.0219 | Avg Accuracy: 93.47 | Model Sparsity: 0.9079
Recovery epoch [5/10]: Avg Loss: 0.0200 | Avg Accuracy: 93.72 | Model Sparsity: 0.9079
Recovery epoch [6/10]: Avg Loss: 0.0168 | Avg Accuracy: 93.51 | Model Sparsity: 0.9079
Recovery epoch [7/10]: Avg Loss: 0.0208 | Avg Accuracy: 91.99 | Model Sparsity: 0.9079
Recovery epoch [8/10]: Avg Loss: 0.0182 | Avg Accuracy: 93.13 | Model Sparsity: 0.9079
Recovery epoch [9/10]: Avg Loss: 0.0124 | Avg Accuracy: 93.22 | Model Sparsity: 0.9079
Recovery epoch [10/10]: Avg Loss: 0.0152 | Avg Accuracy: 93.84 | Model Sparsity: 0.9079
Epoch [4/5]: Avg Loss: 0.3261 | Avg Accuracy: 91.16 | Model Sparsity: 0.9622
Recovery epoch [1/10]: Avg Loss: 0.0693 | Avg Accuracy: 92.32 | Model Sparsity: 0.9622
Recovery epoch [2/10]: Avg Loss: 0.0405 | Avg Accuracy: 91.95 | Model Sparsity: 0.9622
Recovery epoch [3/10]: Avg Loss: 0.0309 | Avg Accuracy: 92.01 | Model Sparsity: 0.9622
Recovery epoch [4/10]: Avg Loss: 0.0180 | Avg Accuracy: 92.48 | Model Sparsity: 0.9622
Recovery epoch [5/10]: Avg Loss: 0.0260 | Avg Accuracy: 91.99 | Model Sparsity: 0.9622
Recovery epoch [6/10]: Avg Loss: 0.0206 | Avg Accuracy: 93.02 | Model Sparsity: 0.9622
Recovery epoch [7/10]: Avg Loss: 0.0217 | Avg Accuracy: 92.59 | Model Sparsity: 0.9622
Recovery epoch [8/10]: Avg Loss: 0.0161 | Avg Accuracy: 93.05 | Model Sparsity: 0.9622
Recovery epoch [9/10]: Avg Loss: 0.0141 | Avg Accuracy: 92.51 | Model Sparsity: 0.9622
Recovery epoch [10/10]: Avg Loss: 0.0195 | Avg Accuracy: 92.48 | Model Sparsity: 0.9622
Epoch [5/5]: Avg Loss: 0.0453 | Avg Accuracy: 92.07 | Model Sparsity: 0.97
Recovery epoch [1/10]: Avg Loss: 0.0167 | Avg Accuracy: 93.14 | Model Sparsity: 0.97
Recovery epoch [2/10]: Avg Loss: 0.0117 | Avg Accuracy: 92.74 | Model Sparsity: 0.97
Recovery epoch [3/10]: Avg Loss: 0.0177 | Avg Accuracy: 92.91 | Model Sparsity: 0.97
Recovery epoch [4/10]: Avg Loss: 0.0147 | Avg Accuracy: 92.46 | Model Sparsity: 0.97
Recovery epoch [5/10]: Avg Loss: 0.0105 | Avg Accuracy: 93.24 | Model Sparsity: 0.97
Recovery epoch [6/10]: Avg Loss: 0.0116 | Avg Accuracy: 92.70 | Model Sparsity: 0.97
Recovery epoch [7/10]: Avg Loss: 0.0122 | Avg Accuracy: 92.71 | Model Sparsity: 0.97
Recovery epoch [8/10]: Avg Loss: 0.0110 | Avg Accuracy: 92.81 | Model Sparsity: 0.97
Recovery epoch [9/10]: Avg Loss: 0.0143 | Avg Accuracy: 92.30 | Model Sparsity: 0.97
Recovery epoch [10/10]: Avg Loss: 0.0096 | Avg Accuracy: 92.19 | Model Sparsity: 0.97
