Model : vitb16 - Learning Type: cifar10/pruning/movement_pruning/0.95
Configuration:
model_type: cv
model_name: vitb16
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 768
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 128
learning_rate: 0.0005
learning_type: pruning
optimizer_type: adamw
prune: True
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vitb16/cifar10/vitb16_cifar10_movement_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/vitb16/cifar10/vitb16_cifar10_baseline.pt

Epoch [1/5]: Avg Loss: 1.8474 | Avg Accuracy: 43.05 | Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 1.3889 | Avg Accuracy: 52.09 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 1.1459 | Avg Accuracy: 59.43 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.9831 | Avg Accuracy: 66.04 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.8641 | Avg Accuracy: 71.35 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.7658 | Avg Accuracy: 73.13 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.6930 | Avg Accuracy: 74.39 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.6222 | Avg Accuracy: 74.73 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.5683 | Avg Accuracy: 77.79 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.5112 | Avg Accuracy: 78.17 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.4684 | Avg Accuracy: 78.41 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 0.4132 | Avg Accuracy: 79.47 | Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 0.3673 | Avg Accuracy: 79.46 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 0.3253 | Avg Accuracy: 80.47 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 0.2964 | Avg Accuracy: 80.32 | Model Sparsity: 0.7448
