Model : vitb16 - Learning Type: emnist/pruning/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: vitb16
model_task: emnist
num_classes: 47
criterion: CrossEntropyLoss()
embedding_dim: 768
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 128
learning_rate: 5e-05
learning_type: pruning
optimizer_type: adamw
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vitb16/emnist/vitb16_emnist_magnitude_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/vitb16/emnist/vitb16_emnist_baseline.pt

Epoch [1/5]: Avg Loss: 0.2449 | Avg Accuracy: 90.04 | Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 0.2268 | Avg Accuracy: 89.89 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 0.2158 | Avg Accuracy: 90.76 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.2033 | Avg Accuracy: 89.78 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.1944 | Avg Accuracy: 90.64 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.1851 | Avg Accuracy: 90.62 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.1758 | Avg Accuracy: 89.94 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.1685 | Avg Accuracy: 89.94 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.1605 | Avg Accuracy: 90.19 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.1498 | Avg Accuracy: 90.21 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.1410 | Avg Accuracy: 90.13 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 0.1970 | Avg Accuracy: 90.08 | Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 0.1328 | Avg Accuracy: 90.12 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 0.1207 | Avg Accuracy: 90.33 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 0.1136 | Avg Accuracy: 89.99 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 0.1047 | Avg Accuracy: 90.19 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 0.0989 | Avg Accuracy: 89.54 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 0.0919 | Avg Accuracy: 89.91 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: 0.0857 | Avg Accuracy: 89.97 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: 0.0797 | Avg Accuracy: 89.90 | Model Sparsity: 0.7448
Recovery epoch [9/10]: Avg Loss: 0.0747 | Avg Accuracy: 89.61 | Model Sparsity: 0.7448
Recovery epoch [10/10]: Avg Loss: 0.0686 | Avg Accuracy: 89.62 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Loss: 0.6389 | Avg Accuracy: 88.70 | Model Sparsity: 0.8892
Recovery epoch [1/10]: Avg Loss: 0.2434 | Avg Accuracy: 89.86 | Model Sparsity: 0.8892
Recovery epoch [2/10]: Avg Loss: 0.2164 | Avg Accuracy: 89.43 | Model Sparsity: 0.8892
Recovery epoch [3/10]: Avg Loss: 0.1957 | Avg Accuracy: 90.02 | Model Sparsity: 0.8892
Recovery epoch [4/10]: Avg Loss: 0.1794 | Avg Accuracy: 89.63 | Model Sparsity: 0.8892
Recovery epoch [5/10]: Avg Loss: 0.1662 | Avg Accuracy: 89.52 | Model Sparsity: 0.8892
Recovery epoch [6/10]: Avg Loss: 0.1532 | Avg Accuracy: 89.65 | Model Sparsity: 0.8892
Recovery epoch [7/10]: Avg Loss: 0.1405 | Avg Accuracy: 89.39 | Model Sparsity: 0.8892
Recovery epoch [8/10]: Avg Loss: 0.1327 | Avg Accuracy: 89.51 | Model Sparsity: 0.8892
Recovery epoch [9/10]: Avg Loss: 0.1234 | Avg Accuracy: 89.54 | Model Sparsity: 0.8892
Recovery epoch [10/10]: Avg Loss: 0.1138 | Avg Accuracy: 89.51 | Model Sparsity: 0.8892
Epoch [4/5]: Avg Loss: 2.0793 | Avg Accuracy: 75.14 | Model Sparsity: 0.9424
Recovery epoch [1/10]: Avg Loss: 0.6330 | Avg Accuracy: 82.28 | Model Sparsity: 0.9424
Recovery epoch [2/10]: Avg Loss: 0.4841 | Avg Accuracy: 84.81 | Model Sparsity: 0.9424
Recovery epoch [3/10]: Avg Loss: 0.4243 | Avg Accuracy: 85.39 | Model Sparsity: 0.9424
Recovery epoch [4/10]: Avg Loss: 0.3901 | Avg Accuracy: 86.24 | Model Sparsity: 0.9424
Recovery epoch [5/10]: Avg Loss: 0.3644 | Avg Accuracy: 86.54 | Model Sparsity: 0.9424
Recovery epoch [6/10]: Avg Loss: 0.3462 | Avg Accuracy: 87.72 | Model Sparsity: 0.9424
Recovery epoch [7/10]: Avg Loss: 0.3314 | Avg Accuracy: 87.66 | Model Sparsity: 0.9424
Recovery epoch [8/10]: Avg Loss: 0.3179 | Avg Accuracy: 88.09 | Model Sparsity: 0.9424
Recovery epoch [9/10]: Avg Loss: 0.3078 | Avg Accuracy: 87.96 | Model Sparsity: 0.9424
Recovery epoch [10/10]: Avg Loss: 0.2975 | Avg Accuracy: 88.04 | Model Sparsity: 0.9424
Epoch [5/5]: Avg Loss: 0.3402 | Avg Accuracy: 88.42 | Model Sparsity: 0.95
Recovery epoch [1/10]: Avg Loss: 0.2833 | Avg Accuracy: 88.34 | Model Sparsity: 0.95
Recovery epoch [2/10]: Avg Loss: 0.2759 | Avg Accuracy: 88.97 | Model Sparsity: 0.95
Recovery epoch [3/10]: Avg Loss: 0.2686 | Avg Accuracy: 88.63 | Model Sparsity: 0.95
Recovery epoch [4/10]: Avg Loss: 0.2636 | Avg Accuracy: 89.06 | Model Sparsity: 0.95
Recovery epoch [5/10]: Avg Loss: 0.2592 | Avg Accuracy: 89.00 | Model Sparsity: 0.95
Recovery epoch [6/10]: Avg Loss: 0.2539 | Avg Accuracy: 88.73 | Model Sparsity: 0.95
Recovery epoch [7/10]: Avg Loss: 0.2507 | Avg Accuracy: 89.20 | Model Sparsity: 0.95
Recovery epoch [8/10]: Avg Loss: 0.2457 | Avg Accuracy: 89.16 | Model Sparsity: 0.95
Recovery epoch [9/10]: Avg Loss: 0.2408 | Avg Accuracy: 89.14 | Model Sparsity: 0.95
Recovery epoch [10/10]: Avg Loss: 0.2359 | Avg Accuracy: 89.27 | Model Sparsity: 0.95
