Model : vitb16 - Learning Type: pruning
Configuration:
model_type: cv
model_name: vitb16
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 768
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 1e-05
learning_type: pruning
optimizer_type: adamw
use_scheduler: False
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
delta_t: 41
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vitb16/cifar10/vitb16_magnitude_pruning_0.95.pt
finetuned_weights: /dbfs/research/vitb16/cifar10/vitb16_cifar10_baseline.pt
current_sparsity: 0.0

Epoch [1/5]: Avg Loss: 0.0600 | Avg Accuracy: 97.85 | Model Sparsity: 0.19
Recovery epoch [1/10]: Avg Loss: 0.0391 | Avg Accuracy: 98.05 | Model Sparsity: 0.19
Recovery epoch [2/10]: Avg Loss: 0.0275 | Avg Accuracy: 98.05 | Model Sparsity: 0.19
Recovery epoch [3/10]: Avg Loss: 0.0206 | Avg Accuracy: 98.07 | Model Sparsity: 0.19
Recovery epoch [4/10]: Avg Loss: 0.0145 | Avg Accuracy: 98.21 | Model Sparsity: 0.19
Recovery epoch [5/10]: Avg Loss: 0.0107 | Avg Accuracy: 98.24 | Model Sparsity: 0.19
Recovery epoch [6/10]: Avg Loss: 0.0076 | Avg Accuracy: 98.19 | Model Sparsity: 0.19
Recovery epoch [7/10]: Avg Loss: 0.0076 | Avg Accuracy: 98.37 | Model Sparsity: 0.19
Recovery epoch [8/10]: Avg Loss: 0.0065 | Avg Accuracy: 98.17 | Model Sparsity: 0.19
Recovery epoch [9/10]: Avg Loss: 0.0045 | Avg Accuracy: 98.01 | Model Sparsity: 0.19
Recovery epoch [10/10]: Avg Loss: 0.0044 | Avg Accuracy: 98.28 | Model Sparsity: 0.19
Epoch [2/5]: Avg Loss: 0.0062 | Avg Accuracy: 97.74 | Model Sparsity: 0.38
Recovery epoch [1/10]: Avg Loss: 0.0069 | Avg Accuracy: 97.95 | Model Sparsity: 0.38
Recovery epoch [2/10]: Avg Loss: 0.0038 | Avg Accuracy: 97.98 | Model Sparsity: 0.38
