Model : vitb16 - Learning Type: pruning
Configuration:
model_type: cv
model_name: vitb16
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 768
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: pruning
optimizer_type: adamw
use_scheduler: False
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
delta_t: 41
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vitb16/cifar10/vitb16_magnitude_pruning_0.99.pt
finetuned_weights: /dbfs/research/vitb16/cifar10/vitb16_cifar10_baseline.pt
current_sparsity: 0.0

Epoch [1/5]: Avg Loss: 0.1413 | Avg Accuracy: 6.29 | Model Sparsity: 0.8805
Recovery epoch [1/10]: Avg Loss: 1.9817 | Avg Accuracy: 35.76 | Model Sparsity: 0.8805
Recovery epoch [2/10]: Avg Loss: 1.6196 | Avg Accuracy: 45.16 | Model Sparsity: 0.8805
Recovery epoch [3/10]: Avg Loss: 1.4053 | Avg Accuracy: 51.88 | Model Sparsity: 0.8805
Recovery epoch [4/10]: Avg Loss: 1.2550 | Avg Accuracy: 56.92 | Model Sparsity: 0.8805
Recovery epoch [5/10]: Avg Loss: 1.1439 | Avg Accuracy: 60.38 | Model Sparsity: 0.8805
Recovery epoch [6/10]: Avg Loss: 1.0535 | Avg Accuracy: 62.04 | Model Sparsity: 0.8805
Recovery epoch [7/10]: Avg Loss: 0.9865 | Avg Accuracy: 62.77 | Model Sparsity: 0.8805
Recovery epoch [8/10]: Avg Loss: 0.9289 | Avg Accuracy: 65.35 | Model Sparsity: 0.8805
Recovery epoch [9/10]: Avg Loss: 0.8839 | Avg Accuracy: 66.66 | Model Sparsity: 0.8805
Recovery epoch [10/10]: Avg Loss: 0.8251 | Avg Accuracy: 70.52 | Model Sparsity: 0.8805
Epoch [2/5]: Avg Loss: 1.2088 | Avg Accuracy: 9.68 | Model Sparsity: 0.9779
Recovery epoch [1/10]: Avg Loss: 2.1357 | Avg Accuracy: 26.59 | Model Sparsity: 0.9779
Recovery epoch [2/10]: Avg Loss: 1.9355 | Avg Accuracy: 31.63 | Model Sparsity: 0.9779
Recovery epoch [3/10]: Avg Loss: 1.7888 | Avg Accuracy: 37.10 | Model Sparsity: 0.9779
Recovery epoch [4/10]: Avg Loss: 1.6226 | Avg Accuracy: 41.43 | Model Sparsity: 0.9779
Recovery epoch [5/10]: Avg Loss: 1.5090 | Avg Accuracy: 46.99 | Model Sparsity: 0.9779
Recovery epoch [6/10]: Avg Loss: 1.4140 | Avg Accuracy: 49.55 | Model Sparsity: 0.9779
Recovery epoch [7/10]: Avg Loss: 1.3545 | Avg Accuracy: 50.32 | Model Sparsity: 0.9779
Recovery epoch [8/10]: Avg Loss: 1.2936 | Avg Accuracy: 52.57 | Model Sparsity: 0.9779
Recovery epoch [9/10]: Avg Loss: 1.2727 | Avg Accuracy: 55.45 | Model Sparsity: 0.9779
Recovery epoch [10/10]: Avg Loss: 1.2291 | Avg Accuracy: 52.25 | Model Sparsity: 0.9779
Epoch [3/5]: Avg Loss: 1.4173 | Avg Accuracy: 33.44 | Model Sparsity: 0.9887
Recovery epoch [1/10]: Avg Loss: 1.3984 | Avg Accuracy: 54.34 | Model Sparsity: 0.9887
Recovery epoch [2/10]: Avg Loss: 1.2517 | Avg Accuracy: 55.39 | Model Sparsity: 0.9887
Recovery epoch [3/10]: Avg Loss: 1.2123 | Avg Accuracy: 55.85 | Model Sparsity: 0.9887
Recovery epoch [4/10]: Avg Loss: 1.1937 | Avg Accuracy: 56.00 | Model Sparsity: 0.9887
Recovery epoch [5/10]: Avg Loss: 1.1699 | Avg Accuracy: 55.98 | Model Sparsity: 0.9887
Recovery epoch [6/10]: Avg Loss: 1.1660 | Avg Accuracy: 55.69 | Model Sparsity: 0.9887
Recovery epoch [7/10]: Avg Loss: 1.1541 | Avg Accuracy: 58.75 | Model Sparsity: 0.9887
Recovery epoch [8/10]: Avg Loss: 1.1348 | Avg Accuracy: 57.99 | Model Sparsity: 0.9887
Recovery epoch [9/10]: Avg Loss: 1.1121 | Avg Accuracy: 59.39 | Model Sparsity: 0.9887
Recovery epoch [10/10]: Avg Loss: 1.1013 | Avg Accuracy: 58.27 | Model Sparsity: 0.9887
Epoch [4/5]: Avg Loss: 1.1464 | Avg Accuracy: 46.89 | Model Sparsity: 0.9899
Recovery epoch [1/10]: Avg Loss: 1.1092 | Avg Accuracy: 59.60 | Model Sparsity: 0.9899
Recovery epoch [2/10]: Avg Loss: 1.0468 | Avg Accuracy: 62.00 | Model Sparsity: 0.9899
Recovery epoch [3/10]: Avg Loss: 1.0503 | Avg Accuracy: 62.60 | Model Sparsity: 0.9899
Recovery epoch [4/10]: Avg Loss: 1.0435 | Avg Accuracy: 61.70 | Model Sparsity: 0.9899
Recovery epoch [5/10]: Avg Loss: 1.0197 | Avg Accuracy: 62.21 | Model Sparsity: 0.9899
Recovery epoch [6/10]: Avg Loss: 1.0089 | Avg Accuracy: 63.73 | Model Sparsity: 0.9899
Recovery epoch [7/10]: Avg Loss: 1.0079 | Avg Accuracy: 62.57 | Model Sparsity: 0.9899
Recovery epoch [8/10]: Avg Loss: 1.0021 | Avg Accuracy: 63.78 | Model Sparsity: 0.9899
Recovery epoch [9/10]: Avg Loss: 0.9931 | Avg Accuracy: 62.00 | Model Sparsity: 0.9899
Recovery epoch [10/10]: Avg Loss: 0.9884 | Avg Accuracy: 64.31 | Model Sparsity: 0.9899
Epoch [5/5]: Avg Loss: 0.9930 | Avg Accuracy: 64.23 | Model Sparsity: 0.99
Recovery epoch [1/10]: Avg Loss: 0.9784 | Avg Accuracy: 64.13 | Model Sparsity: 0.99
Recovery epoch [2/10]: Avg Loss: 0.9586 | Avg Accuracy: 62.82 | Model Sparsity: 0.99
Recovery epoch [3/10]: Avg Loss: 0.9628 | Avg Accuracy: 64.72 | Model Sparsity: 0.99
Recovery epoch [4/10]: Avg Loss: 0.9539 | Avg Accuracy: 64.09 | Model Sparsity: 0.99
Recovery epoch [5/10]: Avg Loss: 0.9491 | Avg Accuracy: 65.00 | Model Sparsity: 0.99
Recovery epoch [6/10]: Avg Loss: 0.9483 | Avg Accuracy: 64.55 | Model Sparsity: 0.99
Recovery epoch [7/10]: Avg Loss: 0.9344 | Avg Accuracy: 65.78 | Model Sparsity: 0.99
Recovery epoch [8/10]: Avg Loss: 0.9198 | Avg Accuracy: 65.60 | Model Sparsity: 0.99
Recovery epoch [9/10]: Avg Loss: 0.9320 | Avg Accuracy: 64.94 | Model Sparsity: 0.99
Recovery epoch [10/10]: Avg Loss: 0.9173 | Avg Accuracy: 65.78 | Model Sparsity: 0.99
