rung,stage,label,changes,inherits,gate,paired,n_planned,n_ok,n_failed,n_missing,mean,std,sigma_ci_lo,sigma_ci_hi,seeds,values,delta,delta_ci_lo,delta_ci_hi,delta_n,delta_vs,delta_paired,delta_indirect,delta_note,t_source
A0,A,Dense,no pruning at all,,,False,1,1,0,0,10.9375,,,,[1],[10.9375],,,,0,,,False,,unused
A1,A,"Uniform magnitude, head pruned",uniform layer-wise budget; classifier in the prunable scope,A0,,False,1,1,0,0,9.375,,,,[1],[9.375],-1.5625,,,1,A0,False,False,,unused
A2,A,"Uniform magnitude, head dense",classifier removed from the prunable scope,A1,,False,1,1,0,0,9.375,,,,[1],[9.375],0.0,,,1,A1,False,False,,unused
A3,A,"ERK, head pruned",layer-wise budget switched from uniform to ERK,A1,,False,1,1,0,0,9.375,,,,[1],[9.375],0.0,,,1,A1,False,False,,unused
A4,A,"ERK, head dense","both, to close the 2x2",A3,,False,1,1,0,0,9.375,,,,[1],[9.375],0.0,,,1,A3,False,False,,unused
A5,A,+ RigL drop-and-regrow,static ERK mask replaced by dynamic topology,A3,,False,1,1,0,0,9.375,,,,[1],[9.375],0.0,,,1,A3,False,False,,unused
A6,A,+ EAST cyclic sparsity,RigL's schedule replaced by EAST's cyclic one,A5,,False,1,1,0,0,9.375,,,,[1],[9.375],0.0,,,1,A5,False,False,,unused
B1,B,+ DyReLU,ReLU replaced by DyReLU,A6,,True,1,1,0,0,9.375,,,,[1],[9.375],0.0,,,1,A6,True,False,,unused
B2,B,+ DyReLU phasing,DyReLU phased out over training instead of held on,B1,,True,1,1,0,0,9.375,,,,[1],[9.375],0.0,,,1,B1,True,False,,unused
B3,B,+ weight sharing,residual blocks share weights,B2,,True,1,1,0,0,9.375,,,,[1],[9.375],0.0,,,1,B2,True,False,,unused
C-null,C,"BaCP path, everything BaCP-specific off",routed through BaCPTrainer with one view and no contrastive terms,,G1,True,1,1,0,0,9.375,,,,[1],[9.375],,,,0,,,False,,unused
C0,C,CE only,plain supervised training on the winning substrate,,,True,1,1,0,0,9.375,,,,[1],[9.375],,,,0,,,False,,unused
C0b,C,CE + BaCP's two-view augmentation,two augmented views per step; objective unchanged,C-null,,True,1,1,0,0,4.6875,,,,[1],[4.6875],-4.6875,,,1,C-null,True,False,,unused
C1,C,+ KD (KL on logits),dense-teacher logit distillation added,C0b,G3,True,1,1,0,0,10.9375,,,,[1],[10.9375],6.25,,,1,C0b,True,False,,unused
C2,C,+ feature distillation (same teacher),logit KD swapped for feature-level matching,C1,G3,True,1,1,0,0,4.6875,,,,[1],[4.6875],-6.25,,,1,C1,True,False,,unused
C3,C,"+ contrastive form (FiC, same teacher)",feature regression swapped for the contrastive objective,C2,G4,True,1,1,0,0,4.6875,,,,[1],[4.6875],0.0,,,1,C2,True,False,,unused
D1,D,+ SnC (self-snapshots),snapshot teachers added to the contrastive term,C3,G5,True,1,1,0,0,9.375,,,,[1],[9.375],4.6875,,,1,C3,True,False,,unused
D2,D,+ PrC (pretrained teacher) = full BaCP,the pretrained-model teacher added,D1,G5,True,1,1,0,0,4.6875,,,,[1],[4.6875],-4.6875,,,1,D1,True,False,,unused
D4-noPrC,D4,Full BaCP without PrC,PrC removed; remaining three weights renormalised to 1/3,D2,,True,1,1,0,0,9.375,,,,[1],[9.375],4.6875,,,1,D2,True,False,,unused
D4-noFiC,D4,Full BaCP without FiC,FiC removed; remaining three weights renormalised to 1/3,D2,,True,1,1,0,0,4.6875,,,,[1],[4.6875],0.0,,,1,D2,True,False,,unused
D4-noSnC,D4,Full BaCP without SnC,SnC removed; remaining three weights renormalised to 1/3,D2,,True,1,1,0,0,9.375,,,,[1],[9.375],4.6875,,,1,D2,True,False,,unused
D4-noCE,D4,Full BaCP without CE,CE removed; remaining three weights renormalised to 1/3,D2,,True,1,1,0,0,4.6875,,,,[1],[4.6875],0.0,,,1,D2,True,False,,unused
