Model : roberta-base - Learning Type: sst2/bacp_finetune/magnitude_pruning/0.95
Configuration:
model_type: llm
model_name: roberta-base
model_task: sst2
num_classes: 2
criterion: CrossEntropyLoss()
embedding_dim: 768
epochs: 10
pruning_epochs: 10
recovery_epochs: 10
batch_size: 64
learning_rate: 1e-06
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/roberta-base/sst2/roberta-base_sst2_magnitude_pruning_0.95_bacp_finetune.pt

